"Message","Status","Department"
"kenapa kab. brebes jalannya tidak pernah beres, selalu berlubang dan bergelombang, iri sama kota tegal yang jalan rayanya menggunakan beton untuk lapisan bawahnya dan baru diaspal, dibrebes cuman asal tambal dan ganti, baru juga seminggu jalan sudah rusak lagi. brebes kayaknya harus ditinjau itu birokrasinya, jalan lingkar brebes-tegal saja dari aku berumur 12-22 tahun masih belum bisa digunakan.","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"Bpk Gubernur Ganjar Yth. Tolong inspeksi mendadak dilakukan di Samsat Bumiayu karena banyak pungli-pungli kakap yang professional dari Polres Brebes. Terima kasih. Kejadian ini sudah cukup lama, setiap bayar pajak pasti dimintai Rp 25 ribu.","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Pak, saya hidup di Brebes selama 7 tahun, tetapi jalan-jalan di Brebes belum pernah rusak kayak sungai, apalagi di daerah. Sudah banyak makan korban. Mohon perhatiannya untuk menegur pejabat daerah.","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"dear pak gubernur, saya warga linggapura, brebes, mohon kiranya jalur tengah, pejagan-bumiayu-purwokerto ditinjau, warga disana mengeluhkan truck2 besar yang melintas sudah overload, jalan disana kecil pak, hingga akibatnya terjadi kemacetan panjang yg berakibat roda perekonomian penduduk sekitar terganggu, pendidikan terganggu, pelayanan kesehatan terganggu, sudah banyak memakan korban jiwa juga karena kecelakaan yang diakibatkan daya tampung jalan yang sudah tidak wajar, mohon sidaknya segera dan mohon dicarikan jalur alternatif lain agar truck2 tsb tidak menumpuk di jalur desa kami.","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"Pak gubernur untuk pengurusan e-ktp sangat lm sudah mau satu tahun belum jadi.payah..untuk di kecamatan bumiayu kab.brebes.atas nama ecip suwandito.","Selesai","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL"
"Kepada Yth Gubernur Jateng. Saya pemilik nopol G 5758 SS tertera dikeluarkan STNK sejak tgl 24 September 2011 sudah 3 tahun bayar pajak kendaraan roda dua tidak ada masalah. Pada tgl 15 September 2014 ketika akan bayar pajak kendaraan di Kantor Samsat Pekalongan ternyata sudah berganti nama pemilik ( satu nopol dua pemilik ) yg berdomisili di Brebes, padahal alokasi nopol tsb kota Pekalongan. Saya konfirmasi ke petugas Samsat Pekalongan karena kesalahan server Samsat dan pihak yg bisa mengganti/merubah data tsb pihak samsat pusat Semarang. Kenapa bisa terjadi pemilik ganda ? Kami mohon bantuannya agar ditindaklanjuti pihak terkait agar saya tidak terlambat bayar pajak kendaraan jatuh tempo tgl 24 September 2014. ( Orang Bijak Taat Pajak jangan dipersulit ) Atas perhatian & kerjasamanya saya ucapkan terima kasih.","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Kepada Yth Gubernur Jateng. Saya pemilik nopol G 5758 SS tertera dikeluarkan STNK sejak tgl 24 September 2011 sudah 3 tahun bayar pajak kendaraan roda dua tidak ada masalah. Pada tgl 15 September 2014 ketika akan bayar pajak kendaraan di Kantor Samsat Pekalongan ternyata sudah berganti nama pemilik ( satu nopol dua pemilik ) yg berdomisili di Brebes, padahal alokasi nopol tsb kota Pekalongan. Saya konfirmasi ke petugas Samsat Pekalongan karena kesalahan server Samsat dan pihak yg bisa mengganti/merubah data tsb pihak samsat pusat Semarang. Kenapa bisa terjadi pemilik ganda ? Kami mohon bantuannya agar ditindaklanjuti pihak terkait agar saya tidak terlambat bayar pajak kendaraan jatuh tempo tgl 24 September 2014. ( Orang Bijak Taat Pajak jangan dipersulit ) Atas perhatian & kerjasamanya saya ucapkan terima kasih.","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Sampai kapan lalulintas tanjung menuju salem dibiarkan rusak terbengkalai tanpa adanya perhatian pihak terkait.apalagi dilintasan gn lio yg jalannya menanjak drastis ditambah jalannya yg amburadul...mohon perhatiannya dr pihak terkait. Terimakasih","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"hallo pak gub, saya mau menyampaikan pengaduan untuk samsat TANJUNG BREBES, di bagian cek fisik kendaraan masih banyak yang pungli, kemarin saya di tarif 30rb untuk cek fisik ranmor, padahal menurut aturan tidak ada yang namanya pembayaran cek fisik, apalagi ini tidak di sertai struk, dan untuk distribusi TNKB sangat lambat sekali, sudah 9 bulan bahkan lebih TNKB belum jadi, klo ga di ambil langsung ke brebes ga bakal jadi jadi, gimana masyarakat mau nyaman bayar pajak, mau tertib pajak aja pelayanannya begini, mohon ditindak lanjuti oknum tersebut. trimakasih","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Saya mau bayar pajak 5 tahunan di samsat tanjung brebes, kebetulan untuk pergantian stnk dan tnkb baru harus di lakukan cek fisik ulang ranmornya, ada yang ganjal di sini pada saat di lakukan cek fisik ranmor, petugas samsat meminta tarif Rp. 30.000, padahal menurut aturan yang ada tidak ada yg namanya pembayaran cek fisik, dan lebih anehnya lagi di struk pembayaran tidak dicantumkan yang namanya pembayaran cek fisik, karena sudah adanya pembayaran STNK dan TNKB, kalo begini siapa yang mau nyaman bayar pajak, masyarakat tidak bayar wajib pajak disalahkan, mau tertib pajak malah di buat begini, berikut saya sertakan bukti videonya: https://www.youtube.com/watch?v=7oUP8IzoAYg&feature=youtu.be silahkan biar masyarakat yang menilai","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Assalammualaikum wr.wb. Yth. Pak Gubernur, tanggul sungai Cisanggarung Desa Bojongsari, Kec. Losari – Brebes sudah tipis/terkikis, dikhawatirkan tanggul bisa jebol sewaktu – waktu jika hujan besar tiba. Mohon untuk segera diambil tindakan Pak, karena warga desa sangat cemas jika hujan sudah turun tanggul bisa jebol kapan saja. Terima kasih atas perhatiannya. Mohon untuk segera diambil tindakan, Pak.","Selesai","DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG"
"Yth, Bpk Ganjar Pranowo, Gubernur Jawa Tengah. Bapak mohon diperhatikan Infrastruktur jalan menuju Desa Pandansari, Kec Paguyangan & Desa wanareja, Kec. Sirampog, Kab Brebes. yang terkenal dengan Agrowisata Perkebunan Teh Kaligua. Jalannya sangat rusak dan tidak ada perhatian dari pemda setempat (kab Brebes). Padahal Perekonomian di desa tersebut sangat maju dari hasil pertaniannya (Hortikultura). yang dibutuhkan masyarakat setempat hanyalah infrastruktur jalan yg baik dari jalan raya menuju desa setempat. Bapak Gubernur juga pernah kesana, berharap Pemprov dan Pemda tidak hanya mengambil pajak masyarakat, tetapi tidak ada timbal balik dari Pemprov & Pemda untuk masyarakat. tks","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"Lapor pa Gubernur, tolong di tindak lanjuti, inilah hasil pekerjaan jalan Salem-Banjarharjo yg menghabiskn anggaran milyaran rupiah.","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"LAPOR laporan mohon d tindak lanjuti adanya kenaikan pengurusan stnk/bpkb unit baru d samsat brebes sebesar 35.000 dan sekarang mau d wacanakan kembali k","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
