Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
17 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP55364145.html,KABUPATEN BANJARNEGARA,"asalamualaikum, pak ganjar katanya sekolah gratis 9 tahun tetapi pas tahun ajaran baru masih banyak sekolah negeri yang meminta uang masuk dan uang bangunan gedung di kabupaten banjarnegara yang memberatkan orng miskin pak, terima kasih.",Selesai,"Senin, 22 Februari 2021 - 15:06 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,"Wa’alaikum salam Wr.Wb Terima kasih atas laporannya Sesuai dengan ragualsi permendikbud No.44 tahun 2012 tentang pungutan & sumbangan biaya pendidikan pada satuan pendidikan dasar diatur dalam pasal 12 ayat 1,2,3. Program pendidikan gratis diberlakukan untuk jenjang pendidikan dasar, pada jenjang tersebut tidak dibenarkan adanya pungutan khususnya pada tatahun ajaran baru, bukan merupakan kewajiban peserta didik untuk keperluan apapun, namun demikian masyarakat yang dirasa mampu tetap diberikan ruang untuk berpartisipasi dalam meningkatkan mutu pendidikan melalui berbagai cara tanpa adanya pemaksaan. Saudara/i dapat memperoleh penjelasan yang lebih lengkap dapat menghubungi disdik setempat."
21 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP46362073.html,KABUPATEN BANJARNEGARA,"ass, Bpk gubernur...Saya warga kab banjarnegara, Sepanjang Jalan Suprapto di Banjarnegara rusak parah, sudah bertahun tahun tidak diperbaiki, hanya ditambal tanpa ada pengaspalan ulang, sering terjadi kecelakaan juga, saya dengar kalau jalan provinsi biaya dari provinsi, tolong pak gubernur segera bertindak mengingat pemerintah banjarnegara tidak ada perubahan dari tahun ke tahun",Selesai,"Kamis, 09 Maret 2023 - 11:38 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,Terimakasih atas laporannya mas suko Kami usulkan penanganan peningkatan jalan tahun depan
29 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP06198449.html,KABUPATEN BANJARNEGARA,"yth Pak gubernur..Warga banjarnegara kota kesulitan air bersih, Air pam tidak mengalir hampir 1 bulan, tampaknya pak bupati juga tenang-tenang saja, masalah ini sudah bertahun-tahun, air keruh, jarang mengalir,..tolong pak gubernur bertindak",Selesai,"Rabu, 23 Oktober 2019 - 11:13 WIB",Kabupaten Banjarnegara,sudah selesai.
22 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP15678055.html,KABUPATEN BANJARNEGARA,"Yth. Bapak Gubernur Jawa Tengah, saya inging melaporkan kelangkaan pupuk, di Kabupaten Banjarnegara, Khususnya desa purwonegoro kec.purwanegara. Terjadi Kelangkaan sejak 17Juli 2014. Mohon ditindak lanjuti. Terima kasih.",Selesai,"Rabu, 01 Oktober 2014 - 08:49 WIB",DINAS PERTANIAN DAN PERKEBUNAN,"Kuota pupuk Kabupaten Banjarnegara tahun 2014 diatur melalui Pergub No. 54 tahun 2014 tanggal 19 Agustus 2014 adalah Urea 22.004 ton, SP36 4.114 ton, ZA 2.177 ton, NPK 10.743 ton dan Organik 5.763 ton. Sedangkan realisasi penyaluran s/d bulan Agustus 2014 sebesar 13.744 ton (67,26%), SP36 2.605 ton (63,32%), ZA 1.721 ton (79,05%), NPK 6.158 ton (57,32%) dan Organik 2.220 ton (38,56%). Dengan penyaluran tersebut untuk Kabupaten Banjarnegara stok pupuk masih cukup tersedia dan tidak akan terjadi kelangkaan di tingkat lapang. Untuk kepastian mendapatkan pupuk bersubsidi disarankan kepada Saudara Fajar Randi Yogananda agar petani tergabung dalam kelompok tani dan menyusun Rencana Difinitif Kebutuhan Kelompok (RDKK) dan menjadi patokan penyaluran / distribusi pupuk bersubsidi. Insya Allah melalui koordinasi dengan Dinas Pertanian Kabupaten / Komisi Pengawas Pupuk dan Pestisida (KP3) kebutuhan pupuk Saudara dapat terpenuhi."
06 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP20335231.html,KABUPATEN BANJARNEGARA,Bpjs dibanjarnegara bikin ribet mau berobat dirsu banjar dengan bpjs dengan alamt bpjs pekalongn tidak diterima padahal waktu pakai askes bisa buksn tambah mudah malah tambah masalah bubarin aja bpjs pemeras rakyat kecil3,Selesai,"Senin, 30 September 2019 - 16:04 WIB",BPJS Kesehatan,Terima kasih atas laporan yang disampaikan akan kami tindaklanjuti sebagai evaluasi untuk meningkatkan pelayanan kami agar lebih mudah diakses Peserta. Terima kasih.
06 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP14508755.html,KABUPATEN BANJARNEGARA,"dibanjarnega berobat dengan bpjs sangat ribet menggunakan bpjs alamat rujukan harus alamat aslinya, lah kalau dari jakarta pas pulang kampung sakit otomatis tidak bisa berobat dengan bpjs dibanjarnegara, mohon diluruskan dulu askes tidak begitu",Selesai,"Senin, 30 September 2019 - 16:05 WIB",BPJS Kesehatan,Terima kasih atas laporan yang disampaikan akan kami tindaklanjuti sebagai evaluasi untuk meningkatkan pelayanan kami agar lebih mudah diakses Peserta. Terima kasih
16 Dec 2014,https://laporgub.jatengprov.go.id/detail/LGWP27991535.html,KABUPATEN BANJARNEGARA,"Dalam APBD Th 2015 Pemda Banjarnegara menetapkan besaran Alokasi Dana Desa (ADD) hanya sebesar 7,7% dari Dana Perimbangan yang diterima Kabupaten. Hal ini menyalahi amanat UU No 6 Th 2014, PP No 43 Th 2014 dan Permendagri No 37 Th 2014 dimana Alokasi Dana Desa (ADD) adalah sebesar minimal 10% dari Dana Perimbangan yang diterima Kabupaten/Kota setelah dikurangi DAna Alokasi Khusus (DAK). Pemda Banjarnegara terancam Sanksi sebagaimana tertuang dalam UU No 6 th 2014 Psl 72 Ayat (6). Kepada Bapak Gubernur Mohon ada tindaklanjut agar Pemda Banjarnegara tidak melanggar UU,PP dan Permendagri sebagaimana tersebut diatas sehingga kabupaten kami tidak terkena sanksi tersebut.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
31 Jan 2015,https://laporgub.jatengprov.go.id/detail/LGWP13849828.html,KABUPATEN BANJARNEGARA,Asalmk.wr.wb bapk gubernur yang terhormat didesa luwung rakit banjarnegara masih banyak rakyat miskin yang tidak punya kartu jkn/bpjs dan untuk yang sudah punya mesti bayar iuran bulanan pdahl penghasilanya sangat kurang mohon di bantu dengn aturan bpjs yang memberatkan rakyat miskin,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
11 Feb 2017,https://laporgub.jatengprov.go.id/detail/LGSM28239380.html,KABUPATEN BANJARNEGARA,"Ass Slamat sore Pak Ganjar..sya mau minta bantuan dari bapak.. pak? pelayanan Puskesmas Bawang, Dusun Wanadri sangat mengecewakan buat kami. semalam tepat pukul 01:00 anak saya dalam kondisi memprihatinkan atau darurat sangat membutuhkan pertolongan.. tapi setiba di puskesmas anak sya gak di respon pihak puskesmas Pak.. dengan alasan lemari obat2an terkunci.. sedangkat disitu tercatat bahwa puskesmas melayani 24 jam praktek.,gmna mnrut Bpk?Trimakasih",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
21 Mar 2015,https://laporgub.jatengprov.go.id/detail/LGWP30358500.html,KABUPATEN BANJARNEGARA,"selamat malam pak Gubenur,saya mau bertanya kenapa ya pak dikota kecil seperti wonosobo dan banjarnegara karaoke plus plus diijinkan untuk dibuka,dan kekawatiran saya terhadap hal-hal negatif juga ternyata benar,malam minggu anak-anak SMP membawa miras dan mirisnya mereka menyewa PL untuk melakukan hal yang tidak baik. terimakasih pak .",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
