Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
10 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP92592153.html,KABUPATEN BANYUMAS,"Yth. Gubernur Jawa Tengah, Kami sampaikan bahwa di Desa Kami sedang beridiri Pabrik Semen, yang ingin kami sampaikan adalah adanya polusi disepanjang jalan yang diakibatkan oleh kotoran/ sisa tanah yang menempel pada ban kendaraan yang keluar masuk lokasi pembangunan pabrik semen,kami sudah menyampaikan hal tersebut kepada bupati Banyumas. Untuk itu kami mohon bantuan gubernur untuk membantu mencari solusi agar pembangunan pabrik tersebut tidak mengganggu lingkungan",Selesai,"Rabu, 19 Februari 2020 - 12:04 WIB",DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,terima kasih
26 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP46091890.html,KABUPATEN BANYUMAS,Mohon pak Ganjar cek mengenai pungutan pembangunan pendidikan di SMK Negeri 2 Purwokerto yang sudah meresahkan warga yang tidak mampu tapi memiliki prestasi. Warga yang tidak mampu tapi anaknya pandai tidak diberi kesempatan dan masih dipaksa untuk membayar atau bila tidak mampu diminta mencari sekolah lain bahkan guru didik kadang berkata tidak sepantasnya sebagai guru. Apakah memang ada pungutan hingga lebih dari Rp.2 juta untuk masuk SMK tersebut? Apakah harus orang yang berduit saja yang bisa sekolah di sekolah milik rakyat (sekolah negeri)? Mohon tanggapan bapak Ganjar yang kami hormati dan kami sayangi. Kami selalu berdoa agar Bapak selalu diberi kesehatan agar mampu mengemban amanah masyarakat Jawa Tengah.,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
09 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP34412666.html,KABUPATEN BANYUMAS,"5 hari kerja rumahsakit prov, seperti diketahui bahwa dengan belakunya sistem BPJS banyak didapat kasus kasus penyakit tertentu yang tidak dapat ditanagani di daerah harus dirujuk ke rs yang lebih lengkap, contoh rs margono pwt, banyak pasien dari salem brebes, majenang cilacap bahkan pangandaran ciamis, setelah samapi di rs dengan anatrian yang panjang (karena banyaknya pasien yang berobat) setelah sampai ke poliklinik antri untuk diperiksa dokter, jika memerlukan pemeriksaan darah atau rongen foto antri at menunggu hasil, jika hari itu jadi hasilnya karena sdh siang dan kembali ke poliklinik sdh tutup, sehingga tidak selesai satu hari, walaupun kadang sdh mendapatkan obat, tetapi hasil pemeriksaan hasil akan diketahui oleh dokter pada minggu depan pada saat kontrol, seandainya ada kebijakan 5 hari kerja kami yakin itu bisa tidak terjadi, bapak gub : era pelayanan berfokus pada masyarakat sdh saatnya, krena hal ini merupakan bentuk kesejahteraan warganya dalam bernegara, toh kesejahteraan para pns terus meningkat lah imbal baliknya ya harus ada, semoga ini bisa terlaksana toh di rs lain dan sdh dapat dilaksanakan dan terbukti ampuh bagi masyarakat",Selesai,"Senin, 26 Agustus 2019 - 14:50 WIB",DINAS KESEHATAN,kasus sudah ditindaklanjuti dengan 5 hari kerja.nuwun
24 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP16191388.html,KABUPATEN BANYUMAS,"Yth. Pak Gubernur, saya ingin bertanya, apakah untuk masuk SMA Negeri Banyumas harus membayar minimal 5 juta dapat dibenarkan",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP94399741.html,KABUPATEN BANYUMAS,25. Yth Gub Jateng. Saya punya keponakan dari Banyumas sekolah di SMKN 1 Dukuhturi Tegal. Keponakan saya tidak pernah mendapatkan bantuan pendidikan apa pun. Padahal dari keluarga kurang mampu dan ibunya mengalami gagal ginjal. Apakah orang yang tidak bersekolah di daerah asal tidak bisa mendapatkan BSM atau BLSM? Terima kasih.,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP04454201.html,KABUPATEN BANYUMAS,"55. Pak tolong dong kalau majek kendaraan jangan pakai KTP atas nama. Kita jadi kesulitan dan ujung-ujungnya juga jadi nembak KTP. Matur nuwun pak. (Kirun, Banyumas) SM",Selesai,"Rabu, 06 Agustus 2014 - 09:40 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Menanggapi aduan Saudara Kirun, dapat kami sampaikan bahwa melampirkan KTP merupakan syarat wajib bagi pembayaran pajak kendaraan bermotor guna mengantisipasi terjadinya kejahatan."
09 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP59071569.html,KABUPATEN BANYUMAS,"pak saya selaku wali murid siswa di salah satu sekolahan jurusan pelayaran di purwokerto,saya mau menanyakan tentang sistem pelaporan keuangan yang di lakukan oleh sekolah. sebelumnya saya pernah di tagih untuk melunasi biaya gedung, tetapi saya sudah membayar dan ada bukti2 nya, setelah saya menghadap ke pihak sekolah saya di sana hanya di lempar sana lempar sini pak.dan kemarin anak saya dapat beasiswa dari pemerintah, sebesar Rp.1000.000 akan tetapi anak saya hanya menerima separuh nya, dengan alasan yang kurang meyakin kan dari pihak sekolah, saya kira itu sangat janggal, sedangkan saya mau menginformasikan ke dinas pendidikan saya tidak tahu alamat pengaduan atau yang di tuju. dan bagaimana tindakan yang harus di lakukan sebagai wali murid",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
11 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP86930004.html,KABUPATEN BANYUMAS,mohon diperhatikan kemacetan truk jalur wangon-ajibarang kab.banyumas karena sangat mengganggu aktifitas ekonomi dan pendidikan. Anak-anak sekolah kesulitan transportasi sehingga harus jalan kaki dg jarak yg sangat jauh. Terimakasih...mohon dg sangat.,Selesai,"Jumat, 15 Agustus 2014 - 08:35 WIB",DINAS PERHUBUNGAN,"bersama ini kami sampaikan bahwa kemacetan terjadi karena adanya pengalihan rute kendaraan berat ke jalur Selatan akibat amblesnya jembatan Comal, pengalihan rute ini merupakan satu-satunya langkah untuk distribusi barang secara nasional yang saat ini sifatnya sementara sambil menunggu Jembatan Comal selesai diperbaiki. kita sedang mendorong kebijakan dari Pemerintah Pusat untuk pengalihan distribusi barang menggunakan moda lain (kereta/laut). demikian, dan Terima Kasih. salam sukses selalu untuk anda."
14 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP87523383.html,KABUPATEN BANYUMAS,"Saya TKI asal Banyumas dan bekerja di Hong Kong .setiap T KI diwajibkan bikin KTKLN yg syaratnya hrs ada asuransi dan surat kesehatan/medikal padahal syarat itu dah saya bawa dr HK,tp katanya hrs bikin lg serta ada biaya unt asuransi 2th 290rb,1th 170rb ,biaya medikal 125rb.padahal bikin KTKLN katanya gratis...saya dan tmn2 berpikir ini pemerasan secara halus mhn segera ditindak.trims",Selesai,"Senin, 18 Agustus 2014 - 13:02 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL","Laporan telah kami selesaikan, terima kasih"
01 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP31784887.html,KABUPATEN BANYUMAS,"Ass, pak gub, sy berharap bpk membuat peraturan atau larangan membangun perumahan di sawah2 atau kebun2 yg produktif di jateng, khususnya di purwokerto banyumas pak, hampir habis lahan sawahnya pak. Mhon direspon, trimakash.",Selesai,"Rabu, 03 September 2014 - 12:09 WIB",DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,laporan telah diselesaikan.
