Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
13 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP20288669.html,KABUPATEN BATANG,"di Desa Tumbrep Kecamatan Bandar Kabupaten Batang terdapat 2 (dua) penambangan galian C baru tanpa ijin, yang sangat membahayakan lingkungan, terutama dengan keberadaan jembatan yang sudah mulai tergerusnya pondasi jembatan. apalagi keberadaannya juga sangat mengganggu lalu lintas, mohon tindak lanjutnya karena kami sudah lapor ke pihak kabupaten namun belum ada tindak lanjutnya.",Selesai,"Selasa, 17 Juni 2014 - 11:45 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Terima kasih Sdr. Ah Efendi, perlu kami jelaskan bahwa Dinas ESDM Prov. Jateng telah melakukan langkah-langkah penertiban bersama-sama dengan Tim Pertambangan Kabupaten Batang dengan hasil sebagai berikut : 1. Kedua pihak pengelola tambang (Sdr. Chaerul Anam dan Sdr. Nur Alim) sudah diminta untuk menghentikan kegiatan penambangan. 2. Pihak Satpol PP Kab. Batang mengundang ke dua pengelola tambang untuk datang ke kantor Satpol PP Kab. Batang pada hari Kamis tanggal 5 Juni 2014 (surat undangan sudah disampaikan saat di lapangan untuk diberikan pembinaan)."
25 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP15422237.html,KABUPATEN BATANG,pak saya warga ujungnegoro kab batang mau menanyakan masalah pltu di batang kok sepi gak jelas kelanjutannya ? dan bagai mana tuntutan warga tentang kompensasi lahan kok belum ada titik terang nya ?,Selesai,"Selasa, 17 Juni 2014 - 11:33 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Terima kasih Sdr. Khoirin, dapat kami jelaskan sebagai berikut : Pada dasarnya proyek PLTU Jateng di Ujungnegoro Kab. Batang tetap jalan, karena proyek tersebut termasuk dalam Program Masterplan Percepatan dan Perluasan Pembangunan Ekonomi Indonesia (MP3EI) 2011 – 2025 (Perpres 32 Tahun 2011 tentang MP3EI). Saat ini progresnya sedang melakukan pembebasan lahan ± 15 Ha dan penyiapan lokasi blok pembangkitan (tapak power) . Untuk kompensasi lahan saat ini masih diupayakan mencari lahan yang dipersiapkan untuk memberikan kompensasi kepada buruh tani dan penyiapan jaminan sosial selama buruh tani belum memperoleh pekerjaan atau tanah garapan (sampai saat ini data jumlah penerima jaminan sosial belum clear). Kelihatannya untuk pembebasan lahan akan ditangani oleh Pemerintah Pusat."
20 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP91074169.html,KABUPATEN BATANG,"Bapak Gubernur, kami sangat gembira dengan adanya BOS untuk jenjang pendidikan menengah. Namun mohon dikontrol tuk penggunaan dan pelaporan keuangan di masing2 sekolah. Sepertinya kami ortu siswa/komite tidak diberikan penjelasan tentang penggunaan BOS. Bahkan katanya pelaporan penggunaan BOS hanya dilaporkan ke pemerintah saja.(perwakilan komite sekolah menengah Kab. Batang)",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
20 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP91448765.html,KABUPATEN BATANG,"pak gubernur jawa tengah tolong di cek pelayanan di samsat batang,masak buat ambil nopol harus bayar lagi!",Selesai,"Kamis, 10 Juni 2021 - 09:32 WIB",Kepolisian Daerah Jawa Tengah,silahkan datang melaporkan perkaranya ke Polres atau Polsek setempat dengan membawa bukti-bukti dan saksi-saksi.
04 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP09537865.html,KABUPATEN BATANG,Pengadilan Agama Kab.Batang sekarang bermunculan banyak calo perkara dari Kantor Advokat resmi maupun abal-abal karena pihak Pengadilan Agama hanya mau menerima surat gugatan cerai sudah dalam bentuk CD.Pegawai PA saat dmintai soft copy bentuk pengajuan gugatan malah marah2 & mempersilahkan menggunakan jasa biro hukum yang ada di sekitar PA.Untuk setiap gugatan dikenai tarif Rp 150.000. Kemudian pihak biro hukum akan memprospek para penggugat agar menggunakan jasa pengacara dengan iming-iming terima beres & diprovokasi agar kasusnya cepat selesai.Tarifnya berkisar Rp 3.000.000 - 5.000.000 per kasus.Bahkan mereka bisa meminta tambahan dengan mencari berbagai alasan.Mohon ditindaklanjuti karena ada kantor biro hukum abal -abal tidak memiliki ijin sehingga saat pengadilan berjalan pihak hakim menolak kehadirannya mewakili penggunggat sehingga justru banyak orang dirugikan karena sudah membayar sejumlah uang namun malah tidak bisa melanjutkan sidang.Dan pihak biro hukum tidak mau dicabut kuasanya atau mengembalikan uang yg sudah dibayarkan.Mohon ditindaklanjuti karena petugas PA tidak mau tahu justru marah & berkilah saat ditegur mereka justru melegalkan praktek jual beli hukum ini,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
24 Nov 2014,https://laporgub.jatengprov.go.id/detail/LGWP21914022.html,KABUPATEN BATANG,"aslamulkm,,, pak gbernur yang terhormat khususnya di daera kbpten batang tiap hari banyak orang jualan lotre atau togel teptnya di kecamatan bandar mohon pak agar cpat di ttindak lanjuti karena sangat meresah kan warga karena banyak anak anak di bwh umur ya ng beli .. trmkasih",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
02 Dec 2014,https://laporgub.jatengprov.go.id/detail/LGWP68870169.html,KABUPATEN BATANG,"pembuatan e-ktp di kecamatan wonotunggal,Batang harus menunggu jadwal muter desa.",Selesai,"Kamis, 04 Desember 2014 - 14:22 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami selesaikan. Terima kasih
15 Jan 2015,https://laporgub.jatengprov.go.id/detail/LGWP70144111.html,KABUPATEN BATANG,"Yth Bapak Gubernur Jawa Tengah, tindak lanjut atas pengaduan saudara Heriyanto tanggal 30 Desember 2014, petugas TNKB bernama Richardus Adi Nugroho, telah diberhentikan terhitung mulai tanggal 14 Januari 2015 sesuai surat Kasat Lantas Kab. Batang kepada kami Nomor: B/10/1/2015 tanggal 14 Januari 2015 dan surat dari Pimpinan Workshop TNKB Jateng Nomor B/02/1/2015/TNKB Tanggal 14/01/2015 Perihal : Pemberhentian Personil Workshop Cetak TNKB telah diberhentikan sebagai petugas workshop cetak TNKB Samsat Kab. Batang. Sedangkan untuk pengembalian kerugian saudara Heriyanto yang diterima petugas TNKB tsb, kami berusaha mencari alamat yang bersangkutan, sampai dengan sekarang belum diketemukan dan kami sudah mengirim email kepada saudara Heriyanto untuk memberikan alamat dan nomor telepon yang bisa dihubungi. Namun sampai hari ini belum ada respon (email terlampir)",Selesai,"Senin, 09 Februari 2015 - 09:33 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,Terima Kasih atas tindaklanjut pengaduan masyarakat
03 Mar 2015,https://laporgub.jatengprov.go.id/detail/LGWP98390299.html,KABUPATEN BATANG,"Selamat malam sy warga jawa timur,nama sy arys ika. Melaporkan tentang masalah di polsek limpung penangkapan supir truk dengan membawa senjata tajam. Sama pak polisi polsek limpung batang langsung dimintai uang 20juta setelah di sel satu malam. Jika tidak di beri uang dalam malam ini supir tersebut di bawa ke mapolres jawa tengah. Sedangkan polisi tersebut menunggu uang 20juta sekarang ini",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
21 Feb 2017,https://laporgub.jatengprov.go.id/detail/LGSM74204205.html,KABUPATEN BATANG,Assalammualaikum wr.wb Pak Gnjar saya mau mengadukan permasahan di SD MENGUNENG 1 WARUNG ASEM. Masalahnya begini 1. Siswa siswa kalau mau jajan di luar sekolah nilainya di kurangi. 2.guru juga melarang Siswa jajan di luar. Saya mewakili paguyupan KOMPAS(komunitas pedagang antar sekolah).memang ada Undang Undang menggatur begitu.tolong di tindak lanjuti Pak.. wakalaikum salam wr wb,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
