Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
10 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP66578647.html,KABUPATEN BLORA,"Pak Ganjar......untuk wilayah Blora Kota saat ini ketersediaan LPG 3 Kg langka dan sulit, ditingkat pengecer bahkan tidak ada stok. Tolong pak kasihan ibu-ibu rumah tangga harus ""kliyengan ngalor-ngidul"" padahal harus segera masak untuk makan pagi anak-anak kami yang harus sekolah......",Selesai,"Selasa, 17 Juni 2014 - 11:48 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Terima kasih Sdr. Bambang Sugianto, Dinas ESDM Prov. Jateng telah melakukan langkah-langkah koordinasi dengan Pemkab Blora, Perwakilan Agen LPG dan Pertamina dengan hasil sebagai berikut : 1. Bagian Perekonomian Kab. Blora • Secara umum penyediaan LPG 3 kg di Kabupaten Blora masih terkendali. • Pada bulan Maret - Mei 2014 di daerah perbatasan dengan Provinsi Jawa Timur (Kec. Cepu) sempat terjadi kekurangan pasokan diakibatkan sudah tidak ada rembesan LPG 3 kg dari Provinsi Jawa Timur. • Pemkab Blora telah mengajukan tambahan kuota dan sudah ditindaklanjuti oleh pertamina pada minggu ke IV bulan Mei 2014. 2. Perwakilan Agen LPG 3 kg • Suplai LPG 3 kg pada mulanya juga dipenuhi dari rembesan dari Provinsi Jawa Timur sekitar 4 truk/hari melalui Cepu. • Sekitar 3 bulan terakhir rembesan sudah tidak terjadi karena disparitas harga di Jawa Timur dan Jawa Tengah sudah seimbang. • Tidak adanya rembesan menyebabkan permintaan LPG 3 kg yang disuplai oleh Agen di Kab. Blora meningkat dan ditambah dengan migrasi pengguna tabung 12 Kg ke 3 Kg. • Untuk saat ini sudah ditindaklanjuti dengan penambahan kuota secara fakultatif dari Pertamina. 3. PT. Pertamina (SR Wilayah Pati) • PT. Pertamina menerima permintaan dari Pemkab Blora terkait penambahan alokasi LPG 3 kg. • PT. Pertamina untuk sementara telah menambah alokasi LPG 3 Kg sebesar 4 % dari alokasi mingguan di Kab. Blora yang dibagi rata kepada masing-masing agen. • Kondisi ini akan terus dipantau dan jika masih ada kekurangan/gejolak di masyarakat dimungkinkan untuk ditambah sesuai hasil koordinasi dengan pemerintah."
21 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP78894282.html,KABUPATEN BLORA,"Mohon dibimbing dengan tegas pak gub,saya sudah muak dengan birokrasi di kab.blora ini,yang teman atau kawan bupati/kadin2 bekas timses dlu dengan mudah bisa memasukkan orang2 dekatnya jadi honorer dipemda atau kecamatan tanpa kompetensi sekalipun,kalau tidak segera ditindak mau kmna kab blora ini pak?klw berkenan turun saya bisa tunjukan contoh2nya..terimakasih pak gub",Selesai,"Rabu, 28 Mei 2014 - 15:28 WIB",BADAN KEPEGAWAIAN DAERAH,"Terkait hal tersebut, saudara dapat Klarifikasi/koordinasikan dengan BKD Kab. Blora"
21 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP51100890.html,KABUPATEN BLORA,"Semua akses jalan masuk ke Blora sudah lama rusak yang mengakibatkan hazard potential juga kerugian material in material,tolong agar segera diperbaiki",Selesai,"Rabu, 08 Maret 2023 - 14:32 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimkasih atas perhatiannya, khusus untuk jalan akses menuju kab. blora s/d saat sekarang berangsur-angsur kita tingkatkan baik kapasitas maupun strukturnya. karena panjang jalan provinsi ,di kab. blora = 150,45 km. Dinas Bina Marga Jawa Tengah mengalokasikan sekitar 36,732 M di TA. 2014 untuk penanganan peningkatan, rehabilitasi, pemeliharaan rutin jalan & jembatan dan secara bertahap akan dapat diselesaikan dengan konstruksi yang memadai sesuai dengan kondisi tanah"
21 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP25164169.html,KABUPATEN BLORA,blora jalannya rusak semua pak gub.....mohon diperbaiki segera.bupatinya tidak peka sama sekali,Selesai,"Rabu, 08 Maret 2023 - 14:33 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Saat ini jalan provinsi di kab. blora dilaksanakan penanganan pemeliharaan, rehabilitasi dan peningkatan jalan, dengan anggaran sekitar 36,7 M. Fokus penanganan pada ruas jalan : 1. Blora - Cepu (Pelapisan Aspal). 2. Singget - Cepu (Perkerasan Beton) 3. Kunduran - Blora (Perkerasan Beton) Namun belum semua ruas dapat tertangani dengan konstruksi yang memadai (Perkerasan Beton)"
12 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP77670963.html,KABUPATEN BLORA,"Selamat pagi pak Dahlan,ijinkan saya untuk bercerita sedikit.Saya tanggal 03/06/14 bermaksud untuk membeli tiket kereta api jurusan semarang dari stasiun Wado(daop 4 Semarang),ternyata di teras stasiun terdapat banner pengumuman yang intinya stasiun Wado mulai tanggal 01/06/14 sudah tidak melayani penjualan tiket kereta api tanpa adanya alasan yang tepat.Hal ini tentu sangat merepotkan para penumpang yang akan naik kereta api dari stasiun Wado,karena harus ke stasiun Cepu dulu sedangkan jarak Wado-Cepu juga tidak dekat serta jalan yang dilalui juga sangat parah.Padahal antusias penumpang kereta api disekitar Wado juga terbilang sangat besar. Kami sebagai pengguna setia kereta api merasa dipersulit dengan aturan seperti itu.Tolong dong pak,pihak PT.KAI jangan malah menyulitkan penumpang dengan aturan-aturan seperti itu,biarkanlah seperti dulu lagi.Kalau memang ada permasalahan dalam penjualan tiket di stasiun Wado,jangan penumpang yang jadi korban.Semoga pak Dahlan bisa memberikan kebijakan terkait kasus tersebut.terima kasih.",Selesai,"Senin, 30 Juni 2014 - 10:02 WIB",DINAS PERHUBUNGAN,"Perihal pengaduan saudara, berikut kami sampaikan bahwa :"
23 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP07523902.html,KABUPATEN BLORA,"Assalamu'alaikum Pak Gub.. mohon dengan sangat Jalan-jalan yang ada di wilayah kab. Blora diperbaiki, apa g malu kota penghasil minyak yang tidak sedikit kok jalanya seperti itu. Uang bagi hasilya lari kemana aja.",Selesai,"Kamis, 09 Maret 2023 - 11:31 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya sdr. Ahmad Nasukha, SH Telah dilaksanakan program - program penanganan jalan di wilayah Blora secara berkelanjutan dengan konstruksi yang permanen. Khusus untuk TA. 2014, di jalan provinsi dianggarkan sekitar Rp. 36,7 Milyard. Mohon bersabar untuk penanganan permanen secara serentak karena membutuhkan dana yang tidak sedikit"
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP21809845.html,KABUPATEN BLORA,"Assalamualaikum Wr Wb. Yth Gubernur Jawa Tengah Bapak Ganjar Pranowo. Pak, saya mau Tanya kenapa kok jalan di Kabupaten Blora banyak yang rusak. Padahal merupakan jalan provinsi antara Jawa Tengah dan Jawa Timur. Jalan yang rusak khususnya di Kecamatan Jati/Doplang, Kecamatan Randublatung, Kecamatan Kedungtuban, dan Kecamatan Cepu. Mohon Bapak Ganjar segera membangun (aspal) jalan antara Kecamatan Jati/Doplang sampai Kecamatan Cepu. Wassalamualaikum Wr Wb. (Jaya, Jati/Doplang, Blora)",Selesai,"Kamis, 09 Maret 2023 - 11:34 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya saudara jaya perlu saya sampaikan bahwa kerusakan jalan bisa disebabkan karena faktor kelebihan muatan, faktor alam dan lambatnya penanganan. pada saat ini jalan provinsi di kabupaten blora (khususnya daerah randu blatung - doplang) dilaksanakan penanganan dengan konstruksi rigit pavement yang terbukti cukup membawa hasil yang memuaskan /tidak cepat rusak. Pada TA. 2014 di kab. blora untuk jalan provinsi dianggarkan -+ Rp. 36,732 M. pada TA. 2015 akan ditingkatkan pendanaannya untuk mengejar kerusakan yang ada."
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP18419369.html,KABUPATEN BLORA,"Yth Pak Ganjar, mohon solusi jalan raya Pucakwangi Pati-Todanan Blora rusak banget lebih-lebih jalan Todanan ke Desa Wateshaji yang masuk Kec Pucakwangi Pati rusak total n mengerikan. Mohon kebijakan dan solusi terbaik demi pelayanan public. Terima kasih. (Sarpin, Pucakwangi Pati)",Selesai,"Kamis, 09 Maret 2023 - 11:35 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,Terimakasih atas laporannya saudara Sarpin Pada tahun 2014 ruas jalan provinsi juwana - todanan hanya dilaksanakan pemeliharaan rutin dan perbaikan beberapa gorong-gorong. Sehingga masih dalam proses perbaikan (masih sekitar 2 km) pada arah perbatasan dengan kab. blora. Pada anggaran perubahan 2014 diupayakan adanya peningkatan struktur dengan perkerasan beton sepanjang kurang lebih 600 m Mohon bersabar untuk TA. 2015 akan dilanjutkan pelaksanaan peningkatan jalan
13 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP49192310.html,KABUPATEN BLORA,Yth bpk ganjar..mohon untuk ditindak tegas kepala puskesmas jepon...dikarenakan telah menyalah gunakan wewenang dan jabatan utk memperkaya diri sendiri dan menindas hak dari semua pegawainya. . seperti mark up data agar dana yg keluar bertambah banyak.. Adanya permintaan prosentase bagian utk pribadi setiap ada dana ataupun uang masuk kepuskesmas...adanya pemakaian dana kas kntor yg malah digunakan untuk kepentingan lain diluar kntor tanpa ada musyawarah dari para staf..motor dinas kntor yg hrsnya utk operasional malah dipakai utk saudaranya yg bukan Pegawai puskesmas...rmh dinas yg lbh diutamakan utk org lain daripada utk stafnya sndiri.. Adanya permintaan setoran kepribadi dan kntor yg mau tak mau program yg seharusnya bisa jalan menjadi mandeg krn biaya operasional yg diterima tdk sesuai.....dan masih banyak lagi jika mau diungkap. Yg penting bpk bisa membentuk tim yg solid dan punya sikap independent yg tinggi utk mengatasi hal ini...sikap loyalitas dari pegawai yg telah diabdikan utk bangsa ini jd tercoreng gara2 seorg oknum yg terlalu cinta duniawinya...kasihan mereka mereka yg mjd sapi perah kepalanya itu....walaupun sy tak punya bukti fisik tp sy yakin akan kasus ini.apakah memang ada aturan seperti itu...mari pak ganjar kita berantas semua ketidak adilan di pemerintahan ini....saya yakin bpk mampu....terima kasih..matur nuwun...,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
14 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP49478237.html,KABUPATEN BLORA,"Desa nglebur kecamatan jiken,kabupaten blora.. Disini banyak penjarahan kayu jati. Dilakukan petugas secara terorganisir. Begitu juga dg ds sebelahnya. Ds bleboh.",Selesai,"Kamis, 10 Juni 2021 - 09:51 WIB",Kepolisian Daerah Jawa Tengah,silahkan datang melaporkan perkaranya ke Polres atau Polsek setempat dengan membawa bukti-bukti dan saksi-saksi.
25 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP02328920.html,KABUPATEN BLORA,"Lapor gub, d ds karang kec bogorejo kab BLORA bnyk bntuan pertnan dan petrnkn yg tdk tpat sasaran karena dkuasai oleh pengurus dan ketua klompok tani saja. Dan slma ini blm ada sidak dr dinas trkait untk mengawasi pengelolaan bntuan trsbt. Artny pngurus dan ketua bebas menikmati bntuan trsbt untk pribdi masing2.mohon tindakany Pak Ganjar. Trima kasih.",Selesai,"Selasa, 19 September 2017 - 08:58 WIB",DINAS PERTANIAN DAN PERKEBUNAN,"Terimakasih atas laporan yang diberikan. Untuk mempermudah penelusuran kami, mohon penjelasan di lengkapi dengan nama kelompok tani yang dimaksud. Terimakasih atas kerjasama yabg diberikan."
29 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP89946958.html,KABUPATEN BLORA,jln purwodadi-blora rusak parah,Selesai,"Kamis, 09 Maret 2023 - 11:40 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas masukan Mbak retno. Ruas jalan Purwodadi - Blora sepanjang Kilometer, pada tahun 2014 terdapat pekerjaan peningkatan jalan dengan perkerasan beton sepanjang kurang lebih 2,5 Km diprioritaskan pada lokasi yang mengalami rusak parah. Mohon bersabar, tahun 2015 akan kami tingkatkan lebih panjang."
09 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP83198666.html,KABUPATEN BLORA,"kami ingin melaporkan penyimpangan-penyimpangan yang dilakukan para perangkat/aparat pemerintahan di kab.Blora pada umumnya khususnya ditempat kami tinggal didesa Karang,kec.Bogorejo, mohon alamat email untuk laporan selengkapnya, krn di laporgub.jatengprov.go.id ini kami coba berjuta-juta kali lampirannya tidak bisa masuk..Tks",Selesai,"Rabu, 07 Januari 2015 - 10:47 WIB",INSPEKTORAT,Telah dikonfirmasi oleh Inspektorak Kabupaten Blora dengan surat nomor 700/006 Rhs tanggal 20 November 2014 bahwa penyimpangan-penyimpangan yang dimaksudkan dalam aduan tersebut adalah terkait Sekretaris Desa sudah beberapa tahun diangkat menjadi PNS tetap menggarap tanah bengkok tersebut ternyata terbukti memang benar. Terkait program bantuan dari Pemerintah dikuasai pihak tertentu dan terjadi penyalahgunaan wewenang sebagai perangkat desa dinyatakan benar. Terkait masalah yang terjadi tersebut Camat Bogorejo akan melakukan pembinaan kepada Kepala Desa dan Perangkat Desa Karang Kec. Bogorejo dan disepakati bahwa mereka bersedia dan sanggup untuk mengganti perangkat desa atau anggota keluarga yang menjadi pengurus dan disamping ituakan menjalankan Pemerintahan Desa dengan sebaik-baiknya sesuai dengan ketentuan yang berlaku. Terima kasih. 
15 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP49725735.html,KABUPATEN BLORA,"pak Ganjar...kami ad. kelompok masyarakat swadaya,ingin menyampaikan beberapa hal penyimpangan yang dilakukan para perangkat/aparat pemerintahan di kab.Blora pd umumnya karena disini sudah tidak ada lagi yang bisa dipercaya...warga menghendaki berdemo pak, tapi kami menawarkan solusi untk memohon penanganan pak Ganjar selaku Gubernur Jateng,yg pertama didesa kami, ds. Karang kec. Bogorejo kab. Blora. sekertaris desa ditempat kami sudah beberapa tahun di angkat jadi PNS tapi kok masih menggarap tanah bengkok dan juga dibeberapa desa lain mohon diklarifikasi, yang kedua disini segala bentuk program bantuan dari pemerintah dikuasai oleh calo-calo proposal mereka ad anggota dewan dan orang-orang dekatnya serta mereka yang memiliki link ke pejabat daerah...mereka memanipulasi data mohon diadakan pengecekan fakta realisasi di lapangan.sebenarnya banyak hal yang ingin kami sampaikan tapi kami paham Blora hanyalah wilayah kecil dari Jateng yg bapak pimpin, untuk meredam gejolak warga mohon diinformasikan langkah yang diambil Bapak atas laporan kami. tks",Selesai,"Jumat, 05 Desember 2014 - 08:33 WIB",INSPEKTORAT,"Inspektorat Provinsi Jawa Tengah telah menerima Surat dari Inspektur Kabupaten Blora dengan surat nomor 700/006 Rhs tanggal 20 November 2014, bahwa terkait SekDes yang menggarap tanah bengkok telah diadakan klarifikasi langsung kepada Sdr. Santoso (SekDes) Karang, Kec. Bogorejo) dijelaskan bahwa memang benar sampai saat ini menggarap bengkok seluas 7000 m2. Terkait program bantuan dari pemerintah yang dikuasai pihak ketiga dan penyalahgunaan wewenang sebagai perangkat desa sudah diklarifikasikan langsung kepada Sdr. Sukono (Kepala desa Karang) dan Sdr. Ruskan (Kaur Pem Des Karang) ada benarnya bahwa : - Di desa Karang saat ini sudah terbentuk 5 KUBE dan dana bantuan untuk kelompok belum cair.  - Ada 5 orang perangkat desa yang menjadi pengurus dan anggota kelompok serta 1 orang istri perangkat menjadi anggota kelompok. - ada 1 kelompok melaksanakan iuran sebesar Rp. 100.000,- per anggota untuk membuat kandang kambing.  Terhadap masalah tersebut kami berkoordinasi dengan Camat Bogorejo dan telah melakukan pembinaan kepada Kepala Desa dan Perangkat Desa Karang Kec. Bogorejo dan disepakati bahwa mereka bersedia dan sanggup untuk mengganti perangkat desa atau anggota keluarga yang menjadi pengurus maupun anggota KUBE. Disamping itu juga akan menjalankan pemerintahan desa dengan sebaik-baiknya sesuai dengan ketentuan perundang-undangan yang berlaku.  Terima Kasih. "
