Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
31 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP65750389.html,KABUPATEN BOYOLALI,"1. Keputusan K2 mohon dikaji kembali. ini coba saya lampirkan kertu ujian cpns K2 pada tahun 2005-2006. dari kartu ini mngkin bisa saja di telusuri file2 atau dokumen pada saat tes tersebut karena hanya dari data itu yang menunjukkan peserta asli K2. khususnya Pemkab Boyolali. 2. tentang cpns, mohon bisa diawasi bagi yang sudah terseleksi lolos jangan sampai ada PUNGUTAN Biaya yang dilakukan oleh oknum2/pejabat pemerintahan atau mngkin yang lainnya. mohon bisa jadikan jawa tengah provinsi yang benar2 bebas dari korupsi. 3. jika memang dikehendaki mutasi bagi para pns ato pejabat, mohon secara proporsional dan bertanggungjawab. jangan sampai nama partai menjadi alasan pemecatan,mutasi, pemindahan atau kesewenangwenangan. sebelumnya terimakasih atas perhatiannya.",Selesai,"Kamis, 05 Juni 2014 - 13:27 WIB",BADAN KEPEGAWAIAN DAERAH,"Terimakasih atas laporan dan masukannya. 1Pengangkatan Tenaga honorer menjadi CPNS dari Tenaga Honorer K2 - Pengangkatan Tenaga Honorer menjadi CPNS dari Tenaga Honorer K2 mengacu PP No, 56 tahun 2012 tentang perubahan kedua atas PP No. 48 tahun 2008 pentang Pengangkatan tenaga Honorer menjadi CPNS disebutkan bahwa  Pengangkatan tenaga honorer yang bekerja pada instansi Pemerintah yang Penghasilannya tidak dibiayai oleh APBN/APBD dilakukan melalui pemeriksaan kelengkapan administrasi dan lulus seleksi ujian tulis kompetensi dasar dan kompetensi bidang sesama tenaga honorer. - Sesuai surat edaran Menteri PAN dan RB No. 05 tahun 2010 tentang Pendataan Tenaga Honorer yang Bekerja dilingkungan Instansi Pemerintah yang dimaksud tenaga honorer kategori II yaitu tenagahonorer yang bekerja pada instansi pemerintah yang penghasilannya tidak dibiayai APBN/APBD dengan kriteria sbb: a. Tenaga honorer yang penghasilannya dibiayai BUKAN dari APBN/APBD; b. Diangkat oleh pejabat yang berwenang; c. Bekerja di instansi Pemerintah; d. Masa kerja minimal 1 tahun pd 31 desember 2005 dan sampai sekarang masih bekerja secara terus menerus; e. Berusia sekurang-kurangnya 19 tahun dan tidak boleh lebih dari 46 tahun per 1 januari 2006 - Pendataan tenaga honorer kategori II DILAKSANAKAN PADA TAHUN 2010 oleh masing=masing Pemerintah Daerah. 2. Naskah Soal dan pengolahan hasil nilai ujian oleh Konsursium Perguruan Tinggi Negeri yang ditunjuk Kemen PAN dan RB, Penetapan seleksi CPNS pelamar umum oleh Panitia Seleksi Nasional (Pusat), Sehingga apabila ada pihak yang memungut biaya (Agar TIDAK DIPENUHI) karena kelulusan CPNS murni dari hasil Seleksi. Sedangkan seleksi yang menggunakan CAT (Computer Asisted Test), peserta dapat langsung mengetahui nilainnya, 3. Bahwa dalam Pengangkatan, Pemindahan dan Pemberhentian seseorang dari Jabatan sudah ada peraturan yang mengaturnya sehingga ada dasar HUKUM nya (UU Nomor 5 tahun 2014 dan PP No.100 tahun 2000 yang telah di ubah menjadi PP No. 9 tahun 2003)  "
16 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP86944869.html,KABUPATEN BOYOLALI,"Kpd Pak Ganjar yth.mhn di perbaiki jalan jalur barat(alternatif)antara Kab.Klaten-Kab. Byl.mulai dari Ds.Kiringan,Ds Bono,Ds.Sudimoro.(kec.Tulung.Klt)sampai Pasar Tambak.Kab.Boyolali.mtr nwn.",Selesai,"Kamis, 09 Maret 2023 - 11:19 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya Sampai dengan TA. 2014 ini secara bertahap telah dilaksanakan peningkatan struktur dan kapasitas jalan provinsi ruas sangkalputung  - boyolali - klaten sepanjang 24,8 km. Pada TA. 2014 dianggarkan sebesar 6,66 M, dengan target panjang sekitar 3 km. kendala di lapangan adalah adanya angkutan galian gol C yang melebihi  kapasitas jalan, sehingga dikawatirkan jalan cepat rusak. kami mohon masyarakat untuk ikut berperan serta mengawasi kelebihan muatan di ruas tsb."
16 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP84611963.html,KABUPATEN BOYOLALI,"Selamat pagi pak Gubernur Ganjar Pranowo mohon di tegur instansi terkait di Boyolali,demi kondusif jelang PILPRES dan juga ekonomi baru SULIT tapi PERJUDIAN CAPJIKI sekarang terang2an PAKAI KEPLEK LOPAK DI SONOLAYU tlng pak,di wilayah Mojolegi Teras pengepul2 bkn bising,mhn di tindak lanjuti demi rakyat pak GUBERNUR",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
16 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP20852038.html,KABUPATEN BOYOLALI,"Selamat pagi pak Gubernur Ganjar Pranowo mohon di tegur instansi terkait di Boyolali,demi kondusif jelang PILPRES dan juga ekonomi baru SULIT tapi PERJUDIAN CAPJIKI sekarang terang2an PAKAI KEPLEK LOPAK DI SONOLAYU tlng pak,di wilayah Mojolegi Teras pengepul2 bkn bising,mhn di tindak lanjuti demi rakyat pak GUBERNUR",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP87374219.html,KABUPATEN BOYOLALI,"Salam sejahtera pak Ganjar..dan juga masyarakat indonesia..khususnya jawa tengah. Demokrasi,pendidikan dan prestasi,&hukum Saya andy c p di boyolali solo raya jawa tengah..tentang demokrasi tolong di dalam olahraga khususnya catur pengurus2 pusat di berikan jatah per daerah 1 atau 2 .. Pendidikan & prestasi..pembinanan di dalam langkah menuju juara harus benar di dlm pendidiknya dan biaya untuk menuju juara dan yang akan membawa nama daerah dan negara.. Hukum di dalam korupsi dana untuk pembinaan atlit..harus di program secara transparan kepada masyarakat umum..bnyk orang yg berprestasi membutuhkan biaya untuk bertahan hidup..terima kasih hormat saya ..hidup indonesia raya..",Selesai,"Senin, 09 Maret 2015 - 12:13 WIB","DINAS KEPEMUDAAN, OLAHRAGA DAN PARIWISATA","Yth. Mas Andi Induk Organisasi Olahraga Catur  adalah PERCASI (Persatuan Catur Seluruh Indonesia) Kabupaten/ Kota, Provinsi dan Pusat , sedangkan pemilihan Pengurusnya dilaksanakan melalui Musda maupun Munas yang selama ini telah berjalan dengan baik. dan demokratis Pembibitan, pembinaan dan pengembangan olahraga Catur dilaksanakan berjenjang mulai dari Kabupaten/ Kota hingga Pusat  sama dengan olahraga yang lain. Atlet terbaik Kabupaten akan dipantau oleh Tim Percasi Provinsi bersama KONI Jateng. Penghargaan untuk atlet berprestasi bisa berupa bonus maupun lainnya tidak ada pembedaan dengan atlet cabang olahraga yang lain, sedangkan bagi yang berstatus pelajar mereka akan diberikan beasiswa hingga jenjang ke Perguruan Tinggi."
24 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP54257702.html,KABUPATEN BOYOLALI,"Selamat malam pak GUBERNUR, lapor gub..! 1.di desa keposong, kec musuk, kab Boyolali ada Usaha penambangan pasir dengan alat berat, mohon di cek perijinannya , jika tidak memiliki ijin mohon di HENTIKAN SELAMANYA, jika memiliki ijin MOHON DI REVIEW KEMBALI perijinannya. ( untuk satu minggu ini penambangan berhenti karena ada warga yang protes, tetapi kelihatannya hanya SEMENTARA, karena dari Pihak PERANGKAT DESA tidak melarang kegiatan tersebut ( mohon di cek juga aparat njenengan yang ada di desa ) 2. mohon informasi aturan main penambangan pasir dengan alat berat kalau tidak salah Galian C ( batas/ jarak galian dari jalan utama, jarak dengan lahan di sebelahnya berapa meter, apakah ada kompensasi ke warga sekitar, kewajipan penambang pasca penambangan berakir ) karena kondisi saat ini jarak galian dengan jalan kurang dari 2 meter, dan jarak dengan lahan sebelah kurang dari 1 meter.",Selesai,"Kamis, 03 Juli 2014 - 08:25 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,Terima kasih atas informasi yang saudara sampaikan. Berdasarkan hasil koordinasi kami dengan Kabupaten Boyolali yang ditindaklanjuti dengan ceking lapangan dapat saya sampaikan sebagai berikut :
11 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP16981267.html,KABUPATEN BOYOLALI,"pak gubenur, apakah sampai saat ini untuk pengurusan STNK, BPKB, Plat nomer masih harus menunggu 6bln-1th? pada prakteknya oknum di samsat boyolali berkata demikian, tapi jika ingin cepat jadi. untuk STNK ada tambahan 200rb, kalo PLAT Nomer 100rb. dan fakta di lapangan memang demikian. mohon dituntaskan masalah penting di samsat ini. BERSIHKAN OKNUMNYA.. LANCARKAN birokrasinya...",Selesai,"Senin, 14 Juli 2014 - 15:25 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Menindaklanjuti aduan Saudara terkait adanya biaya tambahan untuk percepatan pembuatan STNK sebesar Rp. 200.000,- dan plat nomor sebesar Rp. 100.000,- bersama ini kami sampaikan bahwa penerbitan STNK, BPKB, dan Plat Nomor merupakan kewenangan Kepolisian. Setelah kami koordinasikan dengan pihak kepolisian menyatakan bahwa tidak ada tambahan pungutan sebagaimana dimaksud diatas guna mempercepat penerbitan STNK, BPKB, dan Plat Nomor. Namun demikian, kami mengucapkan terima kasih atas informasi yang Saudara berikan, untuk selanjutnya akan menjadi masukan bagi pihak Kepolisian agar melakukan pengawasan lebih lanjut."
14 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP58418290.html,KABUPATEN BOYOLALI,"Pak Ganjar yang terhormat, tolong TRUK - TRUK pasir yang tiap hari melintas di jalan mulai JATINOM - BOYOLALI lebih ditertibkan, kalo tidak salah sudah ada aturan WAKTU operasional untuk truk2 pasir tersebut, setiap pagi waktu jam berangkat sekolah dan jam masuk kantor masih banyak TRUK pasir yang merayap di jalan - jalan dimana ratusan orang melewati jalan tersebut baik buruh pabrik, buruh, pelajar, dan lainya, dan kadang banyak yang NGETEM didepan warung SOTO, Parkir di badan JALAN, YANG LAINYA JUGA PERLU KENYAMANAN dalam PERJALANAN pak, TRUK yang isi jalannya lelet dan berjajar, TRUK yang KOSONG melaju kencang (dalam bhs. jawa BYAYAKAN) yang kadang membahayakan pengguna jalan lain. kasihan yang lewat ada Ibu-Ibu, pelajar dan sebagainya, JALAN ITU JALAN UMUM bukan cuma MILIK SOPIR TRUK PASIR pak.",Selesai,"Kamis, 08 Januari 2015 - 11:48 WIB",DINAS PERHUBUNGAN,"Perlu kami beritahukan bahwa laporan saudara sudah dikoordinasikan dan dilakukan pengawasan menggunakan alat jembatan timbang portable bersama UPP, Polres dan Dishub setempat. Terima kasih."
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP14913477.html,KABUPATEN BOYOLALI,"93. Pak Ganjar, Selo sebagai objek tujuan wisata tidak kalah dengan Kintamani di Bali. Belasan group kesenian di Selo tentu mampu memikat turis domestic atau pun manca. Persoalannya dapatkah Jateng memrioritaskan pembangunan infrastruktur berupa pelebaran jalan dari Kecamatan Cepogo sampai Keteppas sejauh 30an km? Jika Pak Ganjar mampu memrioritaskan pelebaran jalan tersebut, tentu spektakuler, karena gubernur-gubernur sebelumnya angkat tangan dengan seribu alasan. (Esroq Heru Prasetyo, Boyolali) Rep",Selesai,"Kamis, 09 Maret 2023 - 11:32 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya saudara Esrog Memang ruas tersebut menjadi prioritas penanganan (SSB), saat sekarang kami melaksanakan peningkatan jalan dengan lapis ulang kendala yang ada adalah : 1. Ruas tersebut dilalui truk pasir yang melebihi batas muatan;"
07 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP01699848.html,KABUPATEN BOYOLALI,1) Sertifikasi guru honorer di Kab. Boyolali untuk tahun anggaran 2014 sampai sekarang belum ada yg cair. Mohon tindak lanjutnya Pak Gubernur. 2) Kondisi jalan di kecamatan Juwangi arah Boyolali kondisinya parah. Kondisi tanah yg labil sebaiknya di cor lebih awet.,Selesai,"Jumat, 08 Agustus 2014 - 09:37 WIB",BADAN KEPEGAWAIAN DAERAH,"Perlu kami sampaikan bahwa kebijakan sertifikasi bagi guru adalah kebijakan pemerintah pusat yang dalam hal ini dilaksanakan oleh Kementerian Pendidikan dan Kebudayaan. Untuk instansi Kementerian Pendidikan dan Kebudayaan yang ada didaerah adalah diwakili oleh Lembaga Penjamin Mutu Pendidikan (LPMP). Untuk lebih jelasnya dapat ditanyakan kepada petugas LPMP Jawa Tengah dan akan kami tindaklanjuti dengan berkoordinasi dengan LPMP untuk membantu permasalahan yang ada di daerah-daerah. Terima Kasih, selamat berkarya dan semangat dalam bekerja"
