Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
17 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP24579812.html,KABUPATEN CILACAP,"Pak gubernur Bpk Ganjar Pranowo UMSK untuk sektor migas kabupaten cilacap belum dilaksanakan .........bagaimana tanggapan pak gubernur? “Kita sangat menyayangkan upah sektor migas yang seharusnya dibayar mulai 1 Januari 2014, sampai saat ini belum juga dilaksanakan. Sehingga muncullah spanduk-spanduk itu sebagai bentuk protes FSBMC” http://rri.co.id/post/berita/83039/daerah/upah_sektoral_tak_kunjung_dibayar_buruh_migas_ancam_turun_ke_jalan.html",Selesai,"Jumat, 27 Juni 2014 - 07:23 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL","Laporan telah kami selesaikan, terima kasih."
07 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP52799213.html,KABUPATEN CILACAP,"yth Bpk gubernur jateng.saya ingin menanyakan masalah plat kendaraan.kenapa di kantor samsat cilacap tidak bisa mencetak plat kendaraan bermotor???alasanya karena belum ada droping dari pusat,padahal sudah 1 tahun lebih tp jawabanya masih selalu sama.sebagai salah satu wajib pajak saya selalu memenuhi kewajiban membayar pajak kendaraan setiap tahun,saya hanya ingin pemerintah tidak hanya selalu menuntut kewajiban wajib pajak dan mengesampingkan hak-hak wajib pajak...tolong perhatianya pak gubernur karna ini salah satu yg menyebabkan orang-orang enggan membayar pajak kendaraanya....",Selesai,"Kamis, 10 Juli 2014 - 08:48 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,Terima kasih atas informasi yang saudara sampaikan. Perlu diketahui bahwa Plat Nomor kendaraan bermotor merupakan wewenang dari pihak Kepolisian yang pengadaannya melalui Mabes Polri.
09 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP44914858.html,KABUPATEN CILACAP,"Segara Anakan, merupakan tempat terbaik untuk perkembangbiakan ikan semakin dangkal akibatnya Nelayan sangat kekurangan hasil. Bertanipun sulit krn hanya mengandalkan hujan. ketika kemarau Air sangat sulit di dapat. Intinya Dangkalnya Segara Anakan semakin mempersulit masyarakat Kecamatan Kampung Laut Kabupaten Cilacap.",Selesai,"Selasa, 19 Agustus 2014 - 07:13 WIB",DINAS KELAUTAN DAN PERIKANAN,Terima kasih atas partisipasi dan kepedulian saudara.
16 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP87581924.html,KABUPATEN CILACAP,"Aslm,info pak, untuk siaran ctv di majenang, di tmpt kmi nyeplet ke antv,mohon pembenahan prekwensi,kmi dah menghubungi pihk ctv,tpi tidk di tanggapi,trimr wslm",Selesai,"Selasa, 26 Agustus 2014 - 15:06 WIB",DINAS PERHUBUNGAN,terkait gangguan frekuensi silakan menghubungi pihak berwenang yaitu Balai Monitoring Spektrum Frekuensi dan Orbit Satelit Klas II Semarang.
15 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP04590726.html,KABUPATEN CILACAP,"Di desa welahan wetan,kec.adipala,kab.cilacap.Dana hibah dr pemerintah utk GAPOKTAN yg 100jt,tdk digunakan utk membantu para petani,dana tersebut tdk jelas penggunaanya,sehingga para petani kami kesulitan mendapatkan pupuk bersubsidi,sementara GAPOKTAN tdk berfungsi.",Selesai,"Senin, 08 September 2014 - 08:58 WIB",DINAS PERTANIAN DAN PERKEBUNAN,Sampai sekarang belum ada konfirmasi dari pihak pelapor.
01 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP41789752.html,KABUPATEN CILACAP,"Lapor Pak Gubernur, untuk kasus Dugaan korupsi oknum Kades Nusawangkal, Kec Nusawungu, Kab. Cilacap yang sudah dilaporkan ke Kejari dan Kejati mohon untuk dikawal sehingga segera diselesaikan. Harapan kami hal ini bisa menjadi pembelajaran. Nuwun",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
16 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP10542043.html,KABUPATEN CILACAP,"Pak,motor saya dan banyak motor lain dikecamatan sidareja sampai patimuan dicuri orang.Mohon segera diatasi",Selesai,"Kamis, 10 Juni 2021 - 09:30 WIB",Kepolisian Daerah Jawa Tengah,silahkan datang melaporkan perkaranya ke Polres atau Polsek setempat dengan membawa bukti-bukti dan saksi-saksi.
23 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP20997381.html,KABUPATEN CILACAP,"maaf pak Gub saya mau tanya ,nama saya senja ,saya kerja di PT.PLN AREA CILACAP sebagai cleaning service(outsourching) dengan gaji yang saya terima selama ini sebesar Rp.1,132,000,- dan saya sudah berkeluarga dengan mempunyai 1 anak putri berumur 15 bulan .dan yang saya tanyakan tolong rincikan pengeluaran saya agar mencukupi kehidupan sehari-hari selama 1 bulan,apakah sudah di kategorikan hidup layak ?dan apakah dengan gaji segitu sesuai dengan UUD 45 "" mencerdaskan kehidupan bangsa "".sementara saya pengen punya rumah sendiri ,saya pengen punya tabungan buat hari tua dan pendidikan buat anak saya,mohon maaf pak Gub.mohon ditinjau kembali,tentang upah kami.terima kasih",Selesai,"Kamis, 30 Oktober 2014 - 08:52 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL","Laporan telah kami selesaikan, terima kasih"
25 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP52760566.html,KABUPATEN CILACAP,"Pak Gub, tolong dong tindak tegas polisi gopek yang mengatur jalan yang sedang diperbaiki yang arah masuk menuju kota Cilacap. Sangat mengganggu pak karena jumlah mereka sangat banyak dan sungguh meresahkan warga. Toh peran mereka juga tidak signifikan dalam mengatur lalu lintas itu. Sebaiknya dikirim saja pak petugas. Bagi pengguna mobil wanita sikap mereka terkadang menakutkan dengan meminta paksa. Jika Bapak perlu video dokumenter sebagai pembuktian, kami bisa meliputnya untuk memperkuat laporan ini. Terima kasih.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
29 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP49809221.html,KABUPATEN CILACAP,"Saat ini saya sedang mengurus mutasi mobil dari jakarta ke semarang, saat pencabutan berkas ke jakarta saya bisa minta bantuan samsat Cilacap. Tetapai kenapa saat akan proses di samsat semarang kendaraan harus dibawa untuk di cek fisik, padahal kendaraan sedang di Cilacap.. kata petugas tidak bisa dimintakan bantuan cek fisik di cilacap",Selesai,"Rabu, 05 November 2014 - 09:14 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Bahwa memang benar untuk kendaraan yang akan dimutasi, harus dilakukan cek fisik di tempat domisili yang baru guna keakuratan fisik kendaraan tersebut. dan hal ini merupakan kewenangan dari pihak kepolisian, untuk itu akan kami koordinasikan dengan pihak kepolisian."
