Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
19 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP53584489.html,KABUPATEN JEPARA,"Pak Ganjar saya ingin menginformasikan untuk lamanya proses penerbitan Plat nomor untuk Motor baru dan informasi tentang STNK yang terbit baru setengahnya. Dan juga info yang saya dapatkan Plat nomor yang keluar itu sampai setahun, dan di Jepara kemarin hal tersebut menjadi bahan kepolisian untuk melakukan penilangan dan dianggap sebagai pelanggaran karena plat nomor belum keluar. Demikian mohon tindakannya. Terima kasih",Selesai,"Rabu, 28 Mei 2014 - 14:32 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Terima kasih informasinya, STNK dan Plat Nomor kendaraan merupakan kewenangan Kepolisian serta pengadaannya melalui Mabes POLRI untuk itu akan kami kordinasikan"
21 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP02233844.html,KABUPATEN JEPARA,"pak , jalan di jepara semua pada rusak , dari jalan provinsi ,kota , sampe desa tak ada perabaik sejak pergantian bupati",Selesai,"Rabu, 08 Maret 2023 - 14:30 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,".Terimakasih atas laporan yang diberikan 1. Panjang jalan provinsi di kab. jepara sekitar = 77 km, pada tahun ini dialokasikan anggaran sebesar 29,1 M yaitu untuk program peningkatan dan pemeliharaan rutin jalan & jembatan. kami secara berangsur - angsur akan meningkatkan kapasitas dan struktur jalan. mengingat beban overloading masih menjadi salah satu kendala yang mengakibatkan jalan tidak awet diperlukan peran serta masyarakat dalam mensikapi/membatasi kelebihan muatan tsb. 2. untuk jalan kab. sd desa, kami akan koordinasikan dengan pemkab untuk sinkronisasi penanganan dengan jalan provinsi 3. Kami akan koordinasikan dengan instansi terkait dikabupaten karena jalan tersebut merupakan kewenangan kabupaten."
29 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP38624020.html,KABUPATEN JEPARA,Saya seorang peternak burung puyuh pemula pernah mengajukan KUR di bank Jateng di tolak mungkin karna usaha saya tidak bankable mohon bantuan bagaimana saya bisa dapat kredit apapun atau bantuan untuk memperbesar peternakan saya. Peternakan saya ada di ds Langon kecamatan Tahunan kabupaten Jepara Terima kasih,Selesai,"Jumat, 06 Juni 2014 - 19:44 WIB",DINAS KOPERASI DAN UMKM,  berikut tanggapan dr bapak Kadinas koperasi dan umkm : usaha anda akan dicek di lapangan lebih lanjut untuk melihat dan akan dilakukan pengarahan dan need assesment dan pengembangannya.Terima kasih.    
02 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP32290994.html,KABUPATEN JEPARA,Saya peternak burung puyuh pemula di daerah Jepara dengan populasi 1000 ekor saya pernah mengajukan pinjaman modal ke bank Jateng cabang jepara tapi di tolak dengan berbagai alasan yg menurut saya kurang profesional. Tidak sesuai dengan pernyataan gubernur dan pejabat bank Jateng yg ingin meningkatkan peternakan dan pertanian di jawa tengah. Mohon solusi dari pihak terkait untuk meningkatkan usaha ternak puyuh saya. Saya berada di ds Langon kecamatan Tahunan kabupaten Jepara Terima kasih,Selesai,"Senin, 30 Juni 2014 - 15:53 WIB",DINAS PETERNAKAN DAN KESEHATAN HEWAN,"Menanggapi laporan dari Saudara Zakky Rotib yang berasal dari Jepara, bahwa pengajuan pinjaman modal ke Bank Jateng yang ditolak dapat kami sampaikan tanggapan sebagai berikut : Berdasarkan koordinasi yang telah dilakukan  Dinas Peternakan dan Kesehatan Hewan Provinsi Jawa Tengah dengan Dinas Pertanian dan Peternakan Kabupaten Jepara serta Bank Jateng Cabang Jepara, bahwa pinjaman modal untuk pengembangan peternakan dapat dilakukan antara lain dengan mengakses melalui Kredit Ketahanan Pangan dan Energi (KKP-E). Pengajuan permohonan kredit tersebut harus memenuhi persyaratan antara lain sebagai berikut :"
08 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP59215910.html,KABUPATEN JEPARA,"di desa kami robayan kalinyamatan jepara ada penyalah gunaan wewenang dan penipuan kepada kami korban prona oleh kepala desa dan perangkatnya,selengkapnya sudah kami laporkan ke polres tapi sampai saat ini masih belum ada kejelasan status dan perkembangan mengenai laporan kami,dari kami korban, sudah dimintai keterangan di polres beserta bukti-bukti yang sangat falit.tolongpak kami yang pengen desa tercinta kami bersih dari aparatur yang serakah suka makan keringat rakyat tidak memberi contoh yang baik.terimakasih pak atas perhatian nya.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
08 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP28332713.html,KABUPATEN JEPARA,"di desa kami robayan kalinyamatan jepara ada penyalah gunaan wewenang dan penipuan kepada kami korban prona oleh kepala desa dan perangkatnya,selengkapnya sudah kami laporkan ke polres tapi sampai saat ini masih belum ada kejelasan status dan perkembangan mengenai laporan kami,dari kami korban, sudah dimintai keterangan di polres beserta bukti-bukti yang sangat falit.tolongpak kami yang pengen desa tercinta kami bersih dari aparatur yang serakah suka makan keringat rakyat tidak memberi contoh yang baik.terimakasih pak atas perhatian nya.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
15 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP37580364.html,KABUPATEN JEPARA,"Pak Gub Ganjar Pranowo, saya warga Jepara, tapi domisilinya di Salatiga. Sering bolak-balik Jepara - Salatiga. Yang ingin saya laporkan, Jalan Demak - Jepara (Welahan) rusak parah. Sangat lambat perbaikannya. Jalan itu merupakan akses utama warga Jepara untuk ke Semarang. Sebentar lagi musim mudik, tolong dipercepat pengerjaanya pak. Salam Hormat",Selesai,"Rabu, 08 Maret 2023 - 23:40 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,tim dilapangan Jalan Nasional terus melakukan penyisiran penangannya. hati hati saat melintas njih
25 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP05546497.html,KABUPATEN JEPARA,AssalamualaikumWr. Wb. Lapor Pak.. Jepara plat nomornya keluarnya lama nunggunya sampai lebih dari 1 tahun. Gimana Pak solusinya?,Selesai,"Kamis, 21 Oktober 2021 - 11:21 WIB",Kepolisian Daerah Jawa Tengah,sudah ditindak lanjuti
29 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP90933859.html,KABUPATEN JEPARA,"Sesuai ketentuan dari Bpk mobil plat merah dijawa tengah tidak boleh untuk mudik keluar kota, tapi ada mobil avansa warna hitam nopol AD 138 F pada jam 19.15 berada di jalan Sutomo depan hotel Kalingga . Jepara KOTA , Gimana pak kira kira dapat sangsi apa ????????????",Selesai,"Selasa, 09 September 2014 - 11:07 WIB",INSPEKTORAT,Penanganan atas laporan sudah ditindak lanjuti Inspektorat Kabupaten Karanganyar (Surat Inspektorat Kabupaten Karanganyar tanggal 30 Agustus 2014 Nomor 700/304/2014) bahwa Bupati meminjamkan kendaraan dinas pejabat untuk dipergunakan mudik lebaran dengan ketentuan bahwa biaya pemeliharaan dan operasional ditanggung pejabat yang bersangkutan dan sewaktu-waktu pejabat yang bersangkutan dibutuhkan atau dipanggil Bupati tidak kesulitan transportasinya.
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP63797081.html,KABUPATEN JEPARA,"Pak Gub, jalan provinsi Bangsri (Jepara)-Pati rusak parah. Mohon diperbaiki. (Agus Ibnu SHI, Jepara)",Selesai,"Kamis, 09 Maret 2023 - 11:33 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Jalan Provinsi yang berada di wilayah Kab. Jepara khususnya ruas jalan Jepara - Bangsri - Keling panjang = 37,210 Km kondisinya sampai dengan saat ini sedang. Dan ditangani dengan pemeliharaan rutin jalan dan jembatan, adapun untuk kondisi jalan yang bergelombang akibat dilewati muatan limbah PLTU Tanjung jati B akan ditangani oleh paket dana rekondisi Jepara - Keling oleh PT. Prima Duta Kencana degan nilai kontrak sebesar Rp. 1.415.037.000 dengan konstruksi CTB, AC-BC dan AC-WC."
