Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
11 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP79565768.html,KABUPATEN KEBUMEN,"Tolong pak gubernur di kecamatan sadang kab kebumen di buatkan lapangan pekerjaan soalnya di desa kami sama sekali tidak ada pekerjaan, kemana lagi selain ke jakarta, di desa desa kami serba mahal terutama transportasi. Trima kasih",Selesai,"Rabu, 28 Mei 2014 - 16:02 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL","Laporan sudah kami tanggapi, terima kasih"
10 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP76239533.html,KABUPATEN KEBUMEN,"Pak Gubernur, saya Sri Nurhayati lahir di Kebumen, tetapi sekarang domisili di Bogor. Saya berulang kali dan berulang hari telepon kantor catatan sipil di kab. Kebumen untuk menanyakan informasi tentang akta kelahiran untuk persyaratan pernikahan, tetapi saya dioper kesana kemari Pak. alasannya orang yang handle pekerjaan tersebut sedang keluar (entah keluar makan siang, atau jalan2) saya kurang tahu, dan setiap kali saya menelepon jawabannya selalu sama. tolong untuk segara dicek kedisiplinan pegawai ybs, dan apakah yang menghandle akta kelahiran cuma 1 orang pegawai. sampai sekarang saya belum dapat berkomunikasi langsung dengan petugas pengurusan akta kelahiran. saya sudah email pengaduan ke kantor kab. kebumen, tapi belum ada tanggapan. Yang saya tahu pegawai pemerintahan seharusnya dapat melayani masyarakatnya dengan baik, bukan malah membuat bingung masyarakatnya! Terima kasih.",Selesai,"Rabu, 11 Juni 2014 - 10:28 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL","Laporan telah kami selesaikan, terima kasih."
25 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP08254160.html,KABUPATEN KEBUMEN,Demi tegaknya Pemerintahan yang baik kami mohon bantuan agar bapak ikut mendorong Pem.. Kab. Kebumen untuk menindak tegas Kepala Desa Pekuncen Kecamatan Sempo Kabupaten Kebumen sesuai dengan aturan dan hukum yang telah menebang tanaman Penghijauan/ Kayu Jati yang dalam prosesnya penuh dengan kebohongan dan penyalah gunaan wewenang dan bertujuan untuk kepentingan pribadi. Atas Perhatiannya kami ucapkan Terima Kasih,Selesai,"Senin, 18 November 2019 - 15:15 WIB",Kabupaten Kebumen,terimakasih
01 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP54000464.html,KABUPATEN KEBUMEN,"Selamat pagi Pak,,, hari ini 1 Agustus 2014 apakah kantor keluarahan dan kepala desa memamang masih tutup pak,? Karena di daerah saya jam 9.00 kab. Kebumen, kec. Kutowinangun masih sepi tidak ada petugas. Kebetulan saya mau ada surat yg d urus karena sore ini sudah harus merantau lagi, terima kasih, salam,",Selesai,"Rabu, 24 Juni 2015 - 13:40 WIB",INSPEKTORAT,Penanganan aduan tersebut telah mendapat koordinasi dari Kabupaten Kebumen dengan Laporan Hasil Pemeriksaan Inspektorat Kabupaten Kebumen Nomor 356/IV/44/RHS/2014 tanggal 31 Desember 2014 bahwa pernyataan pengadu tidak benar karena Pemerintah kecamatan Kutowinangun dan Pemerintah Desa Lundong tetap menjalankan pelayanan kepada masyarakat selama libur dan cuti bersama. Pada cara penyelenggaraannya dengan piket baik di kantor kecamatan maupun di balai desa dan juga langsung di rumah kepala desa serta perangkat desa.  Terima kasih. 
02 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP80183889.html,KABUPATEN KEBUMEN,"Kepada yth. Bapak Gubernur Ganjar Pranowo, SH MSi Telah terjadi pelanggaran dengan mengabaikan instruksi Gubernur yaitu kepala seksi pajak kendaraan bermotor di Kab. Semarang dan Kab. Kebumen tetap berani menerima dan mengepul uang jatah pungli KTP sebesar masing2 Rp. 18 juta/ per hari dibagi dua dgn polisi (samsat kab.semarang) dan Rp. 12 juta/per hari dibagi dua dgn polisi (samsat kab. Kebumen) . Mohon Bapak Gubernur menindaklanjuti dengan memutasi kedua kasi pajak ini. Terima kasih",Selesai,"Kamis, 10 Juni 2021 - 14:37 WIB",Kepolisian Daerah Jawa Tengah,identitas pelapor tidak bisa dihubungi
23 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP89381956.html,KABUPATEN KEBUMEN,"Dengan dialihkannya kendaraan berat melwati jalur selatan karena perbaikan jembatan Comal, mengakibatkan kondisi jembatan di jalur selatan juga menjadi mengkhawatirkan. Saya mengusulkan untuk dilakukan peninjauan terhadap seluruh jembatan yang ada di Jawa Tengah untuk mengantidipasi kerusakan yang sama seperti Jembatan Comal. Jika memungkinkan, perlu dibangun jembatan baru disetiap jembatan menjadi du jalur jembatan. Ini untu mengantisipasi kerusakan dan juga memperpanjang umur jembatan yang ada. Terimakasih... Salam, Rijal dari Kebumen.",Selesai,"Kamis, 09 Maret 2023 - 11:38 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Mas Rijal yang berbahagia, maturnuwun atas masukannya. Jajaran Dinas Bina Marga Provinsi Jateng telah melaksanakan survei baik di jalur alternatif , jalur Nasional dan Provinsi termasuk kondisi perkerasannya. Kemungkinan pembangunan jembatan baru atau duplikasi juga menjadi pertimbangan seperti pada jembatan Kesesi dan jembatan Cindaga."
23 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP08416748.html,KABUPATEN KEBUMEN,"Assalamu'alaikum wr wb..saya Mulyadi,salah satu warga kabupaten kebumen..mohon maaf sebelumnya, saya mau lapor Pa' Gubernur..tanggal 3 maret 2014, saya membuat e-KTP.namun sampai saat ini KTP saya belu jadi..ini sudah hampir 6 bulan..mohon bantuanya yah pa'..tanggal 11 agustus kemaren saya sudah kirim e mail ke 'pemkab_kebumen@kebumenkab.go.id' namun sampai sekarang belum ada tanggapan..mohon bantuanya yah Pa', karena KTP saya bulan november besok KTP saya sudah tidak berlaku..termi kasih atas bantuanya yah Pa'...Mulyadi",Selesai,"Senin, 25 Agustus 2014 - 11:14 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami selesaikan. Terima Kasih
03 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP02186564.html,KABUPATEN KEBUMEN,"Pak Gubernur, samsat kebumen tolong diberesin, ada pungli dalam pembayaran pajak kendaraan bermotor pada pendaftaran, cek fisik, adm ganti tnkb jumlahnya hampir 36% dari transaksi normal yang masuk kas negara. semua itu atas sepengetahuan pimpinan samsat",Selesai,"Kamis, 11 September 2014 - 07:24 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Terima kasih atas laporan yang saudara sampaikan, Perlu diketahui bahwa cek fisik merupakan kewenangan dari pihak Kepolisian, berkenaan dangan laporan yang saudara sampaikan, kami telah melakukan koordinasi dengan BAUR STNK (Pihak Kepolisian) untuk segera melaporkan adanya pungutan tersebut kepada pimpinan yang lebih tinggi dengan harapan hal tersebut tidak terjadi lagi dikemudian hari."
18 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP76693015.html,KABUPATEN KEBUMEN,"Yth.Gubernur Jateng untuk Honor PTT Kab. Kebumen di bawah UMK hanya sebesar Rp.660.000,- Mohon untuk Disesuaikan mengingat kebutuhan keseharian.",Selesai,"Kamis, 18 September 2014 - 18:11 WIB",BADAN KEPEGAWAIAN DAERAH,"Terimakasih atas permohonan Saudara, Pegawai Tidak Tetap (PTT) adalah seseorang yang diangkat oleh Pejabat Pembina Kepegawaian (PPK) atau pejabat pemerintahan lainnya  guna melaksanakan tugas teknis tertentu dikarenakan kekurangan PNS dalam satu instansi. Regulasi pengangkatan dan penggajian diatur dalam peraturan Bupati/Walikota sesuai peraturan yang berlaku serta kebijakan kemampuan keuangan daerah masing-masing. Sehubungan dengan hal tersebut, permohonan Saudara akan kami koordinasikan dengan pihak terkait. Demikian untuk menjadikan maklum dan tetap terus semangat dalam mengabdi. Salam"
18 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP86478703.html,KABUPATEN KEBUMEN,"Kepada Yth. Bapak Gubernur Jawa Tengah. Kami dari kepengurusan Paguyuban Mandiri Bangun Insani desa Kedungpuji, Kecamatan Gombong, Kabupaten Kebumen mengajukan permohonan bantuan bibit, pupuk dan obat-obatan untuk sarana pertanian dalam meningkatkan perekonomian masyarakat pada umumnya dan anggota paguyuban pada khususnya. Bahwa paguyuban kami pada saat ini sedang menggalakkan sektor pertanian palawija berupa jagung, lombok, terong, tomat. Untuk sektor perikanan kami membutuhkan bibit gurame. Maka dari itu kami mohon bimbingan, perhatian dan kebijaksanaan dari Bapak Gubernur sebagai Kepala Daerah di tingkat provinsi. Sebelum dan sesudahnya kami sampaikan terima kasih.",Selesai,"Rabu, 24 September 2014 - 09:28 WIB",DINAS PERTANIAN DAN PERKEBUNAN,"alternatif 1: Silahkan bapak membuat proposal permohonan bantuan seperti yang dimaksud. Kemudian proposal ditujukan ke Gubernur Jateng dengan diketahui oleh Kepala Dinas Pertanian Kab. Kebumen. alternatif 2 : Silahkan membuat proposal ke Kab. Kebumen tentang usulan tersebut, nanti Kab. Kebumen yang menindaklanjuti usulan tersebut kepada Kementrian Pertanian melalui e-proposal."
