Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
10 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP56453300.html,KABUPATEN MAGELANG,"Lapor Pak ... tolong birokrasi di Kecamatan kecamatan ( khususnya Muntilan) dibenahi lebih sederhana dan tidak berbelit. Saya mengurus rekomendasi skck n surat pindah hanya karena pejabat berwenang berhalangan hrs nunggu sehari. Apa tidak ada smua hrs nunggu pjabat berwenang tdk ptugas pengganti ktika yg berwenang tidak ada. Kenapa koq saklek berbelit gitu, pelayanan itu kan prinsipnya fleksibel...",Selesai,"Selasa, 13 Mei 2014 - 12:50 WIB",BADAN KEPEGAWAIAN DAERAH,"Kami sarankan agar saudara dapat memberikan masukan secara langsung ke Pemkab Magelang dalam hal ini Inspektorat, BKD Kab Magelang agar segera ditindaklanjuti."
14 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP79234887.html,KABUPATEN MAGELANG,"Lapor Pak Gubernur,Apa Betul pencairan BANSOS untuk UKM harus mengenal wakil rakyat yang duduk diDPRD dulu dari orang dan peratai tertentu,baru bisa cair.bgm dengan daerah yang tidak memiliki wakil rakyat yang duduk dikursi dewan ? ini terjadi di pemkot Magelang.",Selesai,"Senin, 19 Mei 2014 - 10:13 WIB",DINAS KOPERASI DAN UMKM,Laporan telah ditanggapi.
16 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP66882722.html,KABUPATEN MAGELANG,"Sebagaimana kita ketahui bersama bahwa satuan pendidikan yang diselenggarakan Pemerintah Kabupaten/Kota di Jawa Tengah telah melakukan pungutan dana orangtua/wali siswa/masyarakat, akan tetapi hasil pungutan tersebut tidak tercatat dalam APBD Kabupaten Magelang. Hal ini tidak sesuai dengan : 1. Pasal 3 ayat (6) Undang Undang Nomor 17 Tahun 2003 tentang Keuangan Negara menyatakan “Semua penerimaan yang menjadi hak dan pengeluaran yang menjadi kewajiban daerah dalam tahun anggaran yang bersangkutan harus dimasukkan dalam APBD.” 2. Pasal 17 ayat (1) Peraturan Pemerintah Nomor 58 Tahun 2005 tentang Pengelolaan Keuangan Daerah menyatakan “Semua penerimaan dan pengeluaran daerah baik dalam bentuk uang, barang dan/atau jasa dianggarkan dalam APBD”. 3. Pasal 61 ayat (4) Peraturan Pemerintah Nomor 48 TH 2008 tentang Pendanaan Pendidikan yang menyatakan “Seluruh dana satuan pendidikan yang diselenggarakan oleh Pemerintah Daerah dikelola sesuai dengan sistem anggaran daerah.” 4. Pasal 17 ayat (1) Peraturan Daerah Kabupaten Magelang Nomor 7 Tahun 2008 tentang Pokok pokok Pengelolaan Keuangan Daerah juga menyatakan “Semua penerimaan dan pengeluaran daerah baik dalam bentuk uang, barang dan/atau jasa dianggarkan dalam APBD.” Mohon Gubernur mengambil tindakan tegas !",Selesai,"Senin, 22 Februari 2021 - 14:44 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,Terima Kasih atas laporannya.
19 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP44046283.html,KABUPATEN MAGELANG,"ditempat saya magelang terdapat perjudian,padahal tempate dibelakang polsek sebelum terminal magelang,dibelakangnya saya ingin tempat itu ditutup karna banyak membuat derita orang orang ,ada oknum polisi juga yang ikut jadi blandar,dan tiap hari ada pungutan dari polisi,karna jika setiap akan ada razia,selalu dikabari oleh oknumpolisi entah itu dari polres,saya ingin pak gubernur menutupnya,maaf saya gak berani memberi no tlep saya,dan nama saya asli demi keamanan saya",Selesai,"Jumat, 27 Januari 2023 - 08:31 WIB",Kepolisian Daerah Jawa Tengah,Terima Kasih
21 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP08878525.html,KABUPATEN MAGELANG,"salam pak,saya ingin mengadukan dan menceritakan singkat kronologinya : menurut pandangan kacamata saya dan kawan-kawan di lereng merapi wilayah kabupaten magelang khususnya kecamatan dukun,sekarang sedang terjadi konflik sosial antara penambang dan warga yang kontra penambang. dari sisi kawan-kawan kontra penambangan dengan alat berat dianggap akan merusak lingkungan dan alam serta resapan air untuk masa depan,sedangakan versi penambang kebanyakan karena mata panca harian warga sebagai coker/perata muatan pasir di truk. saya memposisikan di sisi yang netral,sering berdiskusi sama kawan-kawan saya yg pro dan kontra,mereka mau solusi yang terbaik bagi mereka semua namun mereka bingun akan duduk bersama untuk diskusi di meja siapa alias siapa yang akan memediasikan mereka. pemda magelang terkesan lambat dan kurang tegas. bikin aturan tetapi masih di perbolehkan dilanggar.hal sepele rambu dimana dilarang muatan gol c dilarang lewat tetapi masih saja boleh lewat di jalur evakuasi padahal kemarin di jalur itu ada petugas pengecek tonase muatan.jalur evakuasi muntilan-talun cukup parah. kami mohon pak gubernur walalupun ini wewenang kabupaten tetapi bisa mendorong ataupun mendesak bupati untuk segera mengeluarkan solusi terbaik bagi kita semua. jangan kambing hitamkan rakyat kecil. kebanyakan warga hanya menuntut jalankan aturan yang sudah terbit,kalau memang harus di revisi harus ada diskusi publik. nuwun.",Selesai,"Selasa, 17 Juni 2014 - 11:41 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Terima kasih Sdr. Bayu Sapta Nugraha, perlu kami jelaskan hasil sebagai berikut : 1. Pada awal Maret 2014, Tim Pertambangan (Dinas PU dan ESDM, Dinas Perhubungan, Polres, Kodim dan Satpol PP) Kab. Magelang telah melakukan penertiban penambangan tanpa ijin di Kec. Dukun, namun pada saat diadakan selalu ada kebocoran informasi kepada para penambang tanpa izin, sehingga penertiban tidak efektif. 2. Sudah pernah dilakukan sosialisasi mengenai penambangan pasir dan batu di lereng G. Merapi, kesimpulannya hanya penambangan secara manual yang diperbolehkan melakukan aktifitas penambangan. 3. Dinas Perhubungan Kab. Magelang telah mengeluarkan surat edaran mengenai batas tonase di jalan raya yang diizinkan dan rambu-rambu jalan untuk larangan bagi truk pengangkut pasir dan batu memasuki jalur evakuasi. 4. Perlu segera dibuat rencana zonasi pertambangan untuk wilayah yang boleh dan tidak untuk kegiatan penambangan di kawasan G. Merapi beserta jalan pengangkutan yang tidak bersentuhan dengan jalur evakuasi."
21 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP82257397.html,KABUPATEN MAGELANG,"Dulu tempat ini tertutup semua oleh pepohonan, sejak adanya penambangan yang membabi buta, sekarang tinggal sisa batu kerikil (jawa:banthak) da menyisakan lobang yang begitu besar. Lokasi : Senthong Desa Keningar, Kec. Dukun, Kab. Magelang. Sekarang mata air per lahan mulai hilang, sumur pun kalo musim kemarau juga harus dikeruk lagi supaya keluar airnya, jalan evakuasi pun rusak parah karena tonase truk berlebih. Mohon kepada Bapak Gubernur agar tegas menindak para penambang liar dan oknum-oknum yang ada di balik itu semua.",Selesai,"Kamis, 22 Mei 2014 - 09:00 WIB",DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG,Mari Kita sama-sama mencegahnya agar lingkungan kita tidak bertambah rusak dan kami akan terus berupaya mencari cara menyadarkan mereka. Terima Kasih
23 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP72377288.html,KABUPATEN MAGELANG,"Keluhan warga soal bekas lokasi penambanagn material merapi sudah mulai tergores dalam sebuah tulisan berikut ini, Dimana initinya penambangan material merapi dengan membuka lahan dan faktanya merembet ke hutan merapi sangat mempengaruhi pola kehidupan masyarakat sekitar. Berikut ini artikel tulisan karya seorang rekan bernama Yosapat Christiyadi salah seorang relawan Salam Merapi (Sahabat Alam Satwa Merapi ) yang notabanennya bergerak dalam pelestarian lingkungan merapi,dimana domisilinya di Ngentak,Sumber,Kec.Dukun,Magelang. Berikut tulisannya : Masalah utama yang timbul pada wilayah bekas tambang adalah perubahan lingkungan meliputi perubahan kimiawi terutama berdampak terhadap air tanah dan air permukaan, berlanjut secara fisik perubahan morfologi dan topografi lahan. Lebih jauh lagi adalah adanya perubahan iklim mikro yang disebabkan perubahan kecepatan angin, gangguan habitat biologi berupa flora dan fauna, serta penurunan produktivitas tanah dengan akibat menjadi tandus atau gundul. Tambang terbuka didefinisikan sebagai kegiatan penambangan bahan galian yang berhubungan langsung dengan udara luar. Metoda Tambang terbuka meliputi Quarry yakni penambangan bahan galian C, contoh endapan pasir di perbukitan, tanah liat, batu kapur dan andesit. Kerusakan lingkungan yang terjadi akibat dari sistem penambangan terbuka - yang tidak mengikuti kaidah yang benar contohnya rusaknya tanah pucuk (top soil/tanah permukaan), terjadi lubang-lubang bukaan yang besar, batas kemiringan tebing galian sangat curam, tinggi dinding galian sangat dalam. Akibat dari kerusakan lingkungan geofisik tersebut juga mempengaruhi lingkungan yang lain seperti terjadinya perubahan bentuk lahan, berubahnya fungsi lahan, tatanan air tidak berfungsi, vegetasi penutup lahan hilang, terjadinya pencemaran debu, bekas lahan tambang menjadi gersang jika tidak ada penataan kembali. Pada perubahan iklim mikro, bila penambangan berdekatan dengan pemukiman penduduk akan berpengaruh juga pada perilaku hewan ternak, hama, dan kehidupan sosial. suhu udara pastinya akan berubah mengingat banyaknya tanaman yang dihilangkan di area tambang. efekya hewan ternak yang ""tidak berpakaian"" tentunya akan menyesuaikan diri dengan suhu, pola makan ternak akan berubah, entah semakin banyak jika hawa dingin, atau bahkan mengurangi porsi makannya jika panas, dan ini berakibat pada pertumbuhan hewan ternak. dan pada tanaman, akan berpengaruh dengan pertumbuhan tanaman, jika terlalu panas suhunya, tanah akan cepat kering persediaan air akan berkurang karena proses penguapan, jika dingin tumbuhan akan kekurangan asupan sinar matahari untuk proses fotosintesis,, hal ini jelas mengganggu pertumbuhan tanaman dan pada akhirnya berpengaruh dengan hasil panen. Pada masing-masing lokasi tambang yg tidak dilakukan reklamasi, tanah pucuk (top soil) tidak diolah untuk menutupi kembali lahan yang sudah ditambang, dan lahan bekas tambang ditinggalkan begitu saja tanpa ada upaya perbaikan maupun pemanfaatan kembali, ini sangat merugikan. Mengingat pemanfaatan kawasan atau lahan adalah bagian dari pembangunan untuk menuju keadilan dan kesejahteraan masyarakat masa kini dan masa mendatang, atau pembangunan berkelanjutan, diperlukan ikhtiar agar lobang terbuka pasca penambangan . By: Yosapat Christiyadi",Selesai,"Selasa, 03 Juni 2014 - 16:40 WIB",DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,terima kasih.
29 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP38428685.html,KABUPATEN MAGELANG,"Selamat malam pak Gubernur Perkenalkan nama saya Derry Indra Pradika Saya bekerja sebagai tenaga laboratorium komputer di sekolah swasta di kecamatan muntilan kabupaten magelang, saya ingin bertanya Apakah diperbolehkan sekolah swasta/institusi pendidikan menggaji guru dan karyawan non PNS jauh dibawah UMR?",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
07 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP60507129.html,KABUPATEN MAGELANG,"Mohon tindak lanjutnya pak, jalan boyolali-magelang via selo rusak parah, padahal baru saja diperbaiki, di hotmix, menurut saya itu dikarenakan kegiatan penambangan di daerah perbatasan magelang - boyolali. terima kasih",Selesai,"Kamis, 09 Maret 2023 - 11:30 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya Bapak Mohomad Solikin Kerusakan tetap kami perbaiki sedangkan maraknya angkutan galian gol c memang perlu ditertibkan. Dinas Bina Marga Prov. Jateng sedang berkoordinasi dengan instansi terknis dan kepolisian untuk tindak lanjutnya, kami menghimbau agar masyarakat pemakai jalan turut mendukung dibatasinya muatan yang berlebihan sesuai dengan kelas jalan"
14 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP08984473.html,KABUPATEN MAGELANG,"Yth Pak Gubernur Ganjar Pranowo, dari informasi kakak saya di Magelang bahwa Daftar Ulang Ulang di SMAN 3 Magelang harus membayar 750 Ribu utk kelas 2 ke kelas 3. Saya sudah Email Kepala Dinas Pendidikan Propinsi Jawa Tengah, pak Nurhadi Amiyanto, namun diminta melihat @ganjarpranowo dan saya tak menggunakan Tweeter. Mohon bisa diberikan pencerahan apakah itu termasuk Pungli atau tidak. Terimakasih. U Eddy Purnomo",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
