Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
02 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP12312466.html,KABUPATEN PATI,"Selamat pagi pak Gub, perbaikan jalan di pati tepatnya di jalan pati - tayu tidak jadi jadi, setelah ditinggi kan dengan sirtu malah banyak yg berlubang karena terkena hujan, mohon segera di survei terimakasih",Selesai,"Rabu, 08 Maret 2023 - 14:38 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,
12 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP04264412.html,KABUPATEN PATI,"Assalaamu'alikum pak Gub, Senag bisa berkomunikasi sekalipun tak langsung, Tolong Kabupaten Pati lebih di awasi, karena saya ingin pati lebih maju, saya Pernah magang di DISBUDPARPORA KAB.PATI Wisata kabupaten Pati Tidak di Kelola dengan Baik, Padahal Banyak Sekali Potensi seperti Gua Pancur/wareh, kalau dikelola bisa seperti gua Pindul Yang ada di Jogjakarta, saya lapor kepada pak gub yang Tegas dan Energik, terimakasih, Wassalaam . . .",Selesai,"Kamis, 12 Juni 2014 - 15:40 WIB","DINAS KEPEMUDAAN, OLAHRAGA DAN PARIWISATA","Pemerintah Provinsi Jawa Tengah bersama sama dengan Pemerintah Kabupaten/Kota di Jawa Tengah, termasuk dengan Pemerintah Kabupaten Pati  secara terus menerus melaksanakan promosi destinasi pariwisata diantaranya yang baru-baru ini kami lakukan, dengan mengadakan presstour untuk mempublikasikan dan mengangkat potensi wisata di Kabupaten Pati bersama media surat kabar dan elektronik diantaranya di Goa Pancur, Desa Wisata Talun, Sendang Tirta Marta Sani dan Makam Syeh Djangkung. Sementara itu untuk pengelolaan daya tarik wisata di  Kabupaten Pati menjadi kewenangan Pemerintah Kabupaten Pati"
13 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP60708128.html,KABUPATEN PATI,"Pengawasan penggunaan dana BOS di Kabupaten Pati sangat lemah. Hal itu dibuktikan masih ada sekolah dasar negeri yang selama hampir 3 tahun belum mengirim SPJ BOS. Bahkan dana BOS juga dipergunakan untuk tunjangan Kepala sekolah perbulan Rp 75.000,- dan wali kelas Rp 25.000,-.Hal ini sudah kami adukan ke BPKP Jateng, Kemendikbud, BPK RI, dan pihak-pihak terkait lainnya. Terima kasih.",Selesai,"Senin, 22 Februari 2021 - 14:48 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,"Terima Kasih atas informasi yang diberikan kepada kami, akan segera kami tindaklanjuti dengan berkoordinasi dengan Dinas Pendidikan Kab. Pati."
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP22623003.html,KABUPATEN PATI,"Asslm pak Ganjar,,ini dari daerh pati. Mohon utk setiap bantuan pembutan gedung sekolah atau yg lainya yg diajukan itu lebih diketati dan diinvesigasi lg pak.msalhnya seumpama bntuan 500jt turun smpai bwah itu tingl 250jt,pdahal laporan harus 500jt..terimksh",Selesai,"Senin, 22 Februari 2021 - 14:53 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,Wa’alaikum Salam Wr.Wb.
23 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP71162584.html,KABUPATEN PATI,"Assalammualaikum pak ganjar...tolong selamatkan pegunungan kapur utara jawa pak.saya tinggal di desa keben kecamatan tambakromo kabupaten pati. Bupati pati mengatakan akan membuat pabrik semen di daerah kec sukolilo kayen dan tambakromo.tolong pak pegunungan itu hutan dan sumber air kami semua yg ada di sekitar pegunungan tersebut.kami bisa menggunakan air secara gratis tanpa listrik dengan mngambil air dari peg tersebut sehingga kami bisa lebih mandiri dan hemat. Rata-rata penduduk desa kami pendidikannya SMP ke bawah dan berprofesi sebagai petani. Tolong kami, jika pabrik itu terlaksana bagamana nasib kami sbg rakyat kecil,tanah akan tandus dan kekurangan air.tolong selamatkan alam yang kami sayangi pak. Sebelumnya kami dari 3 kecamatan tersebut pernah demo,namun kami tidak tahu bagaimana kelanjutannya, kabar-kabarnya proyek akan tetap dilaksanakan.Mohon bapak bisa meninjaunya....matursuwun sanget atas kebijakannya.",Selesai,"Senin, 22 Februari 2021 - 14:59 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,"Sdri. Yuliani, laporan telah kami terima dan terima kasih"
25 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP72361704.html,KABUPATEN PATI,Yth. Pak gubernur. maaf pak mengapa di sekolah smp negeri 1 winong kab. pati masih ada sumbangan sukarela waktu dalam pengambilan rapot? apa itu tidak membebani orang tua murid pak? berikut saya lampirkan bukti-buktinya. mohon kebijaksanaan bapak. terima kasih.,Selesai,"Senin, 22 Februari 2021 - 14:58 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,"Terima kasih,"
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP54862104.html,KABUPATEN PATI,"24. Yth Gubernur Jateng Bpk Ganjar, tolong penambangan di wilayah pegunungan Kendeng Utara tepatnya di Desa Wegil Sukolilo Pati, mohon untuk ditinjau karena sudah merusak ekosistem lingkungan sekitar. Terima kasih. (A Maliki, Pati)",Selesai,"Rabu, 13 Agustus 2014 - 08:24 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Menindaklanjuti laporan  Sdr. A. Maliki terkait penambangan di wilayah Pegunungan Kendeng Utara yang disinyalir merusak ekosistem sekitar, di Desa Wegil Kec. Sukolilo Kabupaten Pati berdasarkan hasil peninjauan lapangan dapat kami sampaikan bahwa Penambangan  Phosphat di Desa Wegil telah memiliki izin (IUP) yang dikeluarkan oleh Pemkab Pati namun pada saat ini sedang tidak ada kegiatan produksi tetapi sedang melakukan kegiatan penataan lahan. Adapun rencana kegiatan penambangan batugamping sedang dalam proses perizinan di Kab. Pati. Pada saat dilapangan kami telah melakukan pembinaan kepada pengusaha tambang bersama-sama dengan Pemkab Pati. Terima kasih."
07 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP86129365.html,KABUPATEN PATI,SPI sekolah SMA Negeri di Pati sangat memberatkan antara 3-4juta. mohon dikembalikan lg,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
07 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP88191607.html,KABUPATEN PATI,"SPI di SMAN 2 dan 3 Pati sangat memberatkan, antara 3 - 4 juta/murid baru. tolong utk bs dikembalikan semua karena sangat memberatkan org tua murid.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
13 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP84243471.html,KABUPATEN PATI,"Assalamu'alaikum wr. wb. Saya PNS Dinkes Prov. Jateng Tahun 2009, di tempatkan di BKPM Pati sebagai perawat Fungsional, namun sampai dengan saat ini belum memiliki SK Fungsional perawat. Sedangkan rekan-rekan kami di Instansi lain telah memperoleh SK fungsional sejak diangkat jadi PNS. Saya telah melaporkan berulang kali kepada Dinkes Prov. Jateng, namun belum ada kejelasan sampai saat ini. Mohon Bapak Gubernur Jateng dapat meninjau hal ini Perlu diketahui Jumlah perawat ada 130 orang se-provinsi Jateng, namun hanya perawat Dinkes yang belum memiliki SK Fungsional. Terima kasih",Selesai,"Rabu, 13 Agustus 2014 - 14:14 WIB",BADAN KEPEGAWAIAN DAERAH,Yth. Mas Deni
