Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
19 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP87813625.html,KABUPATEN PEKALONGAN,"JATENG HEBAT !!! Pak Gub, Apakah kalau merelokasi PASAR TIBAN harus menggunakan PREMAN? karena itu dilakukan di PEKALONGAN http://satelitpost.co/2014/05/19/relokasi-pasar-tiban-17-preman-ditangkap/?utm_source=twitterfeed&utm_medium=twitter",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
04 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP75410517.html,KABUPATEN PEKALONGAN,"Pak Gub, Sekarang ini Tahun ajaran baru, Kebetulan anak kami masuk SMA Kajen Kabupaten Pekalongan, tapi saya kaget bukan main, Pemeblian seragam aja udah mencapai Rp. 987.0000,-, terus kemaren ada rapat orang tua dan semua tidak ada yang protes sehingga pihak sekolahan memayok untuk uang sumbangan masuk sekolah Rp. 3.500.000,- dan uang bulanan Rp. 60.000,-. kalau kita flas back kebelakang pak gub, pada waktu kampanye kemaren kan pendidikan murah dan kalau bisa gratis, tapi kenyataannya kok masih ada sekolah yang meminta sumbangan ini - itu dan lain sebagainya. demikian pak gub, terima kasih perhatiannya.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
23 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP95014585.html,KABUPATEN PEKALONGAN,Selamat Malam Pak GUb saya mau melaporkan ini di Desa Jeruksari Kecamatan Tirto Kabupaten Pekalongan dilanda banjir setinggi 40 Cm . terimakasih,Selesai,"Kamis, 24 Juli 2014 - 12:10 WIB",BADAN PENANGGULANGAN BENCANA DAERAH,Untuk Informasi lebih lanjut dapat berkoordinasi dengan BPBD Kab. Pekalongan atau BPBD Prov. Jateng. Terima Kasih atas perhatiannya.
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP50461330.html,KABUPATEN PEKALONGAN,"23. Asslkum Pak Gubernur. Tolong tabung gas ukuran 3 kg di Pekalongan kalau baru beli kok udah di garis tengah kuning. Tolong dong disidak tiap agen elpiji gas ukuran 3 kg. kan kayak kita rumah tangga yang gak mampu berat kalau isi yang segitu trus baru 1,5 hari sudah habis. Tolong ya pak Gubernur. Trims.",Selesai,"Rabu, 13 Agustus 2014 - 08:38 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Terima kasih atas laporannya, Kami telah berkoordinasi dengan PT Pertamina Pekalongan agar dilakukan pemeriksaan di SPBE, distributor, dan pangkalan secara cermat mengenai ketepatan isi dan juga memeriksa secara detail standar teknis tabung untuk menjamin keamanan dan keselamatan pengguna. Kami menghimbau kepada masyarakat pengguna LPG 3 Kg agar lebih cermat dalam membeli LPG tersebut untuk dicek terlebih dahulu sebelum dipergunakan."
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP32961760.html,KABUPATEN PEKALONGAN,"50. Assalamualaikum Wr Wb, Bapak Gubernur Ganjar, mohon untuk bisa tinjau/sidak di Samsat Pekalongan tetnang plat nomor kendaraan roda 2, sejak bulan Agustus 2013-Juni 2014 belum ada/ belum jadi dengan alasan dari pusat Semarang-Jakarta juga sama belum jadi. Apakah hal tersebut benar? Mohon konfirmasinya. Terima kasih.",Selesai,"Rabu, 06 Agustus 2014 - 09:23 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Menanggapi aduan Saudara Tomi Mardiyanto, dapat kami sampaikan bahwa usulan untuk melaksanakan sidak atau tinjauan ke Samsat Pekalongan akan kami pertimbangkan demi peningkatan pelayanan SAMSAT. Mengenai kelangkaan plat nomor kendaraan roda 2 dapat kami sampaikan bahwa hal tersebut merupakan kewenangan kepolisian, namun demikian telah kami koordinasikan dengan pihak kepolisian bahwa saat ini sedang dalam proses lelang plat nomor kendaraan bermotor dan telah dilakukan pemenuhan plat nomor secara bertahap. Atas masukan dan aduannya, kami ucapkan terima kasih, dan akan kami jadikan masukan demi peningkatan pelayanan"
16 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP56433060.html,KABUPATEN PEKALONGAN,"Pak Gub, saya mau lapor bahwa di SMA Negeri 1 Kajen ada sumbangan yang sifatnya agak memaksa wali murid, karena tanpa memberi tahukan wali murid tiba - tiba aja di tarik sumbangan minimal Rp. 3.500.000,-, sampai Rp. 4.500.000,- juga ada iuran bulanan yang besaranya Rp. 50.000,- sampai Rp. 200.000,-, itu tanpa persetujuan wali murid, mohon bapak gubernur meninjau ulang kenapa pada tahun 2014 ini kok masih ada sumbangan-sumbangan dan juga iuran bulanan untuk masuk sekolah, terus di kemanakan uang pemerintah dalam bentuk bos itu, mohon bapak gubernur menegur pihak sekolah untuk meninjau ulang apakah betul hal demikian. terima kasih. sebelumnya",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
05 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP11453486.html,KABUPATEN PEKALONGAN,"pak Gub....Deperindag Kab.Pekalongan,kog hari Jum'at sampai dengan j.11 siang saja.",Selesai,"Selasa, 09 September 2014 - 15:31 WIB",DINAS PERINDUSTRIAN DAN PERDAGANGAN,Tidak ada keterangan
09 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP00470835.html,KABUPATEN PEKALONGAN,"Pak Gub, Mohon di tinjaun ulang tentang biaya sekolah untuk SMA negeri Kajen kenapa mahal banget dan penggunaannya juga tidak jelas. untuk seragam aja udah kena Rp. 900.000,- sedang katanya gak ada uang gedung cuma diganti aja dengan sumbangan Rp. 4.000.000,- dan juga ada biaya lagi yang harus dikeluarkan perbulannya Rp. 200.00,- terus dimana dana BOS yang di dapat semua sekolahannya kok wali muridnya masih dikenai biaya seperti itu. mohon cepat di tindak lanjuti, terima kasih",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
10 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP86668527.html,KABUPATEN PEKALONGAN,"Gerakan Cinta Tanah Air yang diwujudkan dalam bentuk Pembangunan 10 Rumah Layak Huni Shiddiqiyyah, tersebar di 4 desa ( Kajen, Cibolek, Waturoyo, Bulumanis ), Kecamatan Margoyoso, Kabupaten Pati. Oleh Organisasi Pemuda Shiddiqiyyah, Dalam Rangka Mensyukuri Sumpah Pemuda dan Tahun Baru Hijriyyah 1436. http://opshid.org/berita/pembangunan-tahap-pertama-10-rlhs-di-kabupaten-pati",Selesai,"Senin, 09 Maret 2015 - 12:06 WIB","DINAS KEPEMUDAAN, OLAHRAGA DAN PARIWISATA","Terima Kasih Kami Ucapkan Kepada Organisasi Pemuda Shiddiqiyah Kabupaten Pati yang telah berpartisipasi dalam Pembangunan Generasi Muda, dengan Menyelenggararakan Kegiatan Gerakan Cinta Tanah air"
26 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP76905296.html,KABUPATEN PEKALONGAN,Pak gub yth:: mohon untuk samsat pekalongan yg menurut msyrkt perpajakan memang rawan korupsi dan pungli itu benar..kenapa tiap ambil plat nomer di pungut 5 rb..msyrkt lapor ke kepala samsat tdk di tindak lanjuti...saatnya saya mengadu ke bpk....apa mau di biarkan???? Tolong sidak dan ada yg investigasi..pecat petugas yg pungli...bukankah mereka sudah di gaji??tolong samsat dan uji ker dinas perhubungan benar2 diawasi..kasian org yg mau taat pajak ..jgn hanya visi missi samsat si memang bagus..tapi pelaksaanaanya sgt sangat tidsk sesuai......,Selesai,"Selasa, 07 Oktober 2014 - 14:41 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Setelah kami Koordinasikan dengan UP3AD Kota Pekalongan, bahwa SAMSAT Kota pekalongan tidak memungut biaya sepeserpun dari pengambilan plat nomor/ TNKB. dan perlu kami informasikan kepada wajib Pajak apabila menemukan ada petugas/siapapun yang meminta pungutan liar diluar ketentuan baik itu pelayanan plat nomor atau pelayanan lain dilingkungan SAMSAT, dipersilahkan untuk langsung atau via telepon/sms kepada Kasi Pajak maupun Baur STNK di masing-masing SAMSAT, sehingga hal tersebut dapat segera ditindaklanjuti."
