Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
31 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP56819118.html,KABUPATEN PEMALANG,"Pak,,,,soal pengembangan infrastruktur di jawa tengah kok terkesan lamban dan saling lempar tanggung jawab gitu ya. Pembangunan jalan tol Semarang - Solo sampai saat ini bisa dibilang baru 35% saja, baru sampai ungaran. begitu juga dengan ruas tol lainnya Mulai dari Tegal - Pemalang - Batang - Semarang, bahkan belum terdengar lagi kabarnya hingga saat ini. PLTU Batang yang seharusnya dibangun mulai tahun 2012 hingga kini juga masih tanda tanya??? Hingga pengembangan bandara Ahmad yani yang juga masih pada lempar kewenangan, ada yg bilang nunggu persetujuan Menteri BUMN, Perhubungan, Kemenhan, dll. Semakin ga jelas justru terdengar.",Selesai,"Selasa, 26 Agustus 2014 - 11:37 WIB",DINAS PERHUBUNGAN,"Terima Kasih atas masukan saudara, untuk pengembangan bandara masih dalam proses, mohon menunggu."
04 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP94498888.html,KABUPATEN PEMALANG,"pelayanan kesehatan khususnya jiwa di pekalongan sudah membaik karena sudah ada RPSBM(rumah perlindungan sosial berbasis masyarakat) tapi keterbatasan pelayanan hanya bagi warga kota pekalongan saja yang bisa berobat jiwa di sana atau mondok untuk diobati. padahal penderita sakit jiwa di daerah sekitar pekalongan batang,pemalang,maupun sangat banyak. mohon tinjauan bapak gubernur ke pekalongan agar RPSBM bisa untuk masyarakat sekitar luar kota pekalongan juga bisa mendapatkan pelayanan di RPsBM.",Selesai,"Senin, 12 Desember 2022 - 15:23 WIB",DINAS KESEHATAN,"aduan baru kami terima hari ini, kami jawab aduan tersebut. trimakasih "
18 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP50435015.html,KABUPATEN PEMALANG,Guru yg belum punya NUPTK byk mengeluh kenapa proses penerbitan lama sekali dan bahkan sekarang diperjualbelikan. Mohon dioptimalkan lagi kinerja Dinas Pendidikan dan LPMP Jateng,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
19 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP25694297.html,KABUPATEN PEMALANG,"pak gub, kenapa polisi di wilaya semarang sangat kecam sekali ngak ada kata toleransi. waktu itu saya dari pemalang mau ke yogja. saya lewat semarang, motor saya diberhentikan alasanya plat nomer belum diganti, padahal memang di kota pemalang plat nomer kendaraan itu memang sangat lama, tros yang bikin heran itu kan plat telat gara-gara atasan polisi yg korup. mohon pak khusus polisi-polisi di bina, supanya masyarakat sekan dengan polisi dengan kewibawaanya, bukan takut karena arogannya.",Selesai,"Kamis, 10 Juni 2021 - 14:41 WIB",Kepolisian Daerah Jawa Tengah,telah dikoordinasikan dng anggota Satlantas namun tidak ada saksi-saksi shg tidak cukup bukti 
21 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP85302699.html,KABUPATEN PEMALANG,Yth bp gub. Pemdes beluk kec belik pemalang tlah menerima bntuan 100 jt untuk pengsplan jalan namun dlam pelaksanaanya dibrongkan 65 juta dan masyrkat smpe pekerjaan slesai tidak di tau dari mana dana trsbut dan mohon utk segera di tinadk lanjti skian dan tksh,Selesai,"Selasa, 09 September 2014 - 07:47 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,Tidak ada keterangan
23 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP65752270.html,KABUPATEN PEMALANG,"Aslm pk gubernur yg jujur ,amanah dan pro wong cilik tolong tindak tegas kalo ini tidak benar kaitan bantuan pem. Prov jateng kepada desa yg jumlahnya 100 jt dan sudah di gunakan untuk pengaspalan jalan antar desa, tpi kades Beluk kec, belik Pemalang dalam plaksanannya tak mlibatkan warga ko di borongkan ke pihak ke 3 sebesar Rp. 70 jt dan kami tunggu secepatnya eksennya",Selesai,"Kamis, 02 Oktober 2014 - 11:44 WIB",INSPEKTORAT,"Tidak lanjut hasil pemeriksaaan dari kasus di Kabupaten Klaten bahwa telah dilaksanakan pemeriksaan oleh Inspektorat Kabupaten Klaten Nomor 700/227/08.III/k tanggal 24 September 2014 dengan kesimpulan sebagai berikut:  1. berdasarkan keterangan, data dan bukti yang kami dapat diketahui bahwa tidak terdapat pemotongan atas Dana Bantuan Gubernur sebesar Rp 100.000.000 seperti yang diadukan. 2. pelaksanaan kegiatan Dana Bantuan Gubernur tersebut berdasarkan survei lapangan yang kami lakukan masih terus dikerjakan dan hingga laporan ini disusun proses pembangunannya belum selesai.   Dan tindak lanjut dari Kabupaten Pemalang dari kasus tersebut adalah menurut Surat Inspektur Kabuapten Pemalang Nomor 700/137/2014 tanggal 29 September 2014 bahwa kasus tersebut tudak benar, bantuan PemProv Jateng ke Desa Baluk sejumlah Rp. 100.000.000,00 sudah digunakan untuk pengaspalan jalan antar desa, tetapi Kepala Desa Beluk Kecamatan Belik kabupaten Pemalang dalam pelaksanaannya tidak melibatkan warga, diborongkan oleh pihak ke 3. "
23 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP25747995.html,KABUPATEN PEMALANG,Jembatan Comal arah ke jateng .macet total spi 20 km.lebih.petugas krg dpt meyakinkan jalan alter natif yg di pakai utk kelancaran pemudik diperkirakan 1 -2 hari br bs kelar kemacetan hr ini..mks,Selesai,"Rabu, 28 Januari 2015 - 14:15 WIB",DINAS PERHUBUNGAN,"Terima Kasih atas laporan yang disampaikan,"
28 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP32615781.html,KABUPATEN PEMALANG,"Selamat siang pak Ganjar, seperti pernah saya melaporkan ketidakadilan yang terjadi di DKI Jakarta kepada Wagub pak Ahok, saya juga ingin melaporkan kemacetan yang terjadi dari arah barat menuju jembatan comal, kemacetan kurang lebih 15 KM mulai dari PT. Candi Mekar. Saya pantau aparat tidak bekerja secara maksimal, dan pembatas jalan tidak dibuka untuk memperlancar perjalanan pemudik. Mohon bantuannya dari Pak Ganjar dengan respon yang cepat. Kemaceta mulai terjadi kurang lebih pukul 11.00 WIB tgl 28 Juli 2014 sampai sekarang.",Selesai,"Kamis, 10 Juni 2021 - 14:39 WIB",Kepolisian Daerah Jawa Tengah,file identitas pelapor tidak jelas..tdk bisa dihubungi
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP30440809.html,KABUPATEN PEMALANG,"Pak Ganjar, masyarakat petani di Kecamatan Petarukan Kabupaten Pemalang mengeluhkan kelangkaan pupuk urea. Mohon jadi perhatiannya pak.",Selesai,"Kamis, 14 Agustus 2014 - 08:14 WIB",DINAS PERTANIAN DAN PERKEBUNAN,"Kuota pupuk Urea Kabupaten Pemalang tahun 2014 adalah 23.468 ton, sedangkan realisasi penyaluran s/d tanggal 18 juli 2014 sebesar 15.595 ton ( 66,45% ), kuota pupuk secara nasional memang turun sekitar 18%, sebetulnya bukan kelangkaan, ada, tetapi memang terbatas. Untuk itu sangat disarankan untuk menggunakan dosis pupuk berimbang dan memperbanyak penggunaan pupuk organic / kandang / kompos."
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP45111870.html,KABUPATEN PEMALANG,"12. Yth Bp Gubernur, saya masih menemukan dalam urusan pernikahan di daerah saya kok masih diminta biaya dari Rp 150 ribu sampai Rp 300 ribuan. Padahal Pak Presiden sudah menyampaikan gratis. Mohon ditindaklanjuti secepatnya. (Carmo, Cibiyuk, Ampelgading, Pemalang)",Selesai,"Senin, 04 Agustus 2014 - 13:57 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami tindaklanjuti
