Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
22 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP44603505.html,KABUPATEN PURWOREJO,"pak tolong diaudit yang benar tentang dana gubernuran.soalnya didesa saya sidomulyo,butuh, purworejo.dana tersebut hanya digunakan oleh perangkat desa dan keluarganya,bahkan BPD yang seharusnya mengawasi malah ikut menyalah gunakan dana tersebut untuk kepentingan pribadi.warga desa yang mau pinjam bahkan dipersulit dengan alasan kas dana gubernuran tersebut habis.apakah memang dana tersebut hanya untuk pinjaman perangkat desa pak.? tolong dibenahi pak birokrasi berbelit didesa kami..unsur yang terkecil aja begitu pak.bagaimana unsur yang diatasnya.trims",Selesai,"Senin, 04 Agustus 2014 - 12:51 WIB",DINAS TENAGA KERJA DAN TRANSMIGRASI,Tidak ada keterangan
22 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP99782671.html,KABUPATEN PURWOREJO,"pak tolong diaudit yang benar tentang dana gubernuran.soalnya didesa saya sidomulyo,butuh, purworejo.dana tersebut hanya digunakan oleh perangkat desa dan keluarganya,bahkan BPD yang seharusnya mengawasi malah ikut menyalah gunakan dana tersebut untuk kepentingan pribadi.warga desa yang mau pinjam bahkan dipersulit dengan alasan kas dana gubernuran tersebut habis.apakah memang dana tersebut hanya untuk pinjaman perangkat desa pak.? tolong dibenahi pak birokrasi berbelit didesa kami..unsur yang terkecil aja begitu pak.bagaimana unsur yang diatasnya.trims",Selesai,"Senin, 04 Agustus 2014 - 12:53 WIB",DINAS TENAGA KERJA DAN TRANSMIGRASI,Tidak ada keterangan
09 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP19494841.html,KABUPATEN PURWOREJO,"slmt siang.sebelumnya saya ucapkan trima ksih atas respon cptnya pak atas laporan saya.tp saya kurang puas karena dari pihak pemkap purworejo yang dtg ke desa sidomulyo,butuh,purworejo cm blg tolong dibenahi administrasi dana gubernuran kamu.tanpa ada pengecekan siapa peminjam dan ada berapa dananya skrg.karena smua hanya fiktif.dan organisasi jg tdk berjln.masa smua urusan gubernuran dipegang ketua saja .sebenarnya dgn diadakan audit sdh membuat bingung para perangkat desa.hanya saja dr yang audit begitu lembek dan ga mau repot tanpa menyelusuri ada tidaknya dana gubernuran tsbt,dan tidak ada sanksi sm sekali.trima kasih pak..tolong kalo audit yang benar kan kalian di gaji negara untuk rakyat.",Selesai,"Senin, 04 Agustus 2014 - 12:55 WIB",DINAS TENAGA KERJA DAN TRANSMIGRASI,Tidak ada keterangan
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP49352322.html,KABUPATEN PURWOREJO,Assalam.. Bapak Gubernurku. Pak BPN se-Jateng sistem kerjanya semuanya sama tidak ya pak? Kenapa BPN Purworejo pegawainya tidak bisa kerja maksima apabila tidak ada percepatan/ amplopnya?,Selesai,"Rabu, 26 Februari 2020 - 11:00 WIB",Kanwil BPN Provinsi Jawa Tengah,akan kami tindklanjuti terimakasih atas koreksinya
23 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP09499154.html,KABUPATEN PURWOREJO,"Aslm pak gubernur jawa tengah: saya mau melaporkan banyak sungai 2 didaerah butuh sampai kutoarjo banyak yang belum seteril/ dikeruk lumpur2,hal ini untuk mengantisipasi banjir di bulan desember yang pernah terjadi di tahun kemarin 2013",Selesai,"Senin, 25 Agustus 2014 - 09:02 WIB",DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,Laporan telah diselesaikan
20 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP18086149.html,KABUPATEN PURWOREJO,"warga kami sangat kesulitan dalam hal mengairi lahan pertanian padahal kami dialiri sungai dulang ,seandainya kami punya saluran pengubung antara sungai dulang sampai lahan pertanian insyaalloh petani warga bringin, bayan , Purworejo. bisa meningkatkan produkasi pertaniannya terutama padi ,mohon perhatian bapak gubernur, maturnuwun",Selesai,"Senin, 05 Januari 2015 - 13:58 WIB",DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG,"Dari kajian lapangan dan teknis, daerah/lahan pertanian dimaksud termasuk Gilir Golongan C dan berada di upat-upat maka akan dipinjami pompa melalui Balai PSDA Probolo untuk membantu percepatan tanam. Terima Kasih."
21 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP34696099.html,KABUPATEN PURWOREJO,"Bapak Gubernur Yth, kawulo wargo dusun bringin, kec.bayan, Kab. Purworejo, onten lahan pertanian ingkang wiaripun 32ha, menawi mongso ketigo mboten saget tanem amargi toyanipun susah , padahal , Bringin wonten kali dulang, nyuwun bantuanipun supados wargo bringin saget damel lepen ingkang nggubungaken kali dulang dugi lahan pertanian sehinggo wargo saget tanem pantun ,makaten atur kawulo nyuwun pangapunten lepat kawulo ,maturnuwun kawigatosanipun",Selesai,"Rabu, 24 September 2014 - 11:01 WIB",DINAS PERTANIAN DAN PERKEBUNAN,"Kalau untuk usulan tersebut mohon buat proposal buat Dinas PSDA Prov. apabila usulan berupa bendung, saluran induk atau saluran sekunder. Apabila usulan berupa saluran tersier di tunjukan ke Dinpertan TPH Prov. Jateng."
07 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP80164036.html,KABUPATEN PURWOREJO,Penambangan material non logam di das bogowonto di desa popongan kecamatan banyuurip kabupaten purworejo ( bukan wilayah penambangan material non logam menurut perda rtrw kabupaten purworejo). Nampaknya bupati dan aparatnya diam saja. Beberapa waktu lalu sudah berhenti seminggu ini mulai lagi.,Selesai,"Jumat, 10 Oktober 2014 - 10:54 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Hasil pengechekan penambangan di DAS Bogowonto Desa Popongan, Kec. Banyuurip, Kabupaten Purworejo bersama dengan staf Dinas SDA dan ESDM Kabupaten Purworejo dapat kami sampaikan sebagai berikut : 1.  Memang benar terdapat kegiatan penambangan tanah        urug di pinggir sungai bogowonto pada koordinat S 7.759790 E 110.011890 dengan menggunakan 1 (satu) unit alat berat (backhoe). 2.  Kegiatan tersebut tidak berijin (PETI) dan berdasarkan Perda RTRW Kabupaten Purworejo di lokasi tersebut  tidak boleh dilakukan kegiatan penambangan. 3.   Kepada penanggung jawab kegiatan tersebut (Sdr.  Ponjo dan Cipto) telah kami minta untuk menghentikan  kegiatan dan alat berat agar segera keluar dari lokasi. Terima kasih."
12 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP64970103.html,KABUPATEN PURWOREJO,"Laporan saya tentang penambangan non logam di das bogowonto desa popongan kecamatan banyuurip kabupaten purworejo telah ditindak lanjuti esdm dan dan instansi terkait pada tanggal 10 okt.2014. Terima kasih. Penambangan terus berlangsung, lalu apa yang perlu dilakukan warga? Apakah jika lewat sarana media lap gub ini tidak ada perubahan ada mekanisme lain mendorong pemerintah menegakkan aturan? Apakah jika gubernur tidak bisa menyelesaikan harus naik menjadi lap presiden?",Selesai,"Selasa, 21 Oktober 2014 - 08:35 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Sdr. Dwi Widyatmojo, menindaklanjuti laporan Sdr, perlu dijelaskan sebagai berikiut :"
28 Nov 2014,https://laporgub.jatengprov.go.id/detail/LGWP44636290.html,KABUPATEN PURWOREJO,"SD Negeri Wirotaman Kutoarjo, beberapa bulan yang lalu mengundang orang tua/wali siswa, yang ujung-ujungnya minta dana untuk MEREHAP RUANG KEPALA SEKOLAH, memang tidak ada DAK (Dana Alokasi Khusus) kah? di Kutoarjo (kampung halaman pak Gub..! lho....",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
