Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
15 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP94090663.html,KABUPATEN REMBANG,"jalan rusak parah,terlihat tak seperti jalan malah.di area jalan propinsi pancur,pamotan,sedan,sale..kab.rembang. kami mohon untuk segera menindak lanjuti,karna sudah merenggut banyak korban. terimakasih",Selesai,"Kamis, 09 Maret 2023 - 07:07 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporan yang diberikan Saat ini dilaksanakan paket-paket di ruas Lasem - Sale = 31,87 Km : 1. Peningkatan Jalan Lasem - Sale sepanjang 3 km (Pelebaran). 2. Pemeliharaan Rutin Lasem - Sale sepanjang 28,87 km. Paket peningkatan belum sebanding dengan kondisi jalan saat ini, sehingga kami mengupayakan pemeliharaan rutin dapat menjaga kondisi jalan dapat layak dilalui hingga akhir tahun 2014"
18 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP61138635.html,KABUPATEN REMBANG,"mohon di sidak jembatan timbang sarang rembang, karena punglinya sangat tinggi.oknum petugasnya memperkaya diri sendiri.oknum yang perlu ditindak / di mutasi : Sdr.Kris sukamto, sdr. mulyono, sdr gatot",Selesai,"Senin, 19 Mei 2014 - 09:20 WIB",DINAS PERHUBUNGAN,"Terima Kasih atas laporan saudara, akan segera kami cek kebenarannya dan segera kami tindak lanjuti."
21 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP75085820.html,KABUPATEN REMBANG,"saya seorang guru swasta,sudah lulus sertifikasi 2012,sampai saat ini belum mendapatkan tunj sertifikassi,karena kendala NRG yang belum keluar.Padahal sebagian dari kami sesama angkatan 2012 sudah ada yg NRG keluar dan terima tunjangan.sebenarnya saya malu,untuk nuntut,meski itu hak saya.tapi tiap hari banyak keluhan dari teman2 seangkatan.maka saya memberanikan diri untuk membuat laporan ini.saya juga mewakli teman2 dari 5 kab jepara ,pati,kudus,demak dan rembang yang senasib.mohon bapak memerintahkan kepada dinas2 terkait agar segera mengeluarkan nrg kami.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
26 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP96319426.html,KABUPATEN REMBANG,Kami berharap petugas / muka muka lama di jembatan timbang sarang rembang untuk diganti semua.karena mereka kaya raya secara pribadi sedang jalan negara rusak parah karena PUNGLI besar besaran selama bertahun tahun lamanya. Hidup Reformasi Transportasi.Amanah Bapak Gubernur Jateng.,Selesai,"Selasa, 26 Agustus 2014 - 11:15 WIB",DINAS PERHUBUNGAN,"Terima Kasih atas laporan saudara, akan segera kami cek kebenarannya dan segera kami tindak lanjuti."
09 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP80898200.html,KABUPATEN REMBANG,"jalan propinsi lasem-sale kab.rembang rusak parah pak 1 tahun ini, aspalnya sudah pada hilang,, tolong cepat dperbaiki.. karena itu wewenang provinsi bukan kabupaten.. kabupaten tidak mau memperbaiki karena itu jalan propinsi..",Selesai,"Rabu, 08 Maret 2023 - 18:08 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"tahun ini akan dilakukan peningkatan di ruas jalan tersebut dan pemeliharaan rutin oleh BPJ Wilayah PAti, mohon maaf atas ketidaknyamananny, tim kami berupaya menyisir jalan berlubang"
28 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP25312257.html,KABUPATEN REMBANG,Jalan Lasem-Sale sudah bertahun-tahun rusak parah tidak diperbaiki! Tolong bapak gubernur untuk segera memperhatikannya,Selesai,"Kamis, 09 Maret 2023 - 11:29 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya Bapak Sihabudin saat sekarang ruas jalan tersebut secara berangsur-angsur kami tingkatkan kapasitas dan strukturnya Pada TA. 2014 disediakan dana Rp. 7,1 M untuk pelebaran menjadi 6,0 m sepanjang 3 km. mudah-mudahan tahun depan segera dapat diselesaikan"
06 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP33228670.html,KABUPATEN REMBANG,"saya sbg panitia pelantikan DPD LPM Kab Rembang mengundang bpk GUBERNUR utk menghadiri acara tsb,pd hari rabu,tgl 16 juli 2014 jam 09.30 ,undangan resmi akan disampaikan tgl 8 atau 10 juli, terima kasih",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP95970700.html,KABUPATEN REMBANG,"1. Ass..maaf bapak. Kami mau solusinya. Kami punya beberapa hewan seperti ayam, kambing, sapi. Keinginan kami pengen kami kembangkan sehingga menjadi cepat memperoleh keuntungan. Pertanyaannya : 1. Kami tidak punya modal. 2. Bila kami jual harganya rendah sehingga tidak seimbang dengan pengeluaran keseharian untuk perawatan. Tolong minta jalan keluarnya. Makasih bapak gubernur.Yitno, Dukuh Tulis, Desa Selopuro, Kec Lasem, Rembang",Selesai,"Kamis, 07 Agustus 2014 - 13:21 WIB",DINAS PETERNAKAN DAN KESEHATAN HEWAN,"Menanggapi pertanyaan dari Saudara Yitno yang berasal dari Rembang, berikut kami sampaikan tanggapannya :"
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP65285545.html,KABUPATEN REMBANG,"Yth Gubernur Jateng .demi tegaknya hukum dan mewujudkan pemerintahan yang bersih dari korupsi.tolong pak gubernur sidak di desa kami Ds,Sidomulyo Kec Sedan Kab, Rembang.Krn kepala desa dan anak2nya telah menempati tanah perankat desa(jogo boyo) dan membabi Buta menjual tanah bondo deso tanpa ada musdes dan tukar guling. masalah ini sudah kami lapurkan tapi ter gantung di pemkab.dan kades merasa kebal hukum.tolong pak .kami hanya mengingginkan tanah milik negara kembali ke negara.",Selesai,"Senin, 16 Maret 2015 - 10:45 WIB",INSPEKTORAT,"Telah ditindaklanjuti dengan melakukan pemeriksaan oleh Inspektorat Kab.Rembang. Berdasarkan LHP No.700/024/RHS/INS/2014 tgl. 15 Agustus 2014 terdapat kesimpulan sebagai berikut: 1. Terbukti bahwa diatas tanah milik desa ( bengkok perangkat desa) telah berdiri rumah-rumah baik permanen maupun semi permanen antara lain rumah Kepala Desa Sidomulyo dan rumah 3 anak dari Kepala Desa Sidomulyo 2. Terbukti bahwa diatas tanah milik desa (bengkok perangkat desa/staf sekretaris desa) telah berdiri bangunan permanen yang belum secara keseluruhan jadi Dari hasil pemeriksaan diatas sebagai saran dan pertimbangan kepada Plt.Bupati Rembang dapat memberikan sanksi sesuai dengan peraturan yang berlaku, yaitu Peraturan Daerah Kabupaten Rembang No.3 Tahun 2007 tentang Tata Cara Pemilihan, Pencalonan, Pengangkatan, Pelantikan dan Pemberhentian Kepala Desa. Terima Kasih."
12 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP18234028.html,KABUPATEN REMBANG,"di Kab. Rembang masih ada pungli di samsat Pak.Pungli sy rasakan di samsat di bagian esek2 no rangka, tidak ada tarif resmi yg terpasang,tidak ada bukti penerimaan uang. esek2 utk motor dikenakan 25rb, mobil 50 rb.",Selesai,"Rabu, 20 Agustus 2014 - 15:28 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Untuk Cek Fisik di SAMSAT bukan merupakan kewenangan dari DPPAD Provinsi Jawa Tengah, tetapi merupakan kewenangan dari Kepolisian"
