Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
09 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP55442552.html,KABUPATEN BREBES,"kenapa kab. brebes jalannya tidak pernah beres, selalu berlubang dan bergelombang, iri sama kota tegal yang jalan rayanya menggunakan beton untuk lapisan bawahnya dan baru diaspal, dibrebes cuman asal tambal dan ganti, baru juga seminggu jalan sudah rusak lagi. brebes kayaknya harus ditinjau itu birokrasinya, jalan lingkar brebes-tegal saja dari aku berumur 12-22 tahun masih belum bisa digunakan.",Selesai,"Rabu, 08 Maret 2023 - 15:14 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Tahun 2014 terdapat penanganan jalan provinsi di Kab. Brebes, antara lain : 1. Pelebaran jalan Ketanggungan - Kersana - Bantarsari sepanjang 2 km; 2. Pelebaran jalan Bandungsari - Penanggapan sepanjang 2 km; 3. Pengaspalan jalan kersana - bandungsari sepanjang 3 km; 4. Pengaspalan jalan bandungsari - salem sepanjang 4 km; 5. Pelebaran jalan bumiayu - salem sepanjang 4 km; 6. Pelebaran jalan bumiayu - sirampok sepanjang 2,5 km; 7. Pelebaran jalan pejagan - ketanggungan sepanjang 2km; 8 Perkerasan beton jalan ketanggungan - songgom sepanjang 2 km; 9. Pelebaran jalan jatibarang - ketanggungan sepanjang 2 km. Disamping jalan pantura yang sudah ditangani, dilaksanakan juga pemel. rutin yang diharapkan dapat melayani pengguna jalan dengan aman. Kami harapkan penanganan yang awet antara lain dengan jalan beton dapat menambah umur jalan tersebut."
26 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP68182814.html,KABUPATEN BREBES,"Soal ujian sekolah SD di lingkungan Kab. Brebes Tahun 2013/2014 pelajaran Bahasa Jawa ada yang kurang memperhatikan nilai moral. Karena pada soal tersebut terkandung nilai moral untuk ""taruhan"" menjadi perilaku yg wajar. tentu ini tidak baik. Lihat soalnya pada lampiran. (PERCAKAPAN UNTUK SOAL NO 12-14)",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
26 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP55120332.html,KABUPATEN BREBES,Soal US SD/MI mapel Bahasa Jawa tahun 2013/2014 di Kab. Brebes kurang memperhatikan nilai moral,Selesai,"Senin, 22 Februari 2021 - 14:49 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,"Tim Pengembang Kurikulum Mapel Bahsa Jawa telah membuat kisi-kisi untuk membuat soal dari Kab/Kota. Tim Pembuat Soal US mapel Bahasa Jawa di Kab. Brebes hendaknya lebih berinovasi & berkreativitas agar membuat soal US Bahasa Jawa US SD/MI Kab. Brebes, lebih mengimplementasikan 18 butir-butir soal-soal karakter bangsa agar anak-anak di maksud lebih memperhatikan nilai moral."
09 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP24004078.html,KABUPATEN BREBES,"Tyh. Bpk Gubernur Jawa Tengah. Saya PNS di Kab. Brebes sedang mengambil studi magister di MPWK ITB-Kobe University (Double Degree), saya mencoba mencari data APBD Jawa Tengah secara online tapi tidak tersedia di portal pemprov. Mohon bantuannya karena saya posisi di Jepang sedang menyusun thesis. Terima Kasih",Selesai,"Rabu, 11 Juni 2014 - 15:39 WIB",BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,"Yth. Sigit Sapto Wardoyo, untuk data APBD Provinsi Jawa Tengah dapat di download di http://sipkdjatengprov.blogspot.com/ Terima Kasih, Semoga bermanfaat"
26 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP08437943.html,KABUPATEN BREBES,"Pak Gubernur, di Kab Brebes tepatnya di Jl.S.Parman Gang.I Pesanggrahan Brebes (Rumah Paling Ujung) ada Bandar JUDI TOGEL yang sangat meresahkan masyarakat, kelihatannya banyak bekingnya sehingga Sang bandar bisa bebas aktivitas TOGEL nya. Tolong Diberantas Habissss sampai akar-akarnya termasuk Bekingnya kalau memang ada. Terima kasih",Selesai,"Kamis, 21 Oktober 2021 - 11:20 WIB",Kepolisian Daerah Jawa Tengah,sudah ditindak lanjuti
10 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP17591876.html,KABUPATEN BREBES,Assalamu alaikum warohmatullahi wabarakatuh..kpada yang terhormat bapak gubernur di tempat..saya atas nama warga kabupaten brebes.khususnya kecamatan kersana.dngan hormat kami ingin menanyakan kepada bapak..ini masalah pendidikan tepatnya pendaftaran dari mulai sd sampai smu..bgini pak..apakah di dalam pendidikan dari sd sapai smu sudah di gratiskan lewat dana boss?? Kalau iya..kenapa di tempat kami kususnya kecamatan kersana brebes..mash membayarkan sejumlah uang?? Misalnya untuk pendaftaran smp..daftar ulang kami harus membayar 500 sampai 600 ribu rupiah.untuk smu berfariasi sekitar 800 sampai 1jta 200ribuan!! Menurut bapa bagaimana?? Terus terang kami dari keluarga tidak mampu merasa keberatan..tapi mau bagaimana lagi kami tidak ada pilihan selain harus mengikuti peraturan sekolah!! Jadi kami dngan hormat..kepada bapak mohon bantuannya!! Terima kasih,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
19 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP25004786.html,KABUPATEN BREBES,"Pak ganjar mohon dalam hal pendidikan,kebijakan bapak samakan dong kaya pak jokowi di DKI dari sd - Sma tidak ada kepsek yg berani mungut sepeser pun.Kenapa adek saya di tegal masih ada bayar daftar ulg,bayar SPP perbulan,uang baju,dll intinya memberatkan org yg tidak mampu tolong di cek pak gubernur di lapangan:MAN 1 tegal.bukan cuma tegal pak,Brebes,Kebumen, dll sama bayar juga. #mendesak pak ganjar.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP35170108.html,KABUPATEN BREBES,"Bpk Gubernur Ganjar Yth. Tolong inspeksi mendadak dilakukan di Samsat Bumiayu karena banyak pungli-pungli kakap yang professional dari Polres Brebes. Terima kasih. Kejadian ini sudah cukup lama, setiap bayar pajak pasti dimintai Rp 25 ribu.",Selesai,"Rabu, 06 Agustus 2014 - 09:36 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Menanggapi aduan Saudara Rubrik Tanya, dapat kami sampaikan bahwa hal tersebut merupakan kewenangan kepolisian. Terima kasih atas aduannya, selanjutnya aduan akan kami sampaikan kepada pihak kepolisian;"
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP65227237.html,KABUPATEN BREBES,"Pak, saya hidup di Brebes selama 7 tahun, tetapi jalan-jalan di Brebes belum pernah rusak kayak sungai, apalagi di daerah. Sudah banyak makan korban. Mohon perhatiannya untuk menegur pejabat daerah.",Selesai,"Kamis, 09 Maret 2023 - 11:37 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya saudara Laporan dari rubrik tanya Pembangunan infrastruktur jalan memang harus sinergis antara jalan kabupaten, provinsi dan nasional. hal ini berlaku juga tentang pengaturan pembatasan muatan yaitu kendaraan dengan mst (muatan sumbu terberat) maksimal 10 ton. Pada TA. 2014 pada kab. Brebes telah dianggarkan Rp. 79,281 M (APBD) dan Rp. 113,959 Milyar (APBN) Mudah-mudahan dapat mengejar kerusakan jalan yang ada."
10 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP33940002.html,KABUPATEN BREBES,"dear pak gubernur, saya warga linggapura, brebes, mohon kiranya jalur tengah, pejagan-bumiayu-purwokerto ditinjau, warga disana mengeluhkan truck2 besar yang melintas sudah overload, jalan disana kecil pak, hingga akibatnya terjadi kemacetan panjang yg berakibat roda perekonomian penduduk sekitar terganggu, pendidikan terganggu, pelayanan kesehatan terganggu, sudah banyak memakan korban jiwa juga karena kecelakaan yang diakibatkan daya tampung jalan yang sudah tidak wajar, mohon sidaknya segera dan mohon dicarikan jalur alternatif lain agar truck2 tsb tidak menumpuk di jalur desa kami.",Selesai,"Kamis, 09 Maret 2023 - 11:37 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya saudara Andi Susilo Memang perlunya koordinasi antara penyelenggara jalan, pemakai jalan serta penyedia angkutan di jalan. saat sekarang ruas pejagan - bumiayu - purwokerto menjadi jalur alternatif pengalihan pantura akibat perbaikan di jembatan comal."
11 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP84132081.html,KABUPATEN BREBES,"Salam INDONESIA Jateng, Saya ingin menyarankan kepada instansi terkait mengenai dampak jembatan COMAL di Jalur Tengah TEGAL - Banyumas, Bahwa keadaan jalur tersebut telah mengalami volue kendaraan yang tidak seimbang dengan panjang jalan tersebut sehingga terjadi kemacetan di dua arah dari Prupuk (Kab. Tegal - Purwokerto, Wangon (Bab. Banyumas), dari kemacetan daerah tersebut mengakibatkan kebutuhan pokok sehari-hari mengalami kekurangan sehingga banyak pedagang tidak berjualan karena tahu macet, pedagang terjebak kemacetan pada saat berangkat, anak sekolahyang dateng terlambat karena macet dan tidak ada angkutan umum dan masih banyak lain kesulitan yang dialami masyarakat terdampak kemacetan. Maka dari itu Saya mengusulan untuk kendaraan berat dan panjang tidak melewati rute Prupuk (Kab. Tegal - Kab.Banyumas) mengingat kendaraan berat bisa merusak jalan CIREGOL (Kab. Brebes) yang sebelumnya telah mengalami ""AMBLAS"" agar tidak terulang karena menyebabkan ekonomi lumpuh. kemudian kendaraan panjang jangan melewati jalan tesebut karena banyak tikungan tajam dan menanjak yang harus bergantan, mungkin kemacetan saat ini terjadi karena persimpangan kendaraan panjang dan berat. dan juga pada peta ""Lapor Gub"" akan saya beri perkiraan yang diharapkan bisa dijadikan pertimbangan untuk mengambil keputusan. Terima kasih atas waktu untuk membaca laporan saya, berharap ada tindaklanjut nyata. Salam Indonesia Jateng.",Selesai,"Jumat, 15 Agustus 2014 - 08:37 WIB",DINAS PERHUBUNGAN,"bersama ini kami sampaikan bahwa kemacetan terjadi karena adanya pengalihan rute kendaraan berat ke jalur Selatan akibat amblesnya jembatan Comal, pengalihan rute ini merupakan satu-satunya langkah untuk distribusi barang secara nasional yang saat ini sifatnya sementara sambil menunggu Jembatan Comal selesai diperbaiki. kita sedang mendorong kebijakan dari Pemerintah Pusat untuk pengalihan distribusi barang menggunakan moda lain (kereta/laut). demikian, dan Terima Kasih. salam sukses selalu untuk anda."
11 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP28874150.html,KABUPATEN BREBES,"USUL TERBUKA RAKYAT KAB.BREBES PADA GUBERNUR JATENG GANJAR PRANOWO ""DARURAT TRANPORTASI"" AKIBAT AMBLES JEMBATAN COMAL 1. Selamatkan Zona Daerah Milik Jembatan dari beragam aktifitas eksploitasi material sungai yang akibatkan berubahnya fungsi dan struktur bangunan jembatan 2. Selamatkn daerah aliran sungai dan perbaiki pola penambangan yg akibatkan kerusakn ekosistm sungai. 3. Stop kebijakan pengadaan truk bertonase tinggi dan sumbu roda banyak untuk angkutan barang dijalan raya. 4. Rubah kebijakan pola angkutn barang semula mengunakan truk diganti dengan kereta api sehingga dapat perpanjang umur jalan. 5. Jalan raya hanya untuk moda pengangkutn orang/penumpng saja. 6. Alokasi Anggaran Pmbangunan infrastruktur jalan dan jembatan yg lebih besar lagi untk Provinsi Jawa Tengah yg memiliki beban tinggi pengangkutan lintas pulau jawa. 7. Stop pengalihan jalur truk dng muatan berat dari pantura ke arah jalur selatan/bumiayu krn tekstur jalan sempit, berkelok, ambles yang berakibat 7 orang korban mati sia-sia bertambah banyak dijalur selatan. 8. Stop pengalihan jalur truk muatan berat dari pantura kearah selatan yang berakibat macet total sehingga kegiatan ekonomi rakyat jadi lumpuh.",Selesai,"Jumat, 15 Agustus 2014 - 08:36 WIB",DINAS PERHUBUNGAN,"bersama ini kami sampaikan bahwa kemacetan terjadi karena adanya pengalihan rute kendaraan berat ke jalur Selatan akibat amblesnya jembatan Comal, pengalihan rute ini merupakan satu-satunya langkah untuk distribusi barang secara nasional yang saat ini sifatnya sementara sambil menunggu Jembatan Comal selesai diperbaiki. kita sedang mendorong kebijakan dari Pemerintah Pusat untuk pengalihan distribusi barang menggunakan moda lain (kereta/laut). demikian, dan Terima Kasih. salam sukses selalu untuk anda."
11 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP83455992.html,KABUPATEN BREBES,Bumiayu brebes menggugat Macet http://youtu.be/8NYTWc5coXc,Selesai,"Jumat, 15 Agustus 2014 - 08:35 WIB",DINAS PERHUBUNGAN,"  bersama ini kami sampaikan bahwa kemacetan terjadi karena adanya pengalihan rute kendaraan berat ke jalur Selatan akibat amblesnya jembatan Comal, pengalihan rute ini merupakan satu-satunya langkah untuk distribusi barang secara nasional yang saat ini sifatnya sementara sambil menunggu Jembatan Comal selesai diperbaiki. kita sedang mendorong kebijakan dari Pemerintah Pusat untuk pengalihan distribusi barang menggunakan moda lain (kereta/laut). demikian, dan Terima Kasih. salam sukses selalu untuk anda."
18 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP72066658.html,KABUPATEN BREBES,"Selama siang pak Gubernur dan ibu Bupati Brebes, Saya sebagai pemuda Dukuh Tanjung Desa Pangebatan Kecamatan BantarKawung Kabupaten Brebes. Saya sangat prihatin sekali atas tindakan terjadinya pemaksaan yang mewajibkan setiap keluarga harus memberikan iuran sebesar Rp. 750.000 dan untuk para janda Rp 500.000 untuk ""Renovasi Masjid Jami Darusalam"". Memang itu baik untuk renovasi masjid tesebut namun dilihat dari sisi ekonomi memberatkan karena dilihat dari lingkungan saja mayoritas kelas bawah, apalagi untuk para janda harus mendapatkan uang sebesar itu dari mana, jikalau punya anak lelaki pasti juga memikirkan sendiri untuk membayar iuran sendiri. Sebenarnya sebagian besar keberatan namun hanya terdeteksi dari satu orang ke satu orang lain, sehigga tidak ada keberanian untuk melakukan negosiasi ataupun memberikan saran dan kritik. Saya mohon untuk dinas terkait untuk memfasilitasi hal tersebut untuk mencari jalan keluar, semoga iuran tersebut tidak diwajibkan namun keikhlasan saja mengingat haltersebut untuk kepentingan umat beribadah. Trima Kasih.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
23 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP88088345.html,KABUPATEN BREBES,"Kpd Bpk.Gubernur Yth :Mohon ad ketetapan dri phk terkait tentang potongan/tata cara jual-beli emas di kmpg saya,Tegal-Slawi-Brebes.karena ketentuan yg ada sekarang sangat merugikan rakyat kecil.mhn di tertibkan pak",Selesai,"Senin, 01 September 2014 - 10:55 WIB",DINAS PERINDUSTRIAN DAN PERDAGANGAN,Tidak ada keterangan
24 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP95728342.html,KABUPATEN BREBES,Pak gubernur untuk pengurusan e-ktp sangat lm sudah mau satu tahun belum jadi.payah..untuk di kecamatan bumiayu kab.brebes.atas nama ecip suwandito.,Selesai,"Senin, 25 Agustus 2014 - 11:08 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami selesaikan. Terima Kasih
24 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP33192233.html,KABUPATEN BREBES,Ass..tolong kami pak gubernur..jalur tengah bumiayu-ajibarang dikuasai truk besar dan berat smpe macet total kami masyarakat tidak bs beraktifitas anak2 kesulitan brangkat sekolah krn angkot tidak beroperasi blm lg korban jiwa yg tergilas roda truk...tolong kami pak...,Selesai,"Senin, 08 September 2014 - 11:13 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,"Bahwa kemacetan terjadi karena adanya pengalihan rute kendaraan berat ke jalur selatan akibat dari amblesnya jembatan Comal di Kab.Pemalang. pengalihan rute ini merupakan satu-satunya langkah untuk distribusi barang secara nasional yang saat ini sifatnya sementara sambil menunggu jembatan Comal selesai diperbaiki. Berdasarkan Peraturan Dirjen Perhubungan Darat Nomor SK.4156/AJ.401/DRJD/2014 tentang Pengaturan Lalu Lintas Kendaraan Angkutan Barang selama Masa Perbaikan Jembatan Comal di Kab.Pemalang Prov.Jateng, waktu pengoperasian bagi mobil barang tunggal dengan sumbu lebih dari 2 (dua) pada lintasan atau jalur tersebut adalah dibatasi dari jam 21.00 s/d 05.00 WIB. Pelanggaran terhadap ketentuan tersebut,akan dilakukan penindakan oleh Kepolisian Negara Republik Indonesia."
