"kenapa kab. brebes jalannya tidak pernah beres, selalu berlubang dan bergelombang, iri sama kota tegal yang jalan rayanya menggunakan beton untuk lapisan bawahnya dan baru diaspal, dibrebes cuman asal tambal dan ganti, baru juga seminggu jalan sudah rusak lagi. brebes kayaknya harus ditinjau itu birokrasinya, jalan lingkar brebes-tegal saja dari aku berumur 12-22 tahun masih belum bisa digunakan.","dinas pekerjaan umum bina marga cipta karya","","","",""
"soal us sd/mi mapel bahasa jawa tahun 2013/2014 di kab. brebes kurang memperhatikan nilai moral","dinas pendidikan dan kebudayaan","","","",""
"tyh. bpk gubernur jawa tengah. saya pns di kab. brebes sedang mengambil studi magister di mpwk itb-kobe university (double degree), saya mencoba mencari data apbd jawa tengah secara online tapi tidak tersedia di portal pemprov. mohon bantuannya karena saya posisi di jepang sedang menyusun tesis. terima kasih","badan pengelola keuangan dan aset daerah","","","",""
"pak gubernur, di kab brebes tepatnya di jl.s.parman gang.i pesanggrahan brebes (rumah paling ujung) ada bandar judi togel yang sangat meresahkan masyarakat, kelihatannya banyak bekingnya sehingga sang bandar bisa bebas aktivitas togel nya. tolong diberantas habis sampai akar-akarnya termasuk bekingnya kalau memang ada. terima kasih","kepolisian daerah jawa tengah","","","",""
"bpk gubernur ganjar yth. tolong inspeksi mendadak dilakukan di samsat bumiayu karena banyak pungli-pungli kakap yang professional dari polres brebes. terima kasih. kejadian ini sudah cukup lama, setiap bayar pajak pasti dimintai rp 25 ribu.","badan pengelola pendapatan daerah","","","",""
"pak, saya hidup di brebes selama 7 tahun, tetapi jalan-jalan di brebes belum pernah rusak kayak sungai, apalagi di daerah. sudah banyak makan korban. mohon perhatiannya untuk menegur pejabat daerah.","dinas pekerjaan umum bina marga cipta karya","","","",""
"dear pak gubernur, saya warga linggapura, brebes, mohon kiranya jalur tengah, pejagan-bumiayu-purwokerto ditinjau, warga disana mengeluhkan truck2 besar yang melintas sudah overload, jalan disana kecil pak, hingga akibatnya terjadi kemacetan panjang yg berakibat roda perekonomian penduduk sekitar terganggu, pendidikan terganggu, pelayanan kesehatan terganggu, sudah banyak memakan korban jiwa juga karena kecelakaan yang diakibatkan daya tampung jalan yang sudah tidak wajar, mohon sidaknya segera dan mohon dicarikan jalur alternatif lain agar truck2 tsb tidak menumpuk di jalur desa kami.","dinas pekerjaan umum bina marga cipta karya","","","",""
"salam indonesia jateng, saya ingin menyarankan kepada instansi terkait mengenai dampak jembatan comal di jalur tengah tegal - banyumas, bahwa keadaan jalur tersebut telah mengalami volue kendaraan yang tidak seimbang dengan panjang jalan tersebut sehingga terjadi kemacetan di dua arah dari prupuk (kab. tegal - purwokerto, wangon (bab. banyumas), dari kemacetan daerah tersebut mengakibatkan kebutuhan pokok sehari-hari mengalami kekurangan sehingga banyak pedagang tidak berjualan karena tahu macet, pedagang terjebak kemacetan pada saat berangkat, anak sekolahyang dateng terlambat karena macet dan tidak ada angkutan umum dan masih banyak lain kesulitan yang dialami masyarakat terdampak kemacetan. maka dari itu saya mengusulan untuk kendaraan berat dan panjang tidak melewati rute prupuk (kab. tegal - kab.banyumas) mengingat kendaraan berat bisa merusak jalan ciregol (kab. brebes) yang sebelumnya telah mengalami ""amblas"" agar tidak terulang karena menyebabkan ekonomi lumpuh. kemudian kendaraan panjang jangan melewati jalan tesebut karena banyak tikungan tajam dan menanjak yang harus bergantan, mungkin kemacetan saat ini terjadi karena persimpangan kendaraan panjang dan berat. dan juga pada peta ""lapor gub"" akan saya beri perkiraan yang diharapkan bisa dijadikan pertimbangan untuk mengambil keputusan. terima kasih atas waktu untuk membaca laporan saya, berharap ada tindaklanjut nyata. salam indonesia jateng.","dinas perhubungan","","","",""
"usul terbuka rakyat kab.brebes pada gubernur jateng ganjar pranowo ""darurat tranportasi"" akibat ambles jembatan comal 1. selamatkan zona daerah milik jembatan dari beragam aktifitas eksploitasi material sungai yang akibatkan berubahnya fungsi dan struktur bangunan jembatan 2. selamatkn daerah aliran sungai dan perbaiki pola penambangan yg akibatkan kerusakn ekosistm sungai. 3. stop kebijakan pengadaan truk bertonase tinggi dan sumbu roda banyak untuk angkutan barang dijalan raya. 4. rubah kebijakan pola angkutn barang semula mengunakan truk diganti dengan kereta api sehingga dapat perpanjang umur jalan. 5. jalan raya hanya untuk moda pengangkutn orang/penumpng saja. 6. alokasi anggaran pmbangunan infrastruktur jalan dan jembatan yg lebih besar lagi untk provinsi jawa tengah yg memiliki beban tinggi pengangkutan lintas pulau jawa. 7. stop pengalihan jalur truk dng muatan berat dari pantura ke arah jalur selatan/bumiayu krn tekstur jalan sempit, berkelok, ambles yang berakibat 7 orang korban mati sia-sia bertambah banyak dijalur selatan. 8. stop pengalihan jalur truk muatan berat dari pantura kearah selatan yang berakibat macet total sehingga kegiatan ekonomi rakyat jadi lumpuh.","dinas perhubungan","","","",""
"bumiayu brebes menggugat macet http://youtu.be/8nytwc5coxc","dinas perhubungan","","","",""
