"Message","Status","Department"
"kenapa kab. brebes jalannya tidak pernah beres, selalu berlubang dan bergelombang, iri sama kota tegal yang jalan rayanya menggunakan beton untuk lapisan bawahnya dan baru diaspal, dibrebes cuman asal tambal dan ganti, baru juga seminggu jalan sudah rusak lagi. brebes kayaknya harus ditinjau itu birokrasinya, jalan lingkar brebes-tegal saja dari aku berumur 12-22 tahun masih belum bisa digunakan.","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"Soal US SD/MI mapel Bahasa Jawa tahun 2013/2014 di Kab. Brebes kurang memperhatikan nilai moral","Selesai","DINAS PENDIDIKAN DAN KEBUDAYAAN"
"Tyh. Bpk Gubernur Jawa Tengah. Saya PNS di Kab. Brebes sedang mengambil studi magister di MPWK ITB-Kobe University (Double Degree), saya mencoba mencari data APBD Jawa Tengah secara online tapi tidak tersedia di portal pemprov. Mohon bantuannya karena saya posisi di Jepang sedang menyusun tesis. Terima Kasih","Selesai","BADAN PENGELOLA KEUANGAN DAN ASET DAERAH"
"Pak Gubernur, di Kab Brebes tepatnya di Jl.S.Parman Gang.I Pesanggrahan Brebes (Rumah Paling Ujung) ada Bandar JUDI TOGEL yang sangat meresahkan masyarakat, kelihatannya banyak bekingnya sehingga Sang bandar bisa bebas aktivitas TOGEL nya. Tolong Diberantas Habis sampai akar-akarnya termasuk Bekingnya kalau memang ada. Terima kasih","Selesai","Kepolisian Daerah Jawa Tengah"
"Bpk Gubernur Ganjar Yth. Tolong inspeksi mendadak dilakukan di Samsat Bumiayu karena banyak pungli-pungli kakap yang professional dari Polres Brebes. Terima kasih. Kejadian ini sudah cukup lama, setiap bayar pajak pasti dimintai Rp 25 ribu.","Selesai","BADAN PENGELOLA PENDAPATAN DAERAH"
"Pak, saya hidup di Brebes selama 7 tahun, tetapi jalan-jalan di Brebes belum pernah rusak kayak sungai, apalagi di daerah. Sudah banyak makan korban. Mohon perhatiannya untuk menegur pejabat daerah.","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"dear pak gubernur, saya warga linggapura, brebes, mohon kiranya jalur tengah, pejagan-bumiayu-purwokerto ditinjau, warga disana mengeluhkan truck2 besar yang melintas sudah overload, jalan disana kecil pak, hingga akibatnya terjadi kemacetan panjang yg berakibat roda perekonomian penduduk sekitar terganggu, pendidikan terganggu, pelayanan kesehatan terganggu, sudah banyak memakan korban jiwa juga karena kecelakaan yang diakibatkan daya tampung jalan yang sudah tidak wajar, mohon sidaknya segera dan mohon dicarikan jalur alternatif lain agar truck2 tsb tidak menumpuk di jalur desa kami.","Selesai","DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA"
"Salam INDONESIA Jateng, Saya ingin menyarankan kepada instansi terkait mengenai dampak jembatan COMAL di Jalur Tengah TEGAL - Banyumas, Bahwa keadaan jalur tersebut telah mengalami volue kendaraan yang tidak seimbang dengan panjang jalan tersebut sehingga terjadi kemacetan di dua arah dari Prupuk (Kab. Tegal - Purwokerto, Wangon (Bab. Banyumas), dari kemacetan daerah tersebut mengakibatkan kebutuhan pokok sehari-hari mengalami kekurangan sehingga banyak pedagang tidak berjualan karena tahu macet, pedagang terjebak kemacetan pada saat berangkat, anak sekolahyang dateng terlambat karena macet dan tidak ada angkutan umum dan masih banyak lain kesulitan yang dialami masyarakat terdampak kemacetan. Maka dari itu Saya mengusulan untuk kendaraan berat dan panjang tidak melewati rute Prupuk (Kab. Tegal - Kab.Banyumas) mengingat kendaraan berat bisa merusak jalan CIREGOL (Kab. Brebes) yang sebelumnya telah mengalami ""AMBLAS"" agar tidak terulang karena menyebabkan ekonomi lumpuh. kemudian kendaraan panjang jangan melewati jalan tesebut karena banyak tikungan tajam dan menanjak yang harus bergantan, mungkin kemacetan saat ini terjadi karena persimpangan kendaraan panjang dan berat. dan juga pada peta ""Lapor Gub"" akan saya beri perkiraan yang diharapkan bisa dijadikan pertimbangan untuk mengambil keputusan. Terima kasih atas waktu untuk membaca laporan saya, berharap ada tindaklanjut nyata. Salam Indonesia Jateng.","Selesai","DINAS PERHUBUNGAN"
"USUL TERBUKA RAKYAT KAB.BREBES PADA GUBERNUR JATENG GANJAR PRANOWO ""DARURAT TRANPORTASI"" AKIBAT AMBLES JEMBATAN COMAL 1. Selamatkan Zona Daerah Milik Jembatan dari beragam aktifitas eksploitasi material sungai yang akibatkan berubahnya fungsi dan struktur bangunan jembatan 2. Selamatkn daerah aliran sungai dan perbaiki pola penambangan yg akibatkan kerusakn ekosistm sungai. 3. Stop kebijakan pengadaan truk bertonase tinggi dan sumbu roda banyak untuk angkutan barang dijalan raya. 4. Rubah kebijakan pola angkutn barang semula mengunakan truk diganti dengan kereta api sehingga dapat perpanjang umur jalan. 5. Jalan raya hanya untuk moda pengangkutn orang/penumpng saja. 6. Alokasi Anggaran Pmbangunan infrastruktur jalan dan jembatan yg lebih besar lagi untk Provinsi Jawa Tengah yg memiliki beban tinggi pengangkutan lintas pulau jawa. 7. Stop pengalihan jalur truk dng muatan berat dari pantura ke arah jalur selatan/bumiayu krn tekstur jalan sempit, berkelok, ambles yang berakibat 7 orang korban mati sia-sia bertambah banyak dijalur selatan. 8. Stop pengalihan jalur truk muatan berat dari pantura kearah selatan yang berakibat macet total sehingga kegiatan ekonomi rakyat jadi lumpuh.","Selesai","DINAS PERHUBUNGAN"
"Bumiayu brebes menggugat Macet http://youtu.be/8NYTWc5coXc","Selesai","DINAS PERHUBUNGAN"
