Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
20 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP86409015.html,KABUPATEN DEMAK,"Mohon bantuannya untuk menormalkan sistem di lpse kabupaten demak, dimana malam ini tgl 20 Juni 2014 sammpai dengan pengaduan ini kami kirimkan belum bisa upload dokumen pewawaran, dimana tahun 2013 kemaren kami juga mencoba mengikuti lelang di lpse kabupaten demak, tetapi tidak bisa upload atau gagal. demikian pengaduan ini atas perhatiannya diucapkan terima kasih. (file gagal upload terlampir)",Selesai,"Senin, 23 Maret 2020 - 20:42 WIB",Kabupaten Demak,telah lalu
15 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP93646340.html,KABUPATEN DEMAK,Pak Gub mohon bantuannya untuk tunjangan guru pns kabupaten demak bulan november dan desember 2012 sampai sekarang tidak cair. Agar Kadinas Pendidikan lebih memperhatikan nasib guru-gurunya,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
24 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP38807630.html,KABUPATEN DEMAK,Assalamuialaikum Memberitahukan pada Bapak Gubernur bahwa tanggul sungai SWD I di desa Kedungmutih kecamatan Wedung kabupaten Demak kondisinya memprihatinkan selain ambles juga ada satu titik jebol sepanjang 6 meter mohon segera diperbaiki Wassalamu'alaikum Wr. Wb,Selesai,"Senin, 28 Juli 2014 - 20:50 WIB",DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG,Setelah melakukan pengecekan dilapangan tanggal 28 Juli 2014 Jam 10.30 WIB kerusakan dan jebolan SWD I Desa Banyuputih Kec. Wedung Kab. Demak penanganannya dengan menutup tanggul yang jebol dengan tanah urug mendatangkan dari Kecamatan Mayong dengan jarak sekitar 30 km dari lokasi dan masih langsir 1 km didukung dengan tiang pancang dari bambu petung serta sesek bambu. Rencana pelaksanaan setalah lebaran dan membutuhkan waktu selama 2 minggu oleh BBWS Pemali Juana. Besok akan didrop bambu untuk pancang dan hari rabu tanggal 30 Juli 2014 diupayakan dimulai pengerjaannya. Demikian atas perhatiannya kami sampaikan terima kasih
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP19834519.html,KABUPATEN DEMAK,"30. Yth Bpk Gubernur Jateng, katanya sekolah negeri tingkat SMP itu gratis. Tapi kenapa SMP negeri di Demak masih ada pungutan SPI sampai Rp 1 juta per tahun per siswa dengan besaran yang berbeda tiap kelas. Alasannya adalah karena SK Bupati memperbolehkan memungut biaya sebagai bantuan sukarela. Tapi jika tidak bayar, murid diancam tidak dapat kelas dan bangku tempat duduk. Biaya SPI tersebut rinciannya adalah uang untuk membangun gedung, mushola, IKKS, MKKS dll dengan alasan uang BOS tidak mencukupi. Sedang kepala sekolah merasa ditekan atasannya segera membangun untuk kemajuan. Kalau mau bukti, saya punya buktinya, dan pak gubernur bisa mengundang saya untuk dating ke kantor. Untuk apa UU sekolah gratis dibuat? Hanya untuk menipu rakyat agar merasa terhibur? Apakah di Indonesia ini sudah tidak ada lagi pemimpin yang taat hokum, dan mengayomi rakyatnya? Lalu di mana keimanan para pemimpin yang mengaku agamanya Islam? Semoga Indonesia sejahtera terutama Jateng. Amin. (Purjiyanto, Demak)",Selesai,"Selasa, 23 Februari 2021 - 07:32 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,Terima kasih
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP01957869.html,KABUPATEN DEMAK,"Kepada Yth Ganjar, tolong dam truk padas dan truk pasir operasi di atas jam 8 karena tambah macet dan arogan nyopire di Pasar Mranggen, Ganepo, Pucanggading, Penggaron, Karangawen. Trims.",Selesai,"Kamis, 08 Januari 2015 - 15:20 WIB",DINAS PERHUBUNGAN,perlu kami beritahukan bahwa laporan saudara akan kami koordinasikan dengan Polrestabes Semarang. Terima kasih
05 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP90000004.html,KABUPATEN DEMAK,"assalamualaikum pak gubernur. saya karyawan pt.delta dunia sandang tekstil jl. raya semarang-demak km 14 tambakroto, sayung, demak. saya ingin lapor masalah ketidak adilan disana pak. sudah dari hari jum'at 1 agustus 2014 kami berdemo, menuntut hak kami. kami diberhentikan per tanggal 27 Juli 2014 dan disuruh mengumpulkan lamaran kembali pada tanggal 1 agustus 2014, kami rata-rata sudah bekerja selama 3 sampai 4 tahun disana. mohon ditindak lanjutkan laporan saya pak. terimakasih",Selesai,"Senin, 11 Agustus 2014 - 12:34 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami selesaikan.
08 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP83164064.html,KABUPATEN DEMAK,"pak ganjar,tolong infrastruktur jalan dan irigasi persawahan di DEMAK dipondasi/dibetonisasi kayak dijogja...semua selokan dijogja dibetonisasi.disitulah letak keistimewaan yogyakarta,klo perlu jalan semarang-demak diperlebar,dibuat kayak ringroad jogja.salam.........sukses terus pak ganjar,",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
30 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP73722468.html,KABUPATEN DEMAK,"Mohon dibongkar, SARANG SETAN Yang BISA MEMBUAT BEJAT MORAL ANAK-ANAK JADI AHLI NERAKA, (disepanjang jalan raya lingkar Demak).",Selesai,"Kamis, 10 Juni 2021 - 09:45 WIB",Kepolisian Daerah Jawa Tengah,file identitas pelapor tidak jelas dan tidak bisa dihubungi
06 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP84082648.html,KABUPATEN DEMAK,"Pak bos Ganjar,,, saya mau lapor,, penambangan padas di perbatasan semarang - demak tepatnya didekat daerah perumahan pucang gading kok semakin ngawur saja... setelah dibangun jembatan tembusan pucang gading ke klipang... monggo di persani pak bos Ganjar.. terima kasih",Selesai,"Rabu, 10 September 2014 - 13:31 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Terima kasih Sdr. Ervan, perlu diketahui pada tgl 4/9 hari Kamis kemarin Pak Gubernur beserta rombongan telah melakukan sidak di lokasi tambang tanah urug Mangunharjo untuk mengetahui secara langsung kondisi tersebut berdasarkan laporan masyarakat. Terhadap laporan masyarakat yang resah adanya kerusakan lingkungan Pemprov Jateng telah meminta PemKot Semarang untuk mengeluarkan aturan tegas terkait kegiatan penambangan."
06 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP73341332.html,KABUPATEN DEMAK,"Pak bos Ganjar,,, saya mau lapor,, penambangan padas di perbatasan semarang - demak tepatnya didekat daerah perumahan pucang gading kok semakin ngawur saja... setelah dibangun jembatan tembusan pucang gading ke klipang... monggo di persani pak bos Ganjar.. terima kasih",Selesai,"Senin, 15 September 2014 - 16:13 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Terima kasih Sdr. Ervan, perlu diketahui pada tgl 4/9 hari Kamis kemarin Pak Gubernur beserta rombongan telah melakukan sidak di lokasi tambang tanah urug Mangunharjo untuk mengetahui secara langsung kondisi tersebut berdasarkan laporan masyarakat."
12 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP97188933.html,KABUPATEN DEMAK,mohon informasi apakah untuk permohonan legalisir KTP di kecamatan dikenai biaya administrasi?karena saya meminta legalisir KTP di kecamatan mranggen kabupaten demak dipungut biaya Rp. 5.000 dan diminta mengambil di rumah pegawai kecamatan. terimakasih.,Selesai,"Selasa, 30 September 2014 - 08:47 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami selesaikan. Terima Kasih
