Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
30 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP58915341.html,KABUPATEN GROBOGAN,Pelayan publik di kecamatan Tegowanu kurang care dengan penduduk yg akan mengurus KTP. KTP hari ini tdk bisa diproses berkenaan jaringan rusak dan pegawai disana tdk bisa memberi kepastian kapan bisa dilakukan pengurusan KTP lg.,Selesai,"Rabu, 04 Juni 2014 - 09:35 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL","Laporan telah kami selesaikan, terima kasih."
09 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP61606502.html,KABUPATEN GROBOGAN,Selamat pagi Bapak gubernur.bisa kah jalan dari cepu-purwodadi diperlebar lagi pak?soalnya jalanan semakin ramai dan makin kesini makin rusak....,Selesai,"Rabu, 08 Maret 2023 - 15:14 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Kami ucapkan terima kasih atas laporannya Memang betul bahwa ruas Cepu  Purwodadi, baik yang melewati Blora atau Doplang sangat potensial untuk dikembangkan sebagai jalan alternatif ke arah Jawa Timur. Saat sekarang telah diupayakan lebar jalan menjadi 6-7 m dengan konstruksi yang dominan adalah perkerasan beton mengingat kondisi tanah yang ekspansive. Mohon bersabar, kami pastikan bahwa peningkatan jalan baik konstruksi dan kapasitas akan terus berlanjut"
10 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP20233467.html,KABUPATEN GROBOGAN,"Malem pak, baru saja mengetahui kalo ada pengaduan online. Begini pak tolong di periksa dalam pengadaan proyek pembangunan Pasar baru yang ada di Desa Gubug, Kec Gubug Kab Grobogan setelah terjadi 2 X kebakaran yang tidak wajar. dan Kasus Kebakaran Pasar yang terjadi 2 X (Sepertinya ada Oknum-oknum yg bertanggung jawab melakukan pembakaran tersebut) sampai saat ini penyelidikannya dari kepolisian setempat belum ada keadilan yang terungkap. makasih",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
12 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP65658025.html,KABUPATEN GROBOGAN,"Assalamualaikum Wr.Wb pak Gub, kami dari KUB Konveksi Annawal Kelurahan Kunden RT 01 RW 03 Kecamatan Wirosari Kabupaten Grobogan butuh bantuan mesin jahit dan mesin obras, sudah pernah mengajukan proposal kepada Bpk Gubernur dan Bapak Bupati Grobogan lewat Dinas Perindustrian Kab. Grobogan tetapi belum ada realisasi, banyak pesanan dan warga sekitar banyak yang ingin bergabung (menciptakan lapangan kerja baru). sebagai catatan kami mengajukan proposal atas inisiatif kami tidak lewat aspirasi dewan) Trima Kasih atas perhatiannya.",Selesai,"Kamis, 19 Juni 2014 - 07:53 WIB",DINAS PERINDUSTRIAN DAN PERDAGANGAN,Tidak ada keterangan
13 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP42698875.html,KABUPATEN GROBOGAN,"CERITA ASRAH BATIN - BUDAYA INDONESIA Cerita Asrah Batin Dua Desa Seperti halnya saudara kandung, seorang kakak tidak boleh menikah dengan adiknya. Begitu juga hubungan kedua desa bersaudara, Ngombak dan Karanglangu. Tidak boleh ada pernikahan antara penduduk kedua desa tersebut. “Karanglangu itu kakak dan Ngombak itu adiknya,”Kepala Desa Karanglangu. Karanglangu dan Ngombak, keduanya terletak di daerah yang sama yaitu Kecamatan Kedungjati, Kabupaten Grobogan. Bentangan sungai besar Kedungmiri yang membuat jarak antara keduanya. Setiap dua tahun sekali sang kakak selalu mengunjungi adiknya. Peristiwa ini yang dinamakan Upacara Asrah Batin. Dalam bahasa Indonesia berarti menyerahkan atau memasrahkan perasaan. A. Tamsir A., Ma. Pd yang dipercaya sebagai pemimpin Upacara Asrah Batin menceritakan bahwa hubungan kedua desa ini sudah ada sejak adanya desa tersebut. “Ceritanya bermula dari janda yang sering dikenal dengan nama Mbok Randha Dhadhapan. Dipanggil begitu karena dia tinggal di Desa Dhadhapan. Anak laki-lakinya bernama Kedhana dan anak perempuannya bernama Kedhini”, ungkap guru Sekolah Dasar ini layaknya mendongeng. Suatu hari Kedhana dan Kedhini pergi dari rumah karena dimarahi oleh ibunya. Ketika dalam perjalanan mereka terpisah satu sama lain. Kedhana menetap di Desa Karanglangu dengan nama Raden Bagus Sutejo dan Kedhini menetap di Desa Ngombak dengan nama Raden Ayu Mursiyah. Bertahun-tahun kemudian, Sutejo bertemu kembali dengan Mursiyah dan tidak saling mengenal satu sama lain. Tak diduga mereka saling jatuh cinta, bahkan serius ingin melanjutkan hubungan ke jenjang pernikahan. “Nah, sebelum menikah, baru tahulah mereka satu sama lain kalau mereka kakak beradik. Ada bekas luka di pelipis sebelah kiri Raden Bagus Sutejo. Luka yang mengingatkan keduanya tentang kejadian sebelum mereka pergi dari rumah yaitu luka bekas dipukul ibunya,” sambil menunjukan makam Raden Ayu Mursiyah, Sugiarto, sang juru kunci menceritakan. Pertemuan ini yang memupuskan cinta kasih dan rencana pernikahan mereka. “Setelah diceritakan semua kejadian yang dialami masing-masing, merekapun terharu dan menangis. Tangisan ini merupakan tangis kebahagiaan karena dapat bertemu lagi antara kakan dan adik,” jelas Tamsir dalam makalahnya “Cerita Asrah Batin”. Dalam makalahnya, Tamsir mengungkapkan bahwa untuk menjaga hubungan persaudaraannya, Kedhana alias Raden Bagus Sutejo dan dan Kedini alias Raden Ayu Mursiyah membuat suatu perjanjian. Setiap dua panenan sekali sang kakak akan mengunjungi adiknya Ngombak bersama sanak kadang, tetangga serta masyarakat Desa Karanglangu. Dan si adik beserta seluruh masyarakat Ngombak akan menjemputnya di tepi Sungai Kedungmiri, tempat mereka bertemu kembali. Setelah Sutejo dan Mursiyah meninggal, upacara ini tetap dilaksanakan dengan pemerannya adalah Kepala Desa Karanglangu dan Kepala Desa Ngombak. Kepala Desa Karanglangu datang dengan naik kuda diiringi oleh warga masyarakatnya menempuh perjalanan kurang lebih tujuh kilometer dan menyeberangi sungai. Dengan membawa makanan kesukaan adiknya yaitu minuman dari air tape yang disebut Badhek. Sedangkan sang adik menyiapkan sambutan dengan mengadakan “Beksan Langen Tayub” dengan diiringi “Gendhing Eling-eling Boyong” serta makanan kesukaan kakaknya Bothok Ikan Mangut. Selama bertahun-tahun masyarakat Karanglangu dan Ngombak melaksanakan tradisi Asrah Batin ini. Kepercayaan warga setempat, jika melaksanakan upacara ini akan mendapat keberuntungan dan jika tidak dilaksanakan akan terjadi bencana. “Ada kejadian seorang pendatang tenggelam di sungai yang dalamnya hanya sebatas perut, apa ini wajar? Setelah di selidiki tertanya sesajen yang gunakan dalam upacara Asrah Batin kurang lengkap,” terang kakek juru kunci berambut putih itu. Upacara tersebut dilaksanakan 2tahun sekali yaitu pada tahun genap di bulan Ruwah hari Minggu Kliwon Melestarikan budaya bangsa !!!",Selesai,"Minggu, 15 Juni 2014 - 19:39 WIB","DINAS KEPEMUDAAN, OLAHRAGA DAN PARIWISATA","Tradisi Asrah Batin tersebut mengingatkan kita sebagai bangsa yang bersaudara, saling mengasihi dan menguatkan tali persuadaraan. Tradisi Asrah Batin yang dilaksanakan oleh warga Desa Karanglangu dan Ngombak, Kec. Kedung Jati, Kab.Grobogan merupakan wujud Nguri-uri Budaya. Penerapan kegiatan pariwisata berbasis budaya. Kepariwisataan pada hakekatnya memperkuat proses konservasi budaya. Dinas Kebudayaan dan Pariwisata Provinsi Jawa Tengah telah memasukkan agenda Tradisi Asrah Batin ini ke dalam Calender of Event Jawa Tengah 2014, selain itu juga kami publikasikan melalui website Dinas. Terimakasih"
30 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP51054132.html,KABUPATEN GROBOGAN,Jalan Rusak Parah di Jalur Pati Purwodadi. Tepatnya mulai perempatan kalianyar sampai desa panjunan pati. mohon segera di perbaiki. jalannya sudah kayak sungai.........tolong pak gubernur segera di tindak lanjuti.,Selesai,"Kamis, 09 Maret 2023 - 11:30 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya sdr Chandra Untuk ruas jalan Pati - Sukolilo - Grobogan/Purwodadi adalah jalan provinsi yang saat sekarang secara berangsur-angsur dilaksanakan kegiatan peningkatan jalan dengan perkerasan beton pada lokasi yang sering terendam air. dan pada lokasi tersebut akan dilaksanakan pelapisan ulang setelah lebaran sepanjang kurang lebih 800 M, Mohon bersabar"
01 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP15889499.html,KABUPATEN GROBOGAN,"Berapa biaya nikah untuk desa lajer,kec. penawangan ,kab. grobogan. karena ada beberapa warga yang ditarik sampai 900.000 . mohon di cek pak , karena ini sangat membebani bagi kami., terima kasih",Selesai,"Senin, 04 Agustus 2014 - 12:22 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami tindaklanjuti
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP66606913.html,KABUPATEN GROBOGAN,"28. Pak Gub yang terhormat, bagaimana di Grobogan khususnya Dinas Pendidikan, banyak guru-guru wiyata yang belum semestinya sertifikasi dan bahkan belum S1 pendidikan sudah ikut sertifikasi dan saya bisa tunjukkan semua bukti-buktinya. Tolong Pak Gub cek kebenarannya agar tercipta aparatur yang bersih dari KKN, disinyalir banyak korupsi, dll. Terima kasih.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP54643926.html,KABUPATEN GROBOGAN,"Pak Ganjar, sungai Jragung yang melewati Desa Kebonagung telah menghabiskan 1 mushola dan 5 rumah penduduk. Tanahnya warga yang HM telah menjadi sungai yang aslinya tanah sungai malah jadi daratan ditanami tanaman. Warga Kebonagung telah mengajukan proposal disertai fotokopi KTP ke PSDA Provinsi sudah ada 5 tahun tidak ditanggapi. Tolong pak Ganjar usulan warga direspons. (Kaswan, Ketua BPD Kebonagung, Tegowanu, Grobogan)",Selesai,"Senin, 18 Agustus 2014 - 09:23 WIB",DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG,Hasil Koordinasi dengan BBWS Pemali Juana Kegiatan Perkuatan Tebing Sungai Jragung di Desa Kebonagung Kec. Tegowanu Kab. Grobogan di Hulu Jembatan KA jalur Semarang-Solo akan dikerjakan pada Tahun 2014 dan akan dikoordinasikan dengan desa setempat. Review Desain Sistem Sungai Jragung akan diusulkan BBWS Pemali Juana pada Tahun 2015. Terima Kasih
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP36280739.html,KABUPATEN GROBOGAN,Yth Pak Gub Ganjar Pranowo. Pak mohon jalan di Kab Grobogan khususnya di Kec Karangrayung bagian selatan tolong diperbaiki pak. Masak dari saya kecil sampai hampir pensiun kok ndak pernah ada jalan baik. Benar-benar rusak berat pak. Tolong diperhatikan ya pak karena itu juga wilayah Jateng. Matur suwun.,Selesai,"Kamis, 09 Maret 2023 - 11:36 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya saudara laporan dari rubrik tanya saat ini untuk jalan prov. di kab. grobogan dianggarkan -+ Rp. 105.122 Milyar dengan prioritas penanganan dengan perkerasan beton. untuk jalan kabupaten, dapat diusulkan ke kab. grobogan dengan dana APBD kab, sedangkan dana provinsi melalui mekanisme bantuan keuangan kepada kab/kota."
