Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
26 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP75269605.html,KABUPATEN KARANGANYAR,"assalamu'alaikum wr wb bapak gubernur. dengan hormat , saya ingin memberitahukan bahwa jalan alternatif beton kecamatan karanganyar demak menuju kecamatan godong purwadadi/grobogan rusak parah dan berlubang. dan banyak disalah gunakan oleh para supir truck besar untuk mengangkut pasir dan barang barang berat , sehingga banyak warga yang terganggu dan menyebabkan jalan rusak retak2 dan berlubang. mohon bapak gubernur untuk menindak lanjuti dan memperbaiki jalan tersebut. sekian dan terima kasih bapak gubernur. wassalamu'alaikum wr wb . hormat saya, khalid maghfur :)",Selesai,"Kamis, 09 Maret 2023 - 11:29 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya Bapak Khalid Maghfur Memang perlu kesadaran bersama dalam menangani masalah infrastruktur dan kelebihan muatan. Secara umum penanganan jalan di Kab. Demak dan Grobogan cocok dengan konstruksi beton, namun tetap harus diatur batas-batas muatannya (yaitu maksimal 8 ton/ sumbu kendaraan). Untuk jalan provinsi Demak - Godong kondisi saat ini cukup baik sedangkan jalan-jalan kabupaten sebagai jalur alternarif merupakan kewenangan kabupaten terkait. kami akan koordinasikan penanganannya di instansi teknis terkait di kab. demak dan grobogan"
11 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP99247803.html,KABUPATEN KARANGANYAR,"PAK GUBERNUR,, DESA KAMI GAK AMAN PAK, DESA TOHUDAN KECAMATAN COLOMADU KABUPATEN KARANGANYAR,,, PIHAK BERWAJIB DAN INSTANSI TERKAIT SUDAH TAU PELAKU TAPI TDK DITANGKAP,, WARGA MERASA DIINTIMIDASI TRUS PAK",Selesai,"Kamis, 21 Oktober 2021 - 11:19 WIB",Kepolisian Daerah Jawa Tengah,sudah ditindaklanjuti  
25 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP65110521.html,KABUPATEN KARANGANYAR,"Saya sudah 4x datang untk mengurus surat tanah di bpn kab karang anyar. Dan selalu datang jam 8 pagi pikir saya biar dapat antrian pagi dan slesai. Tapi apa yg terjadi jam 8:00 kantor bpn masih sepi. Dan pukul 8:30 pegawai lagi pada datang parkir kendaraan pada sarapan di warung2 sebelah. Jam 9:00 pada prepare. Ini kantor apa ? Jam segini pada saenaknya sendiri. Kalian kerja untk rakyat dan di gaji rakyat. Sungguh2 memalukan kantor bpn kab karanganyar. Sudah 4x saya mengalami seperti ini disini, berarti pegawainya korupsi waktu semua . Dan sudah sangat mentradisi sistim kerja lemot dan uud (ujung ujung duit ) dan saya sangat malu di ejek teman saya. Dia bilang pantesan negara ini gak maju pegawainya pada korupsi waktu. Apalagi teman saya salah satu wartawan BBC news. Mohon untk Bapak Gubenur diadakan sidak pagi di kantor BPN kab karanganyar. Dari pada berita ini masuk di bbc news untk meliput berita yg menarik ini. Trimakasih.",Selesai,"Rabu, 10 September 2014 - 08:54 WIB",INSPEKTORAT,Inspektorat Provinsi Jawa Tengah telah melimpahkan surat kepada Badan Pertanahan Nasional Kabupaten Karanganyar dengan surat nomor 700/2517/1.1/2014 tanggal 5 September 2014 dan Badan Pertanahan Nasional Kabupaten Karanganyar telah mengirimkan surat balasan dengan nomor 816/33.13-100/IX/2014 tanggal 12 September 2014 dengan isi bahwa dalam pelayanan kepada masyarakat telah melaksanakan sesuai dengan SOP yang berlaku sedangkan jam kerja kantor Pertanahan telah sesuai dengan surat edaran Kepala Kantor Wilayah Badan Pertanahan Nasional Provinsi Jawa Tengah dan pada tanggal 3 Agustus 2014 Kantor Pertanahan Kabupaten Karanganyar sedang dilaksanakan pekerjaan pembangunan gedung arsip yang mengakibatkan kantin yang ada sementara ikut terbongkar sehingga ada beberapa pegawai  yang makan pagi ditempat lain yang letaknya tidak jauh dari kantor.  
07 Nov 2014,https://laporgub.jatengprov.go.id/detail/LGWP27763258.html,KABUPATEN KARANGANYAR,"semangat pagi pak Gub...pada proses membuat sertipikat tanah dari Letter C Desa Kedawung Kecamatan Jumapolo Kabupaten Karanganyar sampai menjadi Sertipikat, ada warga yang diminta menyerahkan sejumlah uang kepada oknum pejabat di kantor Kecamatan sebab menurut oknum pejabat tersebut Camat tidak berkenan memberikan tanda tangan pada dokumen jika warga tidak serahkan uang sesuai yang diminta, lalu sebagai warga apa yang harus saya lakukan dengan kasus semacam ini pak?",Selesai,"Senin, 01 Juni 2015 - 08:58 WIB",INSPEKTORAT,Telah ditindaklanjuti dengan melakukan klarifikasi oleh Inspektorat Kab.Karanganyar  No. 700/081/2015 tgl 16 Februari 2015  terdapat kesimpulan bahwa permintaan uang sesuai ketentuan dan sudah menjadi kewajiban pemohon sertifikat yang harus dipenuhi agar proses pensertifikatan bisa berjalan serta surat keterangan dari camat Jumapolo terkait  besaran biaya pensertifikatan tanah terima kasih.
06 Dec 2014,https://laporgub.jatengprov.go.id/detail/LGWP48306966.html,KABUPATEN KARANGANYAR,"Pelayanan samsat Kabupaten Karanganyar, mau mutasi masuk dipersulit, kendaraan harus hadir untuk cek fisik, padahal sudah ada bantuan cek fisik dari samsat jabar yang sah. Masak sesama samsat tidak saling percaya. Mau bayar pajak dipersulit, telat bayar pajak didenda, kalo tidak bayar pajak... ??!",Selesai,"Kamis, 18 Desember 2014 - 08:56 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Menindaklanjuti aduan Sdr. Eko Saputro, UP3AD Kab. Karanganyar telah melakukan koordinasi dengan Satlantas Polres Karanganyar dengan hasil sbb (terlampir)"
02 Jan 2015,https://laporgub.jatengprov.go.id/detail/LGWP75037776.html,KABUPATEN KARANGANYAR,"jalan segitiga dekat KPP Pratama karanganyar kurang penerangan. Karna kondisinya gelap nggak karuan, banyak anak muda yang mesum di situ, apalagi kalau pas malam mingu atau libur hari besar. Ini beneran banyak & nggak tanggung-tanggung... Mohon pemerintah bertindak tegas!",Selesai,"Jumat, 30 Januari 2015 - 10:46 WIB",DINAS PERHUBUNGAN,Terimakasih atas laporan yang disampaikan;
19 Jan 2015,https://laporgub.jatengprov.go.id/detail/LGWP00654903.html,KABUPATEN KARANGANYAR,"assalamualaikum wr wb bapak gubenur ganjar pranowo. dengan hormat. saya khalid maghfur 23 tahun karanganyar demak. ingin minta bantuan bapak gubernur untuk jalan penyabrangan lalu lintas karanganyar demak - kudus dan jalan alternatif karanganyar demak - godong purwodadi agar diberikan lampu penyebrangan bapak gubernur. karena setelah perbaikan jalan raya lampu penyeberangan / hati hati tidak ada sehingga banyak terjadi kecelakaan lalu lintas yang banyak menyebabkan pengendara luka berat bahkan meninggal dunia di tempat. karena jalan ini jalan ramai bapak gubernur karena ada pasar karanganyar dan sekolah mts , aliyah dkk sehingga arus lalu lintas kacau balau bapak gubernur. saya mohon bapak gubernur ganjar pranowo membantu kami warga karangayar demak. kami sudah bosan melihat kecelakaan lalu lintas setiap hari baik ada yang luka ringan , berat bahkan ada yang meninggal dunia bapak. sekian dari saya atas bantuan bapak gubernur ganjar pranowo saya khalid maghfur mengucapkan terima kasih. wassalamualaikum wr wb. hormat saya, khalid maghfur",Selesai,"Selasa, 27 Januari 2015 - 13:43 WIB",DINAS PERHUBUNGAN,"Terima kasih atas masukannya, untuk karanganyar Demak-Kudus merupakan jalan nasional, sehingga informasi ini akan kami teruskan ke Satuan Kerja LLAJ Jawa Tengah Kementerian Perhubungan, adapun jalan Alternatif Demak - Godong Purwodadi akan kami Inventarisasi kebutuhannya dan akan dimasukkan sebagai prioritas pemasangannya."
01 Apr 2015,https://laporgub.jatengprov.go.id/detail/LGWP68524776.html,KABUPATEN KARANGANYAR,"DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK BERDUKA...... SUDAH JATUH TERTIMPA TANGGA PULA ....KONDISI INILAH YANG SAAT NI DIALAMI WARGA DAN SELURUH PERANGKAT DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR DEMAK LANTARAN MENUNTUT KEADILAN ATAS KEBERADAAN USAHA PENJEMURAN BULU UNGGAS MILIK UD BAROKAH MUNZAKARIA,IMRON,MUCHOFIFIN,WADI SUKARJO YANG MENIMBULKAN BAU BUSUK DINILAI SANGAT MENCEMARI LINGKUNGAN,MENGGANGGU KENYAMANAN,KEBERSIHAN LINGKUNGAN,SERTA KERESAHAN WARGA DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK SELAMA BERTAHUN TAHUN. KELUHAN MASYARAKAT WARGA DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK INI SEBENARNYA SUDAH SEJAK TAHUN 2011,TEGURAN LISAN MAUPUN TERTULIS YANG DILAYANGKAN KEPADA PEMILIK USAHA PENJEMURAN BULU UNGAS YAITU SAUDARA MUNZAKARIA,IMRON,MUSCOFIFIN,MUNTAHA,WADI SUKARJO SUDAH TIDAK TERHITUNG LAGI JUMLAHNYA. SEDIKITNYA TIGA KALI PEMILIK USAHA TERSEBUT MENANDATANGANI KESEPAKATAN DIATAS MATERAI TERKAIT KESANGGUPAN MENGHILANGKAN BAU BUSUK DAMPAK DARI USAHA PENJEMURAN BULU UNGGAS,DIBUAT PADA TANGGAL 2 MEI 2011 DAN 25 FEBRUARI 2014,16 FEBRUARI 2015.NAMUN KESEPAKATAN TERSEBUT DILANGGAR SAUDARA MUNZAKARIA CS,BAHKAN PENUTUPAN USAHA PENJEMURAN BULU UNGGAS TELAH DI EKSEKUSI OLEH TIM YUSTISI SATPOL PP KABUPATEN DEMAK,DPRD KABUPATEN DEMAK,KODIM DEMAK,POLRES DEMAK,KANTOR LINGKUNGAN HIDUP KABUPATEN DEMAK,KORAMIL KECAMATAN KARANGANYAR,POLSEK KECAMATAN KARANGANYAR, ,MUSPIKA KARANGANYAR PADA TANGGAL 16 FEBRUARI 2015 DAN DIBANTU WARGA TIDAK MEMBUAT JERA PEMILIK USAHA TERSEBUT. SUDAH LEBIH 4 MINGGU INI PEMILIK USAHA PENJEMURAN BULU UNGGAS KEMBALI MELAKUKAN AKTIFITAS PENJEMURAN BULU UNGGAS DIWILAYAH DESA NGEMPLIK WETAN DENGAN LAHAN AREAL PENJEMURAN BULU UNGGAS YANG LEBIH LUAS ,BAHKAN PEMILIK USAHA PENJEMURAN BULU UNGGAS MEMBELI SAWAH TANAH BASAH DIURUG DAN MENGALIH FUNGSIKAN LAHAN PERTANIAN TERSEBUT SEBAGAI LAHAN PENJEMURAN BULU UNGGAS TANPA SEIZIN DARI PEMERINTAH KABUPATEN DEMAK,SAWAH TERSEBUT ITU TEPAT BERJARAK 50 METER DARI MADRASAH DINIYYAH IBTIDAIYAH MAMBA’UL ULUM DAN DALAM PEMUKIMAN DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK YANG BERJARAK 100 METER DARI SDN NEGERI NGEMPLIK WETAN,PIHAK MADRASAH MAMBA’UL ULUM MENGELUH AKIBAT BAU BUSUK BANGKAI YANG MENYENGAT DARI USAHA PENJEMURAN BULU UNGGAS TERSEBUT SEHINGGA MENGGANGGU KONSENTRASI KEGIATAN PROSES KEGIATAN BELAJAR MENGAJAR. BAHKAN SELURUH PERANGKAT DESA DAN WARGA KAMI DILAPORKAN KE POLRES DEMAK ATAS TINDAKAN PEMBAKARAN DAN PENGRUSAKAN.PADAHAL YANG MEREKA BAKAR ADALAH SAMPAH,KOTORAN BULU UNGGAS YANG BERBAU BUSUK.KALAU ITU SALAH SEMESTINYA PARA ANGGOTA KEAMANAN DARI POLRES DEMAK,KODIM DEMAK,SATPOL PP MENCEGAH ATAS TINDAKAN ITU. BEBERAPA PERANGKAT DESA YANG SUDAH MENERIMA PANGGILAN DARI POLRES DEMAK MENGATAKAN,PEMANGGILAN TERSEBUT SEDIKITNYA ADA 25 WARGA YANG AKAN MENDAPAT PANGGILAN DARI POLRES DEMAK SEHINGGA MEMBUAT SELURUH WARGA DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK RESAH,DAN KETAKUTAN.PADAHAL MEREKA SUDAH MENDERITA SELAMA BERTAHUN TAHUN AKIBAT BAU BUSUK DAMPAK DARI USAHA PENJEMURAN BULU UNGGAS DAN MEMPERJUANGKAN DAN MENUNTUT KEADILAN.MEREKA SEMUA ADALAH MANUSIA MEMPUNYAI HAK ASASI MANUSIA DASAR YANG MEMBUTUHKAN KENYAMANAN DIDALAM KEHIDUPAN SEHARI HARI.BAHKAN BIROKRASI BERJENJANG MULAI TINGKAT PEMERINTAH DESA,PEMERINTAH KECAMATAN KARANGANYAR,PEMERINTAH KABUPATEN DEMAK,DPRD KABUPATEN DEMAK JUGA TELAH DITEMPUH GUNA MENCARI KEADILAN.ATAS KONDISI YANG SEDANG TERJADI DIWILAYAH DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK DENGAN INI KAMI SELURUH WARGA DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK MEMOHON KEPADA PARA BAPAK GUBERNUR JAWA TENGAH UNTUK MEMBANTU KEPADA PEMERINTAH DEMAK DAN INSTANSI INSTANSI TERKAIT UNTUK MEMBANTU PEMECAHAN MASALAH YANG SEDANG TERJADI DI WILAYAH DESA KAMI ,SEBAB IZIN SIUP DAN TDP YANG DIMILIKI PENGUSAHA PENJEMURAN BULU UNGGAS SUDAH DINYATAKAN PALSU OLEH INSTANSI TERKAIT. ATAS NAMA SELURUH WARGA DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK",Selesai,"Rabu, 14 Juli 2021 - 10:40 WIB",DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,laporan telah ditindaklanjuti
02 Apr 2015,https://laporgub.jatengprov.go.id/detail/LGWP76501449.html,KABUPATEN KARANGANYAR,"DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK BERDUKA...... SUDAH JATUH TERTIMPA TANGGA PULA ....KONDISI INILAH YANG SAAT NI DIALAMI WARGA DAN SELURUH PERANGKAT DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR DEMAK LANTARAN MENUNTUT KEADILAN ATAS KEBERADAAN USAHA PENJEMURAN BULU UNGGAS MILIK UD BAROKAH MUNZAKARIA,IMRON,MUCHOFIFIN,WADI SUKARJO YANG MENIMBULKAN BAU BUSUK DINILAI SANGAT MENCEMARI LINGKUNGAN,MENGGANGGU KENYAMANAN,KEBERSIHAN LINGKUNGAN,SERTA KERESAHAN WARGA DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK SELAMA BERTAHUN TAHUN. KELUHAN MASYARAKAT WARGA DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK INI SEBENARNYA SUDAH SEJAK TAHUN 2011,TEGURAN LISAN MAUPUN TERTULIS YANG DILAYANGKAN KEPADA PEMILIK USAHA PENJEMURAN BULU UNGAS YAITU SAUDARA MUNZAKARIA,IMRON,MUSCOFIFIN,MUNTAHA,WADI SUKARJO SUDAH TIDAK TERHITUNG LAGI JUMLAHNYA. SEDIKITNYA TIGA KALI PEMILIK USAHA TERSEBUT MENANDATANGANI KESEPAKATAN DIATAS MATERAI TERKAIT KESANGGUPAN MENGHILANGKAN BAU BUSUK DAMPAK DARI USAHA PENJEMURAN BULU UNGGAS,DIBUAT PADA TANGGAL 2 MEI 2011 DAN 25 FEBRUARI 2014,16 FEBRUARI 2015.NAMUN KESEPAKATAN TERSEBUT DILANGGAR SAUDARA MUNZAKARIA CS,BAHKAN PENUTUPAN USAHA PENJEMURAN BULU UNGGAS TELAH DI EKSEKUSI OLEH TIM YUSTISI SATPOL PP KABUPATEN DEMAK,DPRD KABUPATEN DEMAK,KODIM DEMAK,POLRES DEMAK,KANTOR LINGKUNGAN HIDUP KABUPATEN DEMAK,KORAMIL KECAMATAN KARANGANYAR,POLSEK KECAMATAN KARANGANYAR, ,MUSPIKA KARANGANYAR PADA TANGGAL 16 FEBRUARI 2015 DAN DIBANTU WARGA TIDAK MEMBUAT JERA PEMILIK USAHA TERSEBUT. SUDAH LEBIH 4 MINGGU INI PEMILIK USAHA PENJEMURAN BULU UNGGAS KEMBALI MELAKUKAN AKTIFITAS PENJEMURAN BULU UNGGAS DIWILAYAH DESA NGEMPLIK WETAN DENGAN LAHAN AREAL PENJEMURAN BULU UNGGAS YANG LEBIH LUAS ,BAHKAN PEMILIK USAHA PENJEMURAN BULU UNGGAS MEMBELI SAWAH TANAH BASAH DIURUG DAN MENGALIH FUNGSIKAN LAHAN PERTANIAN TERSEBUT SEBAGAI LAHAN PENJEMURAN BULU UNGGAS TANPA SEIZIN DARI PEMERINTAH KABUPATEN DEMAK,SAWAH TERSEBUT ITU TEPAT BERJARAK 50 METER DARI MADRASAH DINIYYAH IBTIDAIYAH MAMBA’UL ULUM DAN DALAM PEMUKIMAN DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK YANG BERJARAK 100 METER DARI SDN NEGERI NGEMPLIK WETAN,PIHAK MADRASAH MAMBA’UL ULUM MENGELUH AKIBAT BAU BUSUK BANGKAI YANG MENYENGAT DARI USAHA PENJEMURAN BULU UNGGAS TERSEBUT SEHINGGA MENGGANGGU KONSENTRASI KEGIATAN PROSES KEGIATAN BELAJAR MENGAJAR DAN KENYAMANAN WARGA SEKITAR. BAHKAN SELURUH PERANGKAT DESA DAN WARGA KAMI DILAPORKAN KE POLRES DEMAK ATAS TINDAKAN PEMBAKARAN DAN PENGRUSAKAN.PADAHAL YANG MEREKA BAKAR ADALAH SAMPAH,KOTORAN BULU UNGGAS YANG BERBAU BUSUK.KALAU ITU SALAH SEMESTINYA PARA ANGGOTA KEAMANAN DARI POLRES DEMAK,KODIM DEMAK,SATPOL PP MENCEGAH ATAS TINDAKAN ITU. BEBERAPA PERANGKAT DESA YANG SUDAH MENERIMA PANGGILAN DARI POLRES DEMAK MENGATAKAN,PEMANGGILAN TERSEBUT SEDIKITNYA ADA 25 WARGA YANG AKAN MENDAPAT PANGGILAN DARI POLRES DEMAK SEHINGGA MEMBUAT SELURUH WARGA DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK RESAH,DAN KETAKUTAN.PADAHAL MEREKA SUDAH MENDERITA SELAMA BERTAHUN TAHUN AKIBAT BAU BUSUK DAMPAK DARI USAHA PENJEMURAN BULU UNGGAS DAN MEMPERJUANGKAN DAN MENUNTUT KEADILAN.MEREKA SEMUA ADALAH MANUSIA MEMPUNYAI HAK ASASI MANUSIA DASAR YANG MEMBUTUHKAN KENYAMANAN DIDALAM KEHIDUPAN SEHARI HARI.BAHKAN BIROKRASI BERJENJANG MULAI TINGKAT PEMERINTAH DESA,PEMERINTAH KECAMATAN KARANGANYAR,PEMERINTAH KABUPATEN DEMAK,DPRD KABUPATEN DEMAK JUGA TELAH DITEMPUH GUNA MENCARI KEADILAN.ATAS KONDISI YANG SEDANG TERJADI DIWILAYAH DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK DENGAN INI KAMI SELURUH WARGA DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK PROVINSI JAWA TENGAH MEMOHON KEPADA PARA BAPAK GUBERNUR JAWA TENGAH UNTUK MEMBANTU KEPADA PEMERINTAH DEMAK DAN INSTANSI INSTANSI TERKAIT UNTUK MEMBANTU PEMECAHAN MASALAH YANG SEDANG TERJADI DI WILAYAH DESA KAMI ,SEBAB IZIN SIUP DAN TDP YANG DIMILIKI PENGUSAHA PENJEMURAN BULU UNGGAS SUDAH DINYATAKAN PALSU OLEH INSTANSI TERKAIT DAN SUDAH DILAPORKAN KE KAPOLRES DEMAK NAMUN SAMPAI SEKARANG BELUM ADA TINDAKAN DARI POLRES DEMAK. ATAS NAMA SELURUH WARGA DESA NGEMPLIK WETAN KECAMATAN KARANGANYAR KABUPATEN DEMAK BARISAN WARGA MENOLAK USAHA PENJEMURAN BULU UNGGAS",Selesai,"Rabu, 14 Juli 2021 - 10:40 WIB",DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,laporan telah ditindaklanjuti
12 Apr 2015,https://laporgub.jatengprov.go.id/detail/LGWP81795824.html,KABUPATEN KARANGANYAR,"Pagi Pak Ganjar, saya memantau terus perkembangan apakah aduan saya sudah ditindaklanjuti atau belum oleh Bapak dan jajaran bapak Dishub Terminal Tirtonadi Solo. ternyata telah selesai oleh DISHUB. Bapak dibohongi jajaran bapak, kenyataannya tadi mlm saya naik bis dari karanganyar ke solo dan mw menuju yogya ternyata masih seperti dulu. tarif feron tidak ada bukti karcis...kemudian masih tetap dibuka pintu pintu yagn seharusnya tidak boleh dibuka karena AC dalam kondisi nyala dan agar asap bus tidak masuk ternyata tetap aja dibuka dan kondisi ruangan justru panas gara gara dibuka. Bapak sekali kali cek donk, lihat kondisi langsung..masak kami ahrus mengadukan berulang-ulang ke Bapak...Bapak asal percaya dengan jajaran Bapak...yang jelas jelas tidak benahi dari aduan kami",Selesai,"Rabu, 15 April 2015 - 09:21 WIB",DINAS PERHUBUNGAN,"Perlu kami sampaikan bawah pada saat ini sedang dilakukan perbaikan menuju manajemen yang lebih baik, memang dalam pengerjaannya belum sempurna dan akan di tangani menjadi lebih baik sehingga mohon untuk bersabar. Terima Kasih atas perhatiannya. "
