Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP05292008.html,KABUPATEN KLATEN,"Lapor pak Ganjar Pak polisi klaten itu perlu diselidiki karena pada saat operasi minta uangnya lebih dari batas minimum, gimana ini pak...kriyip di solo.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP78354546.html,KABUPATEN KLATEN,Ass.wr.wb: yg trhmt bp gubenur. Gnjr Pranowo. Sy pnguna jln kbupten: klanten kec:pedan. Jln dr pom bensin smpek dpn sklhn smea ngri 1 pedan rusak bnyk lobang pdhl dket polsek pedan. Tp dr dulu gk di perbaiki pdhl jln utama . Sy sbgai warga sngat kecawa. Pdhl daerah pedan bazis moncong putih.,Selesai,"Senin, 22 Februari 2021 - 14:52 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,"Terimakasih atas laporannya Pembaca Jateng Pos Jalan yang panjenengan maksud adalah jalan provinsi dari Boyolali - Sangkalputung/Klaten. Saat sekarang terdapat penanganan efektif sekitar 2,0 Km dengan peningkatan lebar jalan dan struktur. Untuk pemeliharaan rutin diluar kegiatan peningkatan, akan segera ditangani menunggu alat pemadat (saat sekarang masih di Karanggede - Boyolali). Mohon maaf atas ketidaknyamanan ini karena keterbatasan alat pemadat yang dimiliki BPT BM Wilayah Surakarta."
23 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP45038035.html,KABUPATEN KLATEN,"kebijakan pemwajiban pembelian seragam batik untuk smp-smp di kabupaten Klaten tidak transparan dan tanpa konsensus dengan wali murid. selain itu, harga setiap sekolah pun berbeda-beda. sekolah juga mewajibkan setiap jenjang untuk membeli tanpa urgensi yang jelas. mohon di kroscek",Selesai,"Senin, 22 Februari 2021 - 14:59 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,"Terima kasih atas laporannya. Terhadap pembelian batik dimaksud karena untuk memberikan identitas sekolah, kewengan dimaksud menjadi tanggung jawab bupati/walikota, mengingat kewenangan pengelolaan sesuai PP 38/2004 berada di Kab/kota. Saudara/i dapat memperoleh penjelasan yang lebih lengkap dapat menghubungi Disdik setempat."
24 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP91257011.html,KABUPATEN KLATEN,"kok hari ini masih ada pemaksaan pembelian seragam di semua sekolah menengah negri di klaten ??, apalagi mahal lagi harganya dan tidak semua sama meskipun barangnya sama ???",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
26 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP63951755.html,KABUPATEN KLATEN,"Jalan di Klaten - Solo banyak yang berlubang Pak, banyak truk pasir yang lewat merusak aspal. Lalu untuk samsat klaten Pak., kenapa setiap pajak kendaraan 5 tahunan, Plat nomor tidak segera jadi? Mengapa harus nunggu 3-4bulan ?",Selesai,"Kamis, 10 Juli 2014 - 08:51 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,Terima kasih atas informasi yang saudara sampaikan. Perlu diketahui bahwa Plat Nomor kendaraan bermotor merupakan wewenang dari pihak Kepolisian yang pengadaannya melalui Mabes Polri
28 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP97279176.html,KABUPATEN KLATEN,"bayar pajak motor plat kota semarang online di samsat klaten kota pernyataan petugas koneksi eror,memang sengaja dierorkan atau bagaimana ya.karena jatuh tempo pajak motor 29 juni 2014,masak karena kesalahan samsatnya kita harus bayar denda keterlambatan.setau saya kalau online bayar sejateng harusny bisa.mohon ketegasannya kita mau tepat kok pelayanan ga prima",Selesai,"Kamis, 21 Oktober 2021 - 11:21 WIB",Kepolisian Daerah Jawa Tengah,sudah ditindak lanjuti
28 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP20129471.html,KABUPATEN KLATEN,"Menurut berita yang saya terima / baca bahwa telah terjadi pe,maksaan pembelian seragam batik di sekolahan di SMP dan SMA di Klaten dengan harga yang Fantastis 245 rb per setel... bagaman tanggapan Pak Ganjar.. Matur nuwun",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
29 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP68002788.html,KABUPATEN KLATEN,"Lereng Merapi membutuhkan reklamasi demi air di masa depan. Pemrov dan Pemda serta aparat setempat perlu berkoordsinasi untuk jalur khusus truk galian c. Jalur Basin Kebonarum-Gayamprit Klaten adalah jalur non galian C. tetapi hampir setiap hari ada pembiaran truk galian c yang melintasi. jalur tersebut merupakan jalur sibuk siswa dan karyawan, sekarang banyak lobang membahayakan. Terima Kasih",Selesai,"Kamis, 08 Januari 2015 - 11:44 WIB",DINAS PERHUBUNGAN,"Perlu kami beritahukan bahwa laporan saudara sudah kami respon dengan pemasangan rambu dan pengawasan secara insidentil dengan menggunakan alat timbang portable oleh Polres, UPP dan Dishub setempat. Terima kasih."
30 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP33275547.html,KABUPATEN KLATEN,"Assalamualaikum wr.wb. Yth. Gubernur Jawa Tengah, Bapak Ganjar Pranowo. Akses jalan Klaten - Solo dan daerah Mojolaban (Baturono sampai jembatan mojo) banyak yang berlubang, pak. Mengingat pentingnya jalan sebagai sarana mobilitas, saya berharap hal ini dapat ditindak lanjuti. terimakasih.",Selesai,"Kamis, 09 Maret 2023 - 11:20 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,Terimakasih atas laporannya Ibu Yunica Murti 1. Akses jalan nasional Klaten - Solo secara terus menerus dipelihara oleh kementerian PU. 2. Akses Baturono -- Jembatan Mojo merupakan jalan kota Surakarta saat sekarang juga telah dilaksanakan perbaikan Kami tindaklanjuti untuk memastikan kondisi ruas tersebut ke instansi terkait di kementerian PU dan Kota Surakarta
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP36641295.html,KABUPATEN KLATEN,"Bpk Gubernur yang terhormat, mohon tunjangan sertifikasi Guru Kab Klaten untuk dicairkan. Padahal kab lainnya sudah semua",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
