Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
27 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP61519786.html,KABUPATEN KUDUS,"Pak Ganjar Gubernur Jateng yang saya hormati.saya warga KUDUS tepatnya Desa Bulung Cangkring Rt 4 Rw 9 Kec. Jekulo.Apa benar pak pembuatan sertifikat tanah itu membutuhkan biaya hingga 5 juta, sedangakan luas tanah hanya sekitar 1/4 ha saja.Sejak 2007 sampai sekarang belum jadi juga.perangkat desa yang saya datangi selalu berbelit belit pak.Hingga Ke BPN kab kudus dan balai PSDA seluna Kudus pun tetap tidak ada hasil.mohon bantuannya pak.Terima kasih pak Ganjar..",Selesai,"Selasa, 29 Januari 2019 - 12:25 WIB",Kanwil BPN Provinsi Jawa Tengah,terimakasih atas pengaduan saudara untuk biaya nol rupiah dari BPN berupa penyuluhan...pengumpulan data alas hak...pengukuran tanah...Pemeriksaan tanah...penerbitan SK Hak pengesahan data yuridis dan fisik.. biaya sertipikat dan supervisi dan biaya yg dibebankan kepada masyarakat yaitu penyediaan surat tanah... BPHTB dan biaya Materai dan biaya Patok hal ini berdasarkan surat keputusan bersama SKB 3 menteri ..terimakasih
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP65905384.html,KABUPATEN KUDUS,"Permisi Pak Gub..sebagai warga kecil kami mau nanya gimana kabar kelanjutan hasil sidak bapak di jembatan timbang? Ternyata truk besar-besar yang overload masih banyak berseliweran di jalan raya. Jangan Cuma jadi pencitraan loh. (Muchtar, Kudus)",Selesai,"Kamis, 08 Januari 2015 - 15:16 WIB",DINAS PERHUBUNGAN,"Penindakan di JT sesuai SOP dari Perda 1/2012, dan perlu sinergitas dengan Provinsi tetangga."
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP90992976.html,KABUPATEN KUDUS,"Pak Ganjar, bagaimana ini Kali Wulan Kudus sampai Wedung Demak dijadikan pembuangan limbah pabrik. Airnya berwarna dan bau. Tolong ditertibkan. Makasih. (Adi, Mijen Demak)",Selesai,"Rabu, 19 Februari 2020 - 12:05 WIB",DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,terima kasih
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP90271550.html,KABUPATEN KUDUS,"100. Yth Pak Ganjar Pranowo, mohon separator jalan/ pemisah jalur cepat dan jalur lambat keluar kota Pati arah Kudus dan sebaliknya dikaji ulang keberadaannya. Apakah masih relevan dan layak separator jalan tersebut dipertahankan untuk situasi kondisi arus lalu lintas saat ini? Bagi kami selaku pemakai kendaraan bermotor, keberadaan separator tersebut malah membahayakan dan menyulitkan karena selain sempit permukaan jalan bergelombang, ketinggian permukaan yang berbeda dengan jalan utama. Belum lagi tanaman peneduh di sepanjang separator menghalangi pandangan bagi pengendara roda 2 maupun roda 4 bila akan berbelok/menyeberang, memotong jalan utama/jalur cepat yang notabene kendaraan melaju cukup kencang. Terima kasih. (Hendra, Juwana)",Selesai,"Rabu, 28 Januari 2015 - 14:22 WIB",DINAS PERHUBUNGAN,1.     Terima kasih atas laporan yang disampaikan
20 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP90106985.html,KABUPATEN KUDUS,"Di Kabupaten Kudus terjadi KKN penerimaan Pegawai di lingkungan Pemkab Kabupaten Kudus dengan modus membayar sejumlah uang, tidak melakukan rekrutmen terbuka tetapi tertutup, termasuk penempatan tenaga kerja titipan di instansi pemerintah. Salah satu contoh Rumah Sakit : tidak membutuhkan pegawai tetapi di ditempatkan tenaga tamatan SMA/SMK atau sarjana yang tidak relevan misal lulusan KIMIA ditempatkan di laboratorium RS.",Selesai,"Senin, 05 Januari 2015 - 12:42 WIB",INSPEKTORAT,"Tindak lanjut dari kasus aduan yang disampaikan telah mendapat klarifikasi dari Kabupaten Kudus dengan Surat dari Bupati Kudus kepada Gubernur Jawa Tengan cq. Inspektur Prov. Jawa Tengah Nomor 780/3465/17/2014 tanggal 24 Desember 2014 bahwa masalah mengenai rekruitmen tenaga kontrak ini, menurut pertimbangan pengadaan tenaga kontrak di BLUD RSUD Kabupaten Kudus karena keadaan mendesak dengan alasan sebagai berikut : - Pelaksanaan program Badan Penyelenggaraan Jaminan Sosial (BPJS) Kesehatan per 1 Januari 2014 di RSUD Kabupaten Kudus menyebabkan meningkatnya kualitas pelayanan; - Tidak diterimanya rujukan pasien peserta BPJS Kesehatan di Rumah Sakit lainnya; - Meningkatnya amino masyarakat Kudus pada pelayanan unggulan; - Berkurangnya tenaga teknis fungsional dan administrasi karena mutasi dan pensiun yang sampai sekarang belum ada gantinya; - pemilihan dokumen/berkas rekam medis yang sudah mencapai masa pemusnahan sehingga dibutuhkan tenaga untuk melakukan retensi arsip. Untuk masalah indikasi modus membayar, dari klarifikasi yang dilaksanakan oleh Inspektorat Kabupaten Kudus diperoleh kesimpulan bahwa tenaga/pegawai yang diterima sebagai tenaga kontrak menyatakan tidak membayar. Pada kasus tidak transparan bahwa karena tenaga kontrak sesuai kajian diatas sangat mendesak, maka tidak dilaksanakan dengan pengumuman secara terbuka akan tetapi hanya memproses lamaran-lamaran yang sudah masuk. Sedangkan untuk kasus indikasi tenaga kontak yang tidak kompeten dicontohkan adanya tenaga kontrak yang berpendidikan Sarjana Kimia, ditempat di laboratorium. Hal ini dikarenakan sesuia dengan perjanjian/kontrak kerja, yang bersangkutan mengisi formasi tenaga administrasi dengan kualifikasi pendidikan SMA. Sedangkan untuk Sarjana Kimia tidak ada formasinya.  Terima kasih. "
20 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP66862901.html,KABUPATEN KUDUS,"lapor gub, tolong dicek biaya uji kir dikudus karena tidak sesuai dengan biaya tabel yang dipajang. biaya ditabel JBB sampai 9 ton 30.000 dan biaya pengantian plat 6500 dan tanda samping 2000 total 38.500 tapi praktik dilapangan biayanya 85.000.",Selesai,"Senin, 14 September 2020 - 08:05 WIB",Kabupaten Kudus,terima kasih atas aduannya...karena ada pergantian sistem silahkan untuk menggunakan laporgub kembali bila masih ada permasalahan
06 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP71897259.html,KABUPATEN KUDUS,"Pak ganjar, tolong segera disidak tempat penambangan pasir padas di Gunung Patiayam desa tanjung rejo, kecamatan jekulo, kabupaten Kudus. Penambangan sangat meresahkan warga disini karna truk2 yg melintas melalui jalan desa sangat mengganggu saat jam2 anak sekolah dan berangkat kerja, selain itu sering terjadi kecelakaan yg disebabkan oleh truk yg memuat pasir karena mereka saling menyalib. Akibat dari pengerukan tanah padas disana hutan2 gundul, tanah longsor dan banjir Pak. Mohon segera disidak, karena ini sangat merusak alam dan merugikan masyarakat disini.",Selesai,"Senin, 08 September 2014 - 12:24 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,"Hasil koordinasi kami dengan Pemerintah Kab. Kudus, dapat kami jelaskan sbb :"
24 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP23743322.html,KABUPATEN KUDUS,Mhon untk diketahui di Kantor Samsat Kudus Kenapa dibagian TNKB Kok ada pungutan untk pengambilan TNKB/PLAT NO. UNTUK BPK GUBERNUR JATENG BPK GANJAR P MHON UNTK DITEGOR DONG PTUGAS2 YG ADA DIKANTOR SAMSAT KUDUS TRUTAMA DIBAGIAN TNKB/PLAT NO.KMI MASYARAKAT UDH TAAT PAJAK KOK MSIH DIRUGIKAN. TRIMKASIH WASSALAM.,Selesai,"Selasa, 07 Oktober 2014 - 13:43 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Perlu diketahui bahwa TNKB merupakan kewenangan dari pihak Kepolisian, berkenaan dengan laporan tersebut, UP3AD Kabupaten Kudus telah melakukan koordinasi dengan pihak Kepolisian untuk segera melaporkan adanya pungutan tersebut kepada pimpinan (Kasatlantas), dengan harapan hal tersebut tidak terjadi lagi dikemudian hari"
14 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP88109361.html,KABUPATEN KUDUS,"maaf menyampaikan aduan,tgl 1/10 bpk gubernur ke kds,galian c di ds tanjungrejo jekulo kds pura2 berhenti wktu tgl trsbt,dulu pernah wktu gub.pk bibit penambangan dihentikan krn rsk lingkngn,ini oprasi lg,tlng pk ganjar dihentikan galian c,sumur2 jd keringn phn2 dipotng ndak ada reboisasi,sudi ds warga tanjungrejo",Selesai,"Selasa, 21 Oktober 2014 - 14:06 WIB",DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,lapran telah diselesaikan.
28 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP48532795.html,KABUPATEN KUDUS,"Yth. Bp. Gubernur Jateng. Di Kudus tepatnya di Madrasah Aliyah Cendono Dawe Kudus. Ada oknum guru PNS yang memanipulasi data mengajar untuk mendapatkan pencairan tunjangan sertifikasi, dan sudah berlangsung bertahun-tahun. Ini sangat merugikan negara. Tolong ditindaklanjuti sebagai sebuah korupsi terstruktur di dunia pendidikan.Terima kasih",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
