Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
10 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP80734646.html,KABUPATEN SEMARANG,Pupuk Urea di Kab. Semarang langka pak Gub...tolong ditindaklanjuti...petani kesulitan untuk memupuk tanaman,Selesai,"Senin, 12 Mei 2014 - 09:58 WIB",DINAS PERTANIAN DAN PERKEBUNAN,"Untuk tindak lanjut, telah ditetapkan call center/petugas pupuk diari masing-masing produsen pupuk untuk tiap-tiap wilayah di Jawa Tengah. PPK (Call center) PT Pusri wilayah Kab semarang adalah : Suharsono degan nomer telepon 081327168497. Silakan saudara dapat menghubungi Nomer tersebut dan distributor yang bertanggung jawab di wilayah anda."
12 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP62931758.html,KABUPATEN SEMARANG,"pak gub yg terhormat, tolong ditinjau kembali tunjangan utk para guru pns di daerah bawen.. kerjaanny tidak benar, tiap hari tidak mengajar tepat waktu, masuk seenaknya, pulang cepat. pergi ke bank utk ngecek uang saja. swuwun",Selesai,"Selasa, 13 Mei 2014 - 12:41 WIB",Kota Semarang,"Kami sarankan agar saudara dapat memberikan masukan ke Pemkab Semarang dalam hal ini Inspektorat, BKD Kab Semarang ataupun Satpol PP agar segera ditindaklanjuti."
07 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP16389380.html,KABUPATEN SEMARANG,"Judi Dadu Dekat Lokalisasi Gembol sudah berlangsung hampir 1 tahun. Beroperasi 24 Jam, dengan diamankan oleh aparat (TNI, Polres Semarang, Polsek Bawen). Setiap Senin malam dan Jumat malam ada aparat yg minta mell (uang pelicin). Mohon dibasmi. Kata polisi dipolres semarang, judi itu bisa dibasmi jika Polda dan Kodam bertindak. Alamatnya : Belakang Rumah penduduk (Pak RT, Ditengah kebun) Berokan, Bawen, Kabupaten Semarang",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP42493552.html,KABUPATEN SEMARANG,"Kepada bp Ganjar ashalammualaikum dlm kata kami minta bantuanya atas nama anak mantan kadus rengas rt 03 RW 06 desa tambakboyo,AMBARAWA ,SEMARANG atas nama bp much pawitno mulai mengabdi kurang lebih dr th 1981 berakhir sp th 2011 saat ini dlm keadaan sakit yg sgt memerlukan perawatan dimana kami tdk mempunyai kemampuan biaya,atas kepedulianya kami ucapkan terima kasih yg memohon agus nurhidayyat (anak)",Selesai,"Senin, 26 Agustus 2019 - 14:44 WIB",DINAS KESEHATAN,konfirmasi ke pemkab terkait un tuk permohonan tidak mampu.nuwun
17 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP29306571.html,KABUPATEN SEMARANG,Birokrasi di kecamatan bandungan bobrok mohon segera diperbaiki. Oknumnya menyalahgunakan wewenang,Selesai,"Selasa, 12 Agustus 2014 - 15:01 WIB",INSPEKTORAT,Penanganan atas laporan dikoordinasikan dengan Inspektorat Kabupaten Semarang (Surat Inspektur Provinsi Jawa Tengah tanggal 8 Agustus 2014 Nomor 700/2235/1.1/2014). Dari surat yang telah dikirim oleh Inspektorat Provinsi Jawa Tengan telah mendapat konfirmasi tentang kasus tersebut dengan Surat Bupati Semarang Nomor :700/04737 tanggal 23 Desember 2014 bahwa pihak Kecamatan Bandungan sebagai pemberi ijin tidak melaksanakan tugasnya dengan baik dan sebagai tindak lanjutnya bahwa Camat Bandungan memerintahkan stafnya untuk melaksanakan tugasnya dengan baik dan supaya tidak mengulangi kesalahan yang sama. Terima kasih. 
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP63572274.html,KABUPATEN SEMARANG,"18. Bpk Ganjar, Gubernur Jateng yang saya hormati dan saya banggakan, tolong Dishub Kab Ungaran yang di Karangjati (tempat uji KIR) disidak karena banyak pungli di sana. Tolong bapak menyamar sebagai sopir untuk meng-KIR-kan kendaraan. Demikian keluhan saya sebagai wong cilik kepada bapak, dan saya haturkan terima kasih atas perhatian bapak untuk menindaklanjutinya.",Selesai,"Rabu, 28 Januari 2015 - 14:16 WIB",DINAS PERHUBUNGAN,"Terima Kasih atas laporan yang disampaikan,"
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP63636434.html,KABUPATEN SEMARANG,"Yth Bpk Ganjar, kapan Jateng Park di Penggaron Ungaran dibangun? Kami warga Ungaran sudah sangat menunggu supaya Jateng punya objek wisata yang menarik dan lengkap. Terima kasih. (Andy, Ungaran) SM",Selesai,"Kamis, 07 Agustus 2014 - 13:54 WIB","DINAS KEPEMUDAAN, OLAHRAGA DAN PARIWISATA",Pembangunan Jateng Park sepenuhnya menjadi kewenangan Perum Perhutani dan pihak investor. Sampai sekarang masih berproses dalam tahap proposal. Gubernur Jawa Tengah sudah meminta Perum Perhutani dan Dinas Kehutahan Provinsi Jawa Tengah untuk membahas detail perencanaan. Pada Prinsipnya Pemerintah Provinsi Jawa Tengah mendukung realisasi pembanguan Jateng Park. Kewenangan Pemprov Jateng mengawal prosesnya dan amdal (analis mengenai dampak lingkungan) serta pengelolaan tata ruang. Dalam prosesnya diperlukan kerjasama dengan beberapa instansi terkait dan tentunya partisipasi dari masyarakat.
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP16787981.html,KABUPATEN SEMARANG,Aslmkm Bapak..Saya Kepala Desa Purworejo Suruh Kab Semarang ingin menanyakan bantuan infrastruktur yang lewat Bapermas Provinsi kapan akan direalisasikan? Terima kasih. Wslmkm.,Selesai,"Jumat, 29 Agustus 2014 - 09:00 WIB",Kota Semarang,Tidak ada keterangan
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP95135701.html,KABUPATEN SEMARANG,"89. Pak Ganjar, saya mohon Bapak untuk melarang truk-truk besar dan bermuatan berat dilarang melewati jalan Perintis Kemerdekaan Banyumanik sampai bawen untuk sementara selama perbaikan pengecoran jalan sepanjang jalan tadi di atas, dan dialihkan lwat jalan tol Semarang-Bawen karena sering terjadi kemacetan panjang dan sering terjadi kecelakaan truk besar di sepanjang jalan Berkas dekat SPBU Lemah Abang Kab Semarang. Terima kasih atas perhatian Bapak. (Anwar, Perum Griya Asri Secang Bawen Kab Semarang) SM",Selesai,"Kamis, 08 Januari 2015 - 15:17 WIB",DINAS PERHUBUNGAN,sudah dilakukan pengaturan oleh Polres untuk kelancaran lalu lintas pada saat pengerjaan pengecoran jalan
13 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP57082491.html,KABUPATEN SEMARANG,Pak ganjar yg saya hormati . Saya ingin melapor kan bahwa di ambarawa ( jateng ) ada perjudian togel dengan omzet ratusan juta per hari nya . Mohon di tindak .,Selesai,"Kamis, 10 Juni 2021 - 09:52 WIB",Kepolisian Daerah Jawa Tengah,identitas pelapor tidak bisa dihubungi
