Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP11142385.html,KABUPATEN SRAGEN,"Buat bung Ganjar....ini guru di kabupaten sragen, mengeluh hampir 5 bulan , tunjangan sertifikasi belum cair, bung Ganjar pranowo, kira2 dana tersebut nyangkut dimana bung....? Mohon bantuanya agar tunjangan,sertifikasi tidak tersendat sendat seperti ini, lain kabupaten dah cair, sragen telat 5 bulan....bung Ganjar ...(joko sragen)",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
10 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP59504280.html,KABUPATEN SRAGEN,"Saya warga sragen sudah 2 tahun mau mengurus sertifikat blm bisa padahal syarat kami sertifikat lama dan surat wasiat yg di bikin almarhum orang tua saya di salah satu notaris di sragen jg syarat lainya sudah komplit tp kepala desa sidodadi,kec.masaran,kab.sragen tidak mau tanda tangan di berkas2 saya.tolong bantuannya pihak2 terkait saya sebagai warga tidak mendapatkan pelayanan yg semestinya,ternyata kejadian ini bukan hanya saya sendiri ada juga warga lain yg mengalami kejadian ini",Selesai,"Rabu, 27 Februari 2019 - 10:53 WIB",Kabupaten Sragen,telah dikoordinasikan
23 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP48567471.html,KABUPATEN SRAGEN,"Pak Ganjar, Keponakan kami masuk SMAN 1 Sragen kok masih banyak pungutan ; Sragam yg mahal 1.100.000, uang pembangunan 2,5 juta SPP 250.000,- Gmn ini pemerintah punya uang kagak untuk penyelenggaraan pendidikan ?? Dana Bos untuk apa ? apa pungutan itu hanya moment untuk kesejahteraan guru ?? mohon dievaluasi !!",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
29 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP28198013.html,KABUPATEN SRAGEN,Ada Perawat PNS sebuah Puskesmas di Kecamatan Gondang Kabupaten Sragen yang sejak tahun lalu juga jadi guru aktif di SMKN 1 Gondang sebagai guru keperawatan. Pelaksanaan pembelajaran dilakukan pagi hari yang dalam seminggu bisa 3-4 hari. Apakah ini dibenarkan sebagai PNS juga jadi guru?,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
16 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP91238444.html,KABUPATEN SRAGEN,"Yth. Gubernur Jawa Tengah, mohon berkenan melakukan supervisi ke SMKN 1 Gondang, Kabupaten Sragen. Di sekolah tersebut ada guru lulusan D3 mengajar. Padahal dalam Lampiran Peraturan Menteri Pendidikan Nasional Nomor 16 tahun 2007 Tanggal 4 Mei 2007 telah disebutkan untuk menjadi guru di SMK minimal D4 atau S1. Sudah ada inspeksi dari Inspektorat kabupaten Sragen, tapi pihak sekolah masih membiarkan guru tersebut mengajar. Selain itu, terindikasi para guru tidak mempunyai perangkat pembelajaran, sehingga proses pembelajaran yang ada terkesan tanpa arah dan tanpa tujuan (khususnya di Paket Keahlian Keperawatan)",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
16 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP63784505.html,KABUPATEN SRAGEN,"Tolong cek Samsat Sragen, cek fisik masih harus bayar 30.000 pak gub katanya mau bersih2? kami wajib pajak sudah punya persyaratan lengkap dan mau pajak tolong jangan dipungli lagi. terima kasih",Selesai,"Rabu, 05 November 2014 - 09:02 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Perlu diketahui bahwa cek fisik merupakan  kewenangan dari pihak kepolisian, berkenaan dengan laporan tersebut UP3AD Kabupaten Sragen telah melakukan koordinasi dengan pihak kepolisian, dan pihak Kepolisian telah siap untuk menindaklanjuti adanya laporan pungli tersebut, dengan harapan hal tersebut tidak terjadi lagi dikemudian hari"
27 Nov 2014,https://laporgub.jatengprov.go.id/detail/LGWP42134020.html,KABUPATEN SRAGEN,"Mohon maaf ini sebagai koreksi saja untuk perbaikan kita semua, saya infokan bahwa informasi Seleksi Calon Pejabat Pimpinan Tinggi Pratama di Lingkungan Pemerintah Provinsi Jawa Tengah Secara Terbuka baru disampaikan ke Kecamatan tanggal 24-11-2014. lha kita yang ada di Kecamatan jika ada yang memenuhi syarat dan berminat untuk ikut seleksi bagaimana ? wong kabare ndadak mepet gitu !.... mohon pyai sragen itu dikasih arahan gitu pak Gub.",Selesai,"Kamis, 27 November 2014 - 20:16 WIB",BADAN KEPEGAWAIAN DAERAH,"Terimakasih atas koreksinya, Dapat disampaikan bahwa Pengumuman pengisian Jabatan Pimpinan Tinggi Pratama secara terbuka di  Lingkungan Pemerintah Provinsi Jawa Tengah telah dilaksanakan sesuai ketentuan  Peraturan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Nomor 13 Tahun 2014 yaitu selama paling kurang 15 hari kerja. Pengumuman seleksi terbuka dimulai pada tanggal 6 November s.d 26 November 2014 (pukul 16.00 WIB). Guna menginformasikan kepada PNS yang memenuhi syarat dan masyarakat luas maka media yang digunakan juga beragam meliputi media cetak yaitu koran nasional dan regional, media elektronik, media online, dan surat edaran kepada para Menteri Kabinet Kerja, para Kepala Lembaga Pemerintah Non Kementerian, Gubernur Se-Indonesia termasuk juga Bupati/Walikota di Provinsi Jawa Tengah. Dengan waktu pendaftaran yang relatif panjang dan media publikasi beragam, diharapkan dapat menjaring PNS yang terbaik untuk menduduki jabatan pimpinan tinggi pratama di Lingkungan Pemerintah Provinsi Jawa Tengah sesuai dengan kompetensinya. Tetap semangat dan terus berkarya."
19 Feb 2015,https://laporgub.jatengprov.go.id/detail/LGWP83849590.html,KABUPATEN SRAGEN,"Selamat bekerja pak ganjar, demi kemakmuran jawa tengah. Sy jurnalis SULUH BANGSA JAYA NEW. dengan no REG/ KTA : 019/SBJ/V/014.kabiro jateng. sy dapati seorang guru WB di SD N bendungan1 kedawung kab sragen, atas nama EKO PARWIYANTO, dimana orang tsbt mengikuti tes cpns kategori 2 & dinyatakan lulus oleh BKN,namun waktu pemberkasan ditolak oleh BKD kab sragen dgn alasan yg tdk relevan, bahkan bs disebut manipulasi data. mohon ditindak lanjukan,trimakasih pak ganjar pranowo",Selesai,"Senin, 23 Februari 2015 - 19:15 WIB",BADAN KEPEGAWAIAN DAERAH,"Terimakasih atas informasinya. Bahwa pelaksanaan pengadaan CPNS dari Tenaga Honorer Kategori II sesuai kebijakan pemerintah pusat telah selesai pada tahun 2014. Untuk tenaga honorer kategori II yang dinyatakan  lulus ujian TKD oleh Panselnas (Menteri PAN dan RB serta BKN) telah diajukan pemberkasan dan proses persetujuan penetapan NIP di masing-masing Kabupaten/Kota. Dalam pelaksanan verifikasi berkas persyaratan administrasi terdapat beberapa tenaga honorer Kategori II yang tidak dapat memenuhi kelengkapan berkas administrasi dan/atau terdapat aduan keberatan dari masyarakat/LSM . Dalam hal ini, Pemerintah Kabupaten/kota berkewajiban meneliti ulang berkas kelengkapan untuk menjamin semua tenaga honorer Kategori II yang diangkat menjadi CPNS memenuhi persyaratan administrasi. Selanjutnya pengusulan penetapan NIP tersebut menjadi kewenangan Pejabat Pembina Kepegawaian Daerah (Bupati/Walikota). Sehubungan dengan hal tersebut, mengingat kewenangan proses pengangkatan CPNS nya menjadi kewenangan Bupati Sragen akan kami koordinasikan dengan Pemerintah Kabupaten Sragen untuk ditindaklanjuti. Demikian untuk menjadikan maklum. Salam"
22 Feb 2017,https://laporgub.jatengprov.go.id/detail/LGSM79742744.html,KABUPATEN SRAGEN,"Maap bpk,no kulo bel gak d angkat mau aspirasi.sragen",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
29 Apr 2015,https://laporgub.jatengprov.go.id/detail/LGWP18812959.html,KABUPATEN SRAGEN,"selamat siang bapak.karangtaruna kita didukuh glonggong,desa glonggong kec gondang kab sragen.melakukan rintisan unit produktif yang kita sebut dengan koperasi karangtaruna...tujuan kita sederhana saja yaitu inggin membangun jiwa usaha dan kesempatan kerja pemuda pemuda desa kami,kami sdh merintisnya sekitar 4 thn yang lalu angota kami lbh dari 60 yang semuanya adalah pekerja produktif.mohon perhatian dari bapak supaya kami anak muda desa diberi kesempatan dan difasilitasi agar kami mambu memberikan sumbangsih buat kemajuan dan kemandirian pemuda pemuda desa kami.....kami tidak berharap banyak bapak,kami pemuda desa hanya inggin diberi kesempatan dan kepercayaan untuk mengali potensi diri dan potensi desa kami untuk menuju desa yang mandiri",Selesai,"Selasa, 12 Mei 2015 - 08:15 WIB",DINAS KOPERASI DAN UMKM,"Kami mohon maaf atas keterlambatan dlm memberikan tanggapan, dikarenakan adanya mutasi dalam jabatan struktural di lingkungan dinas. berikut tanggapan dr Kasi Koperasi Non Pertanian: Melihat rintisan unit produktif yg telah dilakukan Karang Taruna Desa Glonggong Kec. Glonggong Kec. Gondang Kab Sragen yg telah dilakukan selama ini dpt melaporkan kegiatan yg telah dilaksanakan utk dpt dilakukan pembinaan dan pemberdayaan oleh Dinperindagkop dan UKM Kab. Sragen yg mempunyai kewenangan utk melakukan pembinaan dan pemberdayaan Koperasi dan UMKM. Terima kasih"
