Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
16 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP78580338.html,KABUPATEN SUKOHARJO,"Asm pak, pak jalan tawangsari-watukelir sukoharjo. rusak parah pak dikarenakan truk bermuatan pasir yg lewat melampaui batas muatan maksimum jd membuat jalan cepat rusak pak. trims",Selesai,"Kamis, 09 Maret 2023 - 11:21 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya Memang benar bahwa jalan akan menjadi rusak karena faktor kelebihan muatan. Antisipasi yang dilakukan oleh pemerintah provinsi jateng (cq. Dinas Bina Marga) adalah melaksanakan peningkatan kapasitas dan struktur jalan dengan konstruksi beton. Pada TA 2014 ruas tersebut terdapat penanganan sepanjang 1,8 km (Rp. 6,7 M). Mohon bersabar untuk penyelesaian tuntas pada ruas tsb. kami mohon juga, masyarakat bisa berperan serta dalam  mengurangi kelebihan muatan tsb."
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP39785439.html,KABUPATEN SUKOHARJO,Yth.bp GANJAR PRANOWO gub.jateng di SUKOHARJO masih ada pabrik yang belum UMR mohon di tindak lanjuti biar masyarakat SUKOHARJO jadi MAKMUR.,Selesai,"Rabu, 02 Juli 2014 - 14:55 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL","Laporan telah kami selesaikan, terima kasih."
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP57326094.html,KABUPATEN SUKOHARJO,"Pak kenapa pasar Sukoharjo belum jadi juga? Padahal pasar Bekonang sudah jadi,anggaran yang dikeluarkan sangat besar tapi pasarnya belum jadi juga,bagaimana nasib kami para pedagang,yang harus berdagang di pasar darurat..",Selesai,"Selasa, 24 Juni 2014 - 08:11 WIB",DINAS PERINDUSTRIAN DAN PERDAGANGAN,"Pembangunan tahap II untuk melanjutkan tahap I telah melalui proses pelelangan ULP Kab Sukoharjo, dan direncanakan pembangunan tahap II akan dimulai pada minggu III bulan juni 2014. Diharapkan akhir 2014 pembangunan pasar Sukoharjo sudah selesai."
26 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP75392346.html,KABUPATEN SUKOHARJO,"yth Pak Gub Yang ganteng dw sak jateng. Lapor. Jalan jalur evakuasi Merapid ari desa Kepurun kec Manisrenggo sampai Manisrenggo rusak parah seperti kali asat. Jalan Utama dari Bandara Solo Menuju Jogja anatar perempatan Colomadu sampai batas Kabupaten Karanganyar - Sukoharjo rusak parah, padahal jalan ini dilewati wisatawan asing yang mendarat di bandara Solo menuju Borobudur/Jogja/Semarang. maaf tidak ada lampiran photo tetapi ini nyata, bisa dibuktikan.",Selesai,"Kamis, 24 Juli 2014 - 10:40 WIB",BADAN PENANGGULANGAN BENCANA DAERAH,"untuk informasi lebih lanjut dapat berkoordinasi dengan BPBD kab Klaten, dan terimakasih atas perhatiannya"
02 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP31842376.html,KABUPATEN SUKOHARJO,"Kami Guru2 Agama Katholik Yg Sdh Sertifikasi, Tunjangan Sertifikasi Tahun 2012 + 2013 Sebagian Besar Blm Dicairkan Sampai Sekarang!!! Sekiranya Bapak Mengijinkan Kami Guru Agama Katholik Se Jawa Tengah Yg BELUM Menerima Tunjangan Sertifikasi Kami Tersebut, Kami Mohon Bantuan Bapak Gubernur Kepala Daerah Tingkat 1 Provinsi Jawa Tengah Untuk Terealisasinya Tunjangan Sertifikasi Kami Tahun 2012 & 2013 Yg BELUM Terbayarkan. Sebab Hanya Tunjangan Sertifikasi Guru Agama Katholik (GAK) Yg BELUM Dicairkan!!! Besar Harapan Kami Pada Bantuan Bapak Untuk Hal Itu, Dan Atas Bantuan Bapak Kami Menghaturkan Terimakasih. Khususnya 3 Wilayah Eks Karesidenan Surakarta (Surakarta, Sukoharjo & Wonogiri!!!) ( ANAK BANGSA )",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
15 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP74308426.html,KABUPATEN SUKOHARJO,"Yth. Bapak gubernur....saya rina di sukoharjo mohon ditinjau dinas kesehatan di kabupaten dan provinsi, untuk pengurusan STR (Surat Tanda Registrasi) BIDAN kenapa lama sekali sampai 2,5 tahun lebih belum jadi dan dari keterangan yang diperoleh katanya masih proses, kalaupun proses kenapa lama sekali atau kurang dana karena kami BIDAN yang tidak punya STR (Surat Tanda Registrasi) tidak bisa daftar CPNS kalo tidak punya STR yang disyaratkan dalam penerimaan CPNS. Mohon Tanggapanya Dan Terima Kasih.",Selesai,"Kamis, 09 Januari 2020 - 14:04 WIB",Kabupaten Sukoharjo,.
18 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP50063372.html,KABUPATEN SUKOHARJO,"di kelurahan ngemplak,kec kartasura ,kab sukoharjo dapat bantuan listrik utk kalangan yg tdk mampu trus perorang di suruh bayar 500rb tp hampir 1 thun listriknya blum jg terpasang pdhl di kelurahan lain 2 blan aja udah nyala listriknya,,mohon kpd bpk gubernur utk menindak oknum yg bermain dalam program bantuan ini,,,",Selesai,"Selasa, 26 Agustus 2014 - 09:36 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,Dari hasil klarifikasi berdasarkan atas tinjauan lapangan maka dapat kami sampaikan hal-hal sebagai berikut:
24 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP90738037.html,KABUPATEN SUKOHARJO,Istri saya bekerja di sritex sukoharjo dari bulan november 2013.lebaran lalu tidak mendapatkan THR.ada teman2 sepabriknya banyak yg tidak dapat juga.mereka tidak berani melapor karna takut di PHK.mohon bantuan pak gubernur untuk langsung turun tangan.tapi mohon identitas saya dirahasiakan.terima kasih....,Selesai,"Senin, 25 Agustus 2014 - 12:35 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL","Laporan telah kami selesaikan, terim kasih."
28 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP88463521.html,KABUPATEN SUKOHARJO,"ASSALAMUALLAIKUM,WRB.Pak ni gimana katanya sekolah SD bebas biaya ternyata mau kenaikan kelas suruh bayar 150rb.paranya lagi yang suruh bayar kelas 1-5.lalu saya tanya!kok bayar segini bu padahal sy sudah melunasi uang lks bu?katanya buguru sy tdk tau ini yang nyuruh kepala sekolah.dan sekarang suruh beli lg buku paket padahal @.50rb.sedang ada bnyak pelajaran gimana pak!tlong pak d cek pak.SD NGABEYAN 2.alamat.brontowiryan rt1/1,ngabeyan,kartasura,sukoharjo.jawa tengah.tolong ya pak.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
01 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP43860843.html,KABUPATEN SUKOHARJO,"ASSALAMUALLAIKUM,WRB.Pak ni gimana katanya sekolah SD bebas biaya ternyata mau kenaikan kelas suruh bayar 150rb.paranya lagi yang suruh bayar kelas 1-5.lalu saya tanya!kok bayar segini bu padahal sy sudah melunasi uang lks bu?katanya buguru sy tdk tau ini yang nyuruh kepala sekolah.dan sekarang suruh beli lg buku paket padahal pemerintah mencanangkan buku paket d pinjamkan bukan beli.padahal harga @.50rb.sedang ada bnyak mata pelajaran gimana pak!tlong pak d cek pak.SD NGABEYAN 02.alamat.brontowiryan rt1/1,ngabeyan,kartasura,sukoharjo.jawa tengah.tolong ya pak.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
