Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP46945979.html,KABUPATEN TEGAL,"Pak tolong kali di DS. SEMEDO KEC. KEDUNGBANTENG KAB. TEGAL. di benahi, tiap kali hujan BANJIR",Selesai,"Jumat, 27 Juni 2014 - 13:53 WIB",DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG,Genangan Banjir di Desa Semedo disebabkan karena menyempitnya Kali Busuk (Kali Pakijangan) yang setiap hujan deras lebih dari 2 jam mengakibatkan Kali Busuk melimpas dan menggenangi Desa Semedo Kec. Kedungbanteng Kab. Tegal setinggi 40 cm
21 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP92796297.html,KABUPATEN TEGAL,"Bapak Gubernur YTH, sudi kiranya dari tim monev tentang bantuan keuangan desa untuk infrastruktur segera dimonitoring dikabupaten Tegal khususnya diKecamatan Kramat, ada dugaan semua kepala desa iuran untuk upeti ke bapermades (kepentingannya apa blm tahu) dan diduga pelaksanaan proyeknya tidak sesuai volume yang ada di RAB",Selesai,"Senin, 05 Januari 2015 - 11:28 WIB",INSPEKTORAT,"Telah dilakukan pemeriksaan oleh Inspektorat Kabupaten Tegal dengan menerbitkan LHP Khusus Nomor 356/15/1353/2014, Nomor 356/15/1354/2014 dan Nomor 356/15/1355/2014 tanggal 5 Desember 2014 bahwa dari hasil simpulan di Kecamatan Kramat terdapat dana bantuan Gubernur Jawa Tengah Tahun 2014 untuk upeti ke bapermades Kabupaten Tegal, Sulit dibuktikan karena tidak ada data dukung. Sedangkan dugaan bahwa fisik bangunan tidak sesuai RAB ada unsur kebenaran, karena ada perubahan fisik bangunan yang tidak diikuti perubahan RAB awal namun volume fisik bertambah.  Terima kasih. "
01 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP34968884.html,KABUPATEN TEGAL,"Pak Gubernur, saya sudah setahun lebih bikin e-ktp tetapi sampai sekarang belum ada kabar. keluarga saya jg sudah lebih dari setahun. seharusnya sudah jadi tetapi dikarenakan perpindahan alamat dari alamat lama ke alamat baru jadi e-ktp nya harus di ubah. tetapi masa perubahan alamat saja sampai setahun lebih. saya sudah sempat menanyakan kepada RT kelurahan dan kecamata katanya tunggu aja.. saya mesti tunggu sampai kapan ya pak. ?? Mohon di tanggapi keluhan dari saya.. Warga Slawi Tegal",Selesai,"Senin, 04 Agustus 2014 - 12:41 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami tindaklanjuti
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP02523255.html,KABUPATEN TEGAL,"Pak, gimana, desa kami Desa Rangi Mulya Kec Waruja Kab Tegal pemenang bpk waktu pilgub. Satu kecamatan yang paling tinggi persentase kemenangan tapi dapat dana dari gubernur Cuma Rp 40 juta. Desa yang kalah malah dapat Rp 100 juta, ada yang Rp 60 juta. Kami kecewa pak, padahal desa kami masih tertinggal pembangunannya. Desa miskin, kas desa per tahun hanya Rp 14 juta. Mohon dipertimbangkan pak.",Selesai,"Jumat, 29 Agustus 2014 - 09:02 WIB",DINAS TENAGA KERJA DAN TRANSMIGRASI,Tidak ada keterangan
11 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP65189175.html,KABUPATEN TEGAL,"Saya warga pekuncen banyumas.Ingin memenyampaikaninformasi.dampak pengalihan arus lalin ke jalur selatan membuat kemacetan teramat parah.truk2 super besar memenuhi jalan.efek kemacetan: tak ada angkutan umum yg brroperasi.banyak anak sekolah, pekerja dan pedagang terganggu aktivitasnya.belum lagi dampak terhadap fisik jalan ...makin tambah rusak.kami takut jembatan2 yg lain di sepanjang tegal sampai ajibarang ambrol.....tolong pak gub di cari solusinya",Selesai,"Jumat, 15 Agustus 2014 - 08:36 WIB",DINAS PERHUBUNGAN,"bersama ini kami sampaikan bahwa kemacetan terjadi karena adanya pengalihan rute kendaraan berat ke jalur Selatan akibat amblesnya jembatan Comal, pengalihan rute ini merupakan satu-satunya langkah untuk distribusi barang secara nasional yang saat ini sifatnya sementara sambil menunggu Jembatan Comal selesai diperbaiki. kita sedang mendorong kebijakan dari Pemerintah Pusat untuk pengalihan distribusi barang menggunakan moda lain (kereta/laut). demikian, dan Terima Kasih. salam sukses selalu untuk anda."
23 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP63057845.html,KABUPATEN TEGAL,"Yth. Bapak Gubernur, saya mempunyai keluhan tentang e-KTP. E-KTP saya belum jadi kira-kira sudah 2 tahun, sebenarnya sudah jadi tetapi ada kesalahan pada data e-KTP saya, jadi saya kembalikan pada Capil Kab. Tegal, namun hampir 1 tahun ini belum jadi juga. mohon pencerahannya. Terima kasih.",Selesai,"Senin, 25 Agustus 2014 - 11:22 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami selesaikan. Terima Kasih
25 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP35751543.html,KABUPATEN TEGAL,"Assalamu'alaikum pak gub.. Saya warga desa kranggan pekuncen..Pripun niki pak..jalur ajibarang-tegal macet terus buat lewat kendaraan besar..kasian anak2 sekolah g da angkutan..sopir kenek g da yg jalan, warung2 didesa g pada ke pasar, kalo ada barang harga sayur di warung naik tinggi, mau kemana-mana bingung angkutanya..semua merugi..gmn pak solusinya masa mau Ky gini terus..kalo kemarin2 mobil besar boleh jalan malem tp kok sekarang siang jalan lagi...kondisi jalan jg sangat rusak byk yg pada jatuh...MAU SAMPAI KAPAN PAK...",Selesai,"Senin, 08 September 2014 - 11:15 WIB",DINAS PERHUBUNGAN,"Bahwa kemacetan terjadi karena adanya pengalihan rute kendaraan berat ke jalur selatan akibat dari amblesnya jembatan Comal di Kab.Pemalang. pengalihan rute ini merupakan satu-satunya langkah untuk distribusi barang secara nasional yang saat ini sifatnya sementara sambil menunggu jembatan Comal selesai diperbaiki. Berdasarkan Peraturan Dirjen Perhubungan Darat Nomor SK.4156/AJ.401/DRJD/2014 tentang Pengaturan Lalu Lintas Kendaraan Angkutan Barang selama Masa Perbaikan Jembatan Comal di Kab.Pemalang Prov.Jateng, waktu pengoperasian bagi mobil barang tunggal dengan sumbu lebih dari 2 (dua) pada lintasan atau jalur tersebut adalah dibatasi dari jam 21.00 s/d 05.00 WIB. Pelanggaran terhadap ketentuan tersebut,akan dilakukan penindakan oleh Kepolisian Negara Republik Indonesia."
04 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP20147404.html,KABUPATEN TEGAL,pantura cor tegal jateng rm sahabat pom bensin ditutup preman yg sengaja menutupnya agar bisa dapat uang . jalan jadi 1 jalur . harusnya 1 bulan sdh dibuka. mohon ditangkap premannya. meresahkan sekali.,Selesai,"Selasa, 25 November 2014 - 08:26 WIB",Kepolisian Daerah Jawa Tengah,"Rujukan Laporan pengaduan masyarakat melalui laporgub.jatengprov.go.id tanggal 4 September 2014 tentang penutupan jalan oleh preman disekitar rumah makan Sahabat JL. Raya Pantura Kramat Ds. Dampyak Kec. Kramat Kab. Tegal Sehubungan dengan rujukan diatas, Kapolres Tegal telah menindak lanjuti laporan tersebut dengan memerintahkan anggota Sat Lantas Polres Tegal untuk melaksanakan kegiatan patroli di RM Sahabat JL. Raya Pantura Kramat Ds. Dampyak Kec. Kramat Kab. Tegal pada tanggal 13 November 2014. Hasil dari kegiatan patroli tersebut adalah meminta keterangan dengan cara wawancara langsung terhadap nara sumber di sekitar RM Sahabat sbb : 1. Karyawan RM Sahabat, menjelaskan tidak terdapat adanya premanisme di sekitar lokasi 2. Warga sekitar : menjelaskan tidak ditemukan adanya kegiatan premanisme di sekitar lokasi dan tidak ada penutupan jalur 3. Juru parkir RM Sahabat : menjelaskan tidak terdapat premanisme dan penutupan jalan demikian kegiatan Patroli yang dilakukan oleh Sat Lantas Polres Tegal sebagai tindak lanjut laporan saudara Rudika dan telah dilaporkan kepada Kapolda Jateng u.p Kabid TI polri  "
09 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP21871493.html,KABUPATEN TEGAL,"Yth.Bpk Gubernur,pembangunan desa di seluruh Jawa Tengah mohon segera ditindaklanjuti,khususnya di desa Prupuk Selatan kec.Margasari kab.Tegal,terima kasih",Selesai,"Senin, 17 November 2014 - 10:05 WIB",DINAS TENAGA KERJA DAN TRANSMIGRASI,Tidak ada keterangan
03 Mar 2015,https://laporgub.jatengprov.go.id/detail/LGWP53521892.html,KABUPATEN TEGAL,"Bp. Gubernur Yth, kami mendapat informasi para pemohon ijin pertambangan di wilayah Tegal dan sekitarnya merasa resah dan bingung yang telah mengeluarkan biaya Rp. 30 jt - 65 jt untuk pengurusan ijin dan pembuatan peta kpd oknum ESDM jateng sampai saat ini belum juga terbit, mohon perhatian dan dicek kebenarannya.",Selesai,"Rabu, 04 Maret 2015 - 08:50 WIB",DINAS ENERGI DAN SUMBER DAYA MINERAL,Terima kasih laporan Sdr. sudah kami terima dan segera kami tindaklanjuti.
