Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
18 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP33487131.html,KABUPATEN TEMANGGUNG,"tolong diberantas pungli, calo yang dilegalkan, pelayanan yang masih mendahulukan ""wonge dewe"" di kantor samsat temanggung. terima kasih",Selesai,"Selasa, 09 September 2014 - 09:57 WIB",INSPEKTORAT,Penanganan atas laporan dikoordinasikan dengan DPPKAD Provinsi  (Surat DPPKAD Provinsi tanggal 8 Agustus 2014 Nomor 700/2228/1.1/2014) dan sudah di check bersama dengan tim reguler koordinasi dengan Inspektorat Kabupaten Temanggung. Dari surat tersebut sudah memberi balasan dengan Nota Dinas dari Dinas Pendapatan dan Pengelolaan Aset Daerah Provinsi Jawa Tengah Nomor surat 973/76368 tanggal 4 September 2014 bahwa laporan tersebut tidak benar karena seluruh jajaran UP3AD/SAMSAT Kabupaten Temanggung tidak melakukan tindakan pungli atau calo tersebut. 
21 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP32947107.html,KABUPATEN TEMANGGUNG,Mohon pembangunan pasar legi parakan di temanggung dikawal agar sesuai jadwal sesuai spesifikasi dan tidak dikorupsi oleh pihak manapun,Selesai,"Selasa, 12 Agustus 2014 - 14:32 WIB",INSPEKTORAT,"Kasus telah ditangani oleh Inspektorat Kabupaten Temanggung dengan surat nomor 700/033/2014 tanggal 6 Oktober 2014 yang isinya bahwa semua ketentuan yang mengatur pelaksanaan pembanunan telah ditaati oleh semua stake holder, dari proses pembangunan, pelelangan aset, sumber pembiayaan, pembebanan tahun jamak dan proses pemelihan penyediaan pembangunan, dari foto yang terlampir dari surat tersebut telah terlihat proses pelaksanaan kontruksi terrealisasi secara fisik mencapai 27% pada saat pemeriksaan berlangsung, dan guna menjaga kelancaran, ketertiban dan percepatan pelaksanaan kegiatan pembangunan sesuia dengan ketentuan peraturan perundang-undangan dan tetap berjalan pada koridor yang telah ditetapkan, Inspektorat Kabupaten Temanggung akan senantiasa terus memonitoring kegiatan sampai selesai."
21 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP87803899.html,KABUPATEN TEMANGGUNG,Mohon pembangunan pasar legi parakan di temanggung dikawal agar sesuai jadwal sesuai spesifikasi dan tidak dikorupsi oleh pihak manapun,Selesai,"Kamis, 19 Juni 2014 - 07:52 WIB",DINAS PERINDUSTRIAN DAN PERDAGANGAN,Tidak ada keterangan
21 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP33984280.html,KABUPATEN TEMANGGUNG,"Perbaikan jalan Kranggan - Pringsurat telah dikerjakan sekitar 2 bulan yang lalu. Mulus memang awalnya tetapi hal ini tidak berlangsung lama, baru 2 minggu sudah banyak aspal yang mengelupas. Padahal biasanya sebelum 6 bulan masih masa retensi dan pemenang proyek kalau ditembel harusnya kualitasnya sama dengan yang pertama.",Selesai,"Rabu, 08 Maret 2023 - 14:31 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporan yang disampaikan, akan kami tindak lanjuti segera sesuai dengan ketentuan dalam kontrak"
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP21157933.html,KABUPATEN TEMANGGUNG,Pologoro 10% rubahan tanah blm byy surtipikat msh jd tradisi penyimpangan massal di plosok ds2.kab tmg shg jarang tanah di surtipikat /asnawi wanutengah rt/rw 04/01 kc prk tmg.,Selesai,"Senin, 14 Januari 2019 - 09:16 WIB",Kanwil BPN Provinsi Jawa Tengah,pologoro merupakan kebijakan dr kelurahan sendiri seharusnya tetap mengacu kepada oeraturan yg berlaku terimakasih
08 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP33110626.html,KABUPATEN TEMANGGUNG,"Tolong kepada bapak gubernur untuk menindak pungli yang ada di kota temanggung,karena disana banyak truk pasir yang lewat kota lalu belok ke kantor polisi dekat MAN temanggung,kernet nya sambil membawa uang.mohon untuk ditindaklanjuti.terima kasih",Selesai,"Jumat, 22 Mei 2020 - 09:04 WIB",Kabupaten Temanggung,"Terima kasih atas masukkanya, untuk aduan ke Pemkab Temanggung silahkan kirim SMS ke nomor 085878600900"
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP87402209.html,KABUPATEN TEMANGGUNG,"Yth Bpk Ganjar Pranowo, Pak, tolong truk bermuatan berat ditindak. Terutama yang bermuatan pasir. Untuk melabui timbangan, truk muatan pasir pada masuk tol Bawen. Muatannya masih pada penuh pak. Tolong sekali-kali diadakan operasi dan tolong kalau malam parkir di Pudak Payung dan sekitar Banyumanik depan Kubota sampai Masjid Sukun ditertibkan. Kalau menjelang malam sering buat parker truk pasir sangat mengganggu pemakai jalan yang lain. (Kusrobi, Krajan Pringsurat RT 01/02 Pringsurat, Temanggung) SM",Selesai,"Kamis, 08 Januari 2015 - 15:18 WIB",DINAS PERHUBUNGAN,"Terima kasih atas infonya, akan ditindaklanjuti dengan pemeriksaan di jalan dengan menggunakan alat timbang portable oleh UPP, Polres dan Dishub setempat."
23 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP61770840.html,KABUPATEN TEMANGGUNG,"Saya berasal dari temanggung kota tembakau tapi yang saya mau sampaikan adalah infrastruktur jalan dari temanggung sampai weleri kendal,itu adalah jalan tembus yang sangat kurang perawatan jalan sempit dan hanya tambal sulam,padahal jalan itu sangat potensial,dikala sore bus2 yang ke jakarta melewati jalan itu, blm lagi para truk2besar juga melewati jalan itu. Andai saja bapak ganjar dan bawahannya mau melebarkan jalan itu Saya yakin banyak investor akan menanam modal di kab.temanggung. terima kasih pak atas waktu bapak menanggapi laporan ini",Selesai,"Kamis, 09 Maret 2023 - 11:39 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Mas Singgih darmawan yang berbahagia, ruas jalan Welwri - Pateas - Parakan merupakan jalan provinsi yang sangat strategis untuk menghubungkan wilayah utara dan selatan Jawa Tengah. Saat ini telah dilakukan beberapa penanganan tentang lokasi lokasi-lokasi yang rawan longsor dan ambles. Pada tahun 2014 telah dialokasikan dana sebesar kurang lebih Rp. 17 Milyar untuk pelebaran dan pelapisan ruas tersebut sepanjang kurang lebih 5 Km. Tahun 2015 akan kami teruskan untuk peningkatan kapasitas dan struktur jalan. Mohon bersabar."
09 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP34062876.html,KABUPATEN TEMANGGUNG,"Bapak Gubernur, mohon ditindaklanjuti. Untuk sistem cpns di Kabupaten temanggung ada beberapa celah yang bisa menimbulkan keraguan di masyarakat mengenai transparasi datanya. Hal ini bisa terlihat dari beberapa hal :1. Sistem pemberitahuan hanya memakai NIK, jadi hanya orang yang bersangkutan yang tahu, berbeda dengan pemda yang lain yang melampirkan semua nama peserta yang lolos administrasi. Dengan tidak melampirkan file orang yang lolos bisa memunculkan peserta siluman, karena publik tidak tahu siapa yang lolos dan tidak lolos. 2. Jadwal seleksi tidak dipublish, hal ini meresahkan pendaftar yang berasal dari luar temanggung, karena mereka juga menaruh harap2 cemas, supaya surat datang saat tes belum berlangsung. Disini tidak ada keterbukaan info dari bkd mengenai jadwal runtutan seleksi cpns temanggung, dan celah ini bisa dimanfaatkan untuk menggugurkan peserta dengan cara mengirimkan kartu tes mepet dengan hari tes. Terima kasih semoga JATENG makin maju.",Selesai,"Senin, 13 Oktober 2014 - 11:53 WIB",BADAN KEPEGAWAIAN DAERAH,"Terima kasih Mas Yudi yang kami hormati, Pendaftaran seleksi  CPNS Tahun 2014 dilaksanakan secara online melalui aplikasi Panselnas (panselnas.menpan.go.id) dan aplikasi BKN (sscn.bkn.go.id) yang diintegrasikan dengan data kependudukan (NIK). Secara aplikatif program pendaftaran dan pengolahan pendaftaran tersebut dibawah kendali Panselnas, sehingga data pelamar yang dapat diolah oleh Panitia Daerah adalah data pelamar yang mendaftar secara online selama waktu pedaftaran dibuka (pelamar yang mendaftar sebelum pendaftaran dibuka dan atau sesudah pendaftaran dibuka tidak dapat diolah). Terkait dengan pemberitahuan hasil seleksi administrasi oleh Panitia Daerah baik pengumuman nominatif peserta (daftar nama) atau dengan melakukan registrasi NIK tentunya tetap harus mengedepankan transparansi. Masyarakat khususnya pelamar tetap dapat mengakses secara langsung hasilnya apakah memenuhi syarat atau tidak memenuhi syarat. Hasil seleksi adminitrasi tersebut sudah terkunci di Panselnas, sehingga Panitia Daerah tidak dapat merubah hasil seleksi  administrasi. Jadwal dari setiap tahapan CPNS juga selalu dipublikasikan oleh masing masing panitia di daerah sehingga masyarakat dapat memonitor pelaksanaannya. Pelaksanaan TKD CPNS Kabupaten Temanggung akan difasilitasi Pemerintah Provinsi Jawa Tengah pada tanggal 31 Oktober s.d 4 November 2014, sehingga apabila pelamar yang dinyatakan Memenuhi Syarat belum mendapatkan undangan dan kartu tanda peserta dipersilahkan menghubungi BKD Kabupaten Temanggung. Demikian penjelasan kami, selamat beraktivitas semoga sukses"
09 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP39336088.html,KABUPATEN TEMANGGUNG,"Bapak Gubernur, mohon ditindaklanjuti. Untuk sistem cpns di Kabupaten temanggung ada beberapa celah yang bisa menimbulkan keraguan di masyarakat mengenai transparasi datanya. Hal ini bisa terlihat dari beberapa hal :1. Sistem pemberitahuan hanya memakai NIK, jadi hanya orang yang bersangkutan yang tahu, berbeda dengan pemda yang lain yang melampirkan semua nama peserta yang lolos administrasi. Dengan tidak melampirkan file orang yang lolos bisa memunculkan peserta siluman, karena publik tidak tahu siapa yang lolos dan tidak lolos. 2. Jadwal seleksi tidak dipublish, hal ini meresahkan pendaftar yang berasal dari luar temanggung, karena mereka juga menaruh harap2 cemas, supaya surat datang saat tes belum berlangsung. Disini tidak ada keterbukaan info dari bkd mengenai jadwal runtutan seleksi cpns temanggung, dan celah ini bisa dimanfaatkan untuk menggugurkan peserta dengan cara mengirimkan kartu tes mepet dengan hari tes. Terima kasih semoga JATENG makin maju.",Selesai,"Jumat, 10 Oktober 2014 - 15:43 WIB",BADAN KEPEGAWAIAN DAERAH,"Terima kasih Mas Yudi yang kami hormati, Pendaftaran seleksi  CPNS Tahun 2014 dilaksanakan secara online melalui aplikasi Panselnas (panselnas.menpan.go.id) dan aplikasi BKN (sscn.bkn.go.id) yang diintegrasikan dengan data kependudukan (NIK). Secara aplikatif program pendaftaran dan pengolahan pendaftaran tersebut dibawah kendali Panselnas, sehingga data pelamar yang dapat diolah oleh Panitia Daerah adalah data pelamar yang mendaftar secara online selama waktu pedaftaran dibuka (pelamar yang mendaftar sebelum pendaftaran dibuka dan atau sesudah pendaftaran dibuka tidak dapat diolah). Terkait dengan pemberitahuan hasil seleksi administrasi oleh Panitia Daerah baik pengumuman nominatif peserta (daftar nama) atau dengan melakukan registrasi NIK tentunya tetap harus mengedepankan transparansi. Masyarakat khususnya pelamar tetap dapat mengakses secara langsung hasilnya apakah memenuhi syarat atau tidak memenuhi syarat. Hasil seleksi adminitrasi tersebut sudah terkunci di Panselnas, sehingga Panitia Daerah tidak dapat merubah hasil seleksi  administrasi. Jadwal dari setiap tahapan CPNS juga selalu dipublikasikan oleh masing masing panitia di daerah sehingga masyarakat dapat memonitor pelaksanaannya. Pelaksanaan TKD CPNS Kabupaten Temanggung akan difasilitasi Pemerintah Provinsi Jawa Tengah pada tanggal 31 Oktober s.d 4 November 2014, sehingga apabila pelamar yang dinyatakan Memenuhi Syarat belum mendapatkan undangan dan kartu tanda peserta dipersilahkan menghubungi BKD Kabupaten Temanggung. Demikian penjelasan kami, selamat beraktivitas semoga sukses"
