Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP51047123.html,KABUPATEN WONOGIRI,Asalamualaikum.pak Ganjar.pak tolong minta perhatianya jalan slogohimo - purwantoro..tolong di perbaiki...sudah banyak yang rusak..tolong banget...bahaya bagi yg melintas..trimakasih pak.,Selesai,"Kamis, 09 Maret 2023 - 11:26 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya Pembaca Jateng Pos Mohon dapat bersabar, perbaikan tambal lubang sudah dimulai dari biting dan wonogiri secara bertahap ruas jalan wonogiri - biting dilaksanakan peningkatan struktur dan pelapisan aspal TA. 2014 dianggarkan sekitar 4, 75 M untuk pelebaran dan aspal sekitar 2 Km."
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP63122751.html,KABUPATEN WONOGIRI,"Pak tolong Periksa Jembtan Timbang di W0n0giri, saya kok curiga , banyak truck muatan yg lewat jalan tikus.m0h0n dtndak lanjuti. Trimakasih",Selesai,"Kamis, 08 Januari 2015 - 11:40 WIB",DINAS PERHUBUNGAN,"Perlu kami beritahukan bahwa laporan saudara sudah diinformasikan dan ditindaklanjuti dengan memasang rambun dan pengawasan bersama Unit Pelayanan Perhubungan, Polres dan Dishub Kabupaten Setempat. Terima kasih"
26 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP92308928.html,KABUPATEN WONOGIRI,"pengalaman,mohon tindak lanjuti.bikin ktp terlambat di wonogiri di denda 50.000.apa betul dana itu masuk kas daerah atw gak.itu sudah berlangsung lama",Selesai,"Jumat, 27 Juni 2014 - 14:09 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami selesaikan terima kasih
25 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP87517728.html,KABUPATEN WONOGIRI,"JALAN RUSAK SEPANJANG KEC.BATURETNO,KEC.GIRIWOYO.KEC.GIRITONTRO,KEC.GIRIBELAH,KEC.PRACIMANTORO SUDAH MASYARAKATNYA TERGOLONG TIDAK MAMPU DITAMBAH PENDERITAAN JALAN RUSAK.MOHON PERHATIANNYA PAK GUBERNUR",Selesai,"Kamis, 09 Maret 2023 - 11:39 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas masukannya, Mas Thomas Wicahyo. Kondisi saat ini ruas-ruas jalan tersebut dilakukan pemeliharaan rutin atau tambal lubang sehingga dapat berfungsi secara fungsional. Pada tahun ini kami usulkan pembangunan dengan paket bantuan luar negeri (RRDP) dengan biaya anggaran Rp. 172 Milyar. Mudah-mudahan pada bulan November 2014 sudah tanda tangan kontrak."
31 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP67090337.html,KABUPATEN WONOGIRI,"pak ganjar mohon jalan raya dari pracimantoro sampai baturetno wonogiri diperbaiki,saat ini sudah di tambal sulam tetapi tidak maksimal,jaman persiden suharto hampir tiap tahun di perbaiki jadi mulus terus,malu kl di bandingkan dg kabupaten tetangga wonosari jalanya udah halus semua.terimakasih atas perhatianya",Selesai,"Kamis, 09 Maret 2023 - 11:41 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas masukannya, Saudara wisnu st Kondisi saat ini ruas-ruas jalan tersebut dilakukan pemeliharaan rutin atau tambal lubang sehingga dapat berfungsi secara fungsional. Pada tahun ini kami usulkan pembangunan dengan paket bantuan luar negeri (RRDP) dengan biaya anggaran Rp. 172 Milyar. Mudah-mudahan pada bulan November 2014 sudah tanda tangan kontrak."
02 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP23775722.html,KABUPATEN WONOGIRI,Pak gub..tlng di SIDAk tempat KIR di kab. Wonogiri. byk terjadi pungli khususnya untuk kendaraan baru ada tmbhan biaya 250rb,Selesai,"Selasa, 23 September 2014 - 09:04 WIB",DINAS PERHUBUNGAN,Laporan Saudara telah kami sampaikan kepada Hubkominfo Kab. Wonogiri melalui surat Nomor 486.6/24.341
11 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP76823584.html,KABUPATEN WONOGIRI,"Kepada Yth Bpk Gubernur jateng,, saya kecewa dengan penyelengaraan cpns khususnya daerah wonogiri yg awalnya ada formasi pranata komputer (sarjana komputer) stelah mau dftar kok dihapus dan di ubah mnjadi sarjana geologi,, apa ini ada hub dgn KKN ?? mohon di tindak lanjuti",Selesai,"Kamis, 11 September 2014 - 14:09 WIB",BADAN KEPEGAWAIAN DAERAH,"Terimakasih atas aduannya Kami telah koordinasikan ke pihak terkait, bahwa pengusulan rincian alokasi formasi CPNS Kabupaten Wonogiri adalah Jabatan Penyelidik Bumi dengan pendidikan S-1 Geologi. Di dalam pengumuman portal panselnas, tertulis jabatan pranata komputer dengan pendidikan S-1 geologi/komputer, penulisan pengumuman tersebut diralat oleh panselnas dengan jabatan dan kualifikasi pendidikan yang benar ""Jabatan Penyelidik Bumi dengan pendidikan S-1 Geologi. Bahwa hal tersebut tidak ada unsur kesengajaan dari instansi di daerah (Kabupaten Wonogiri) ataupun dari panselnas, namun justru menyesuaikan dengan formasi yang telah ditetapkan oleh Menteri PAN dan RB. Kepada Saudara dapat kami informasikan bahwa kesempatan untuk mendaftar tetap terbuka lebar, sehingga bagi para pelamar agar mencermati informasi di website panselnas (panselnas.menpan.go.id) untuk memilih instansi dan mendapatkan username dan password, selanjutnya langkah berikutnya melakukan pendaftaran di website BKN (sscn.bkn.go.id) dan memilih formasi jabatan sesuai dengan kualifikasi masing-masing pelamar. Demikian untuk menjadikan maklum dan selamat mencari serta berkompetisi."
13 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP69205874.html,KABUPATEN WONOGIRI,"Yth. Pak Gubernur, saya laporkan kerusakan jln KH Agus Salim - Surakarta (jln provinsi) yg rusak karena galian sanitasi tahun 2000an yg sampe sekarang tidak direcovery dengan tepat (tambal sulam) sehingga lubang terus menerus ada. Kerusakan sepanjang ruas jalan (-/+ 1 km). Sangat tidak nyaman untuk dilewati, khususnya sepeda motor. Berkubang kalau hujan. Dan Ini ruas utama Solo - Skh - Wonogiri yang berada di tengah kota Solo. Mohon diaspal ulang, Pak. Matur nuwun.",Selesai,"Kamis, 09 Maret 2023 - 11:43 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Mas Setiaji Arif yang terhormat mohon maaf sebelumnya atas tanggapan dari kami. Yang kami tanggapi sebenarnya untuk komentar dari saudara Parjono. Karena kesalahan penggunaan aplikasi jadi tanggapan kami yang pertama kepada saudara Setiaji Arif menjadi hilang 1. Untuk  Jawaban masalah tanah kas desa kemudo, kec. prambanan yang perlu kami konfirmasi dengan kab. klaten (laporan dari Saudara Parjono); 2. Untuk Ruas Jl. KH. Agus Salim dan Radjiman (Surakarta) merupakan jalan provinsi dan TA. 2015 akan dilapis ulang. Terima kasih."
17 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP56556918.html,KABUPATEN WONOGIRI,"Dear Pemprov Jateng, Sekolah Negeri Sudah Mendapat Dana BOS tapi masih menarik dana sukarela kepada wali murid (Sekolah Negeri Wil. Pracimantoro). Mohon dilakukan penyelidikan dan penelusuran. Karena hal tersebut cukup memberatkan wali murid. Apalagi mayoritas penduduk di Kec. Pracimantoro merupakan masarakat pedesaan. Mohon maaf data pengirim disembunyikan karena ada indikasi ancaman. Demikian disampaikan.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
17 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP40263048.html,KABUPATEN WONOGIRI,"Yth Pak. Ganjar. Mohon Pengaspalan Jalan di desa kami Desa Watangrejo Kecamatan Pracimantoro Kab. Wonogiri. Karena Dari dulu hanya dilakukan pengecoran kecil-kecil kanan dan kiri jalan. Itupun pengerjaanya dilakukan masyarakat secara gotong royong. Kalau gak salah dapat upah 7rb-12rb per hari, tapi apabila tidak ikut gotong royong harus bayar denda sebesar upah tersebut atau cari orang pengganti. Warga desa sempat usul untuk diaspal saja daripada cuma pengecoran kecil-kecil kanan kiri jalan, tap oleh kepala desa dijawab apabila diaspal nanti tidak ada perbaikan lagi kalau ada kerusakan. Demikian disampaikan, mohon tindak lanjut Pak Gubernur. Karena saya sanksi dengan kinerja aparatur desa kami dan juga ada indikasi korupsi.",Selesai,"Kamis, 09 Maret 2023 - 11:44 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Mas Yanto yang berbahagia, Pemprov.Jawa Tengah dapat membantu perbaikan jalan desa berupa pemberian bantuan aspal kepada masyarakat melalui Dinas Bina Marga. Mekanismenya adalah proposal bantuan aspal diajukan ke gubernur melalui Biro Bangda dan Dinas Bina Marga Provinsi Jateng. Proposal yang diajukan harus diketahui oleh Bupati atau Walikota. Bantuan tersebut merupakan stimulasi untuk memberdayakan swadaya masyarakat."
