Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP53948279.html,KOTA MAGELANG,"15. Yth Pak Gubernur, jalan rusak dan nyawa melayang akibat truk pasir sudah tak terhitung nilainya. Untuk itu saya usul agar bak truk pasir dibatasi tinggi, panjang dan lebarnya yang disesuaikan dengan tonase yang seharusnya (bak truk sekarang masih terlalu tinggi sehingga masih bisa ditambah muatan), agar kejadian di Jambu 9 Juni 2014 jadi yang terakhir. Tks. (Mukhlis Wibowo, Karangkidul 611, RT 1 RW 7 Rejowinangun Selatan, Magelang Selatan)",Selesai,"Kamis, 08 Januari 2015 - 15:12 WIB",DINAS PERHUBUNGAN,sudah dilakukan pengetatan dimensi bagi mobil barang yang baru sesuai Sertifikat Registrasi Uji Tipe (SRUT)
27 Nov 2014,https://laporgub.jatengprov.go.id/detail/LGWP45756788.html,KOTA MAGELANG,"Selamat sore Pak Gubernur kebanggaan rakyat Jateng, Bapak Soegeng R yang merupakan mantan pejabat Dinas Perindustrian dan Perdagangan Jawa Tengah . Karena kejujuran beliau selama menjalankan tugas negara sampai dengan masa pensiun, beliau tidak memiliki rumah pribadi sehingga untuk sementara memanfaatkan rumah dinas di Jalan Tentara Pelajar No 26 Kota Magelang. Beberapa bulan yang lalu DPPAD memerintahkan kami untuk mengosongkan rumah dinas dimaksud dan waktu itu kami dijanjikan oleh kepala aset Dppad Jateng akan diberikan pesangon sebagai kompensasi apabila kami bersedia mengosongkan rumah tersebut. Akan tetapi setelah kami mengosongkan rumah tersebut sampai saat ini uang pesangon yang dijanjikan tidak pernah kami terima. Mohon bantuan Bapak Gubernur untuk membantu masalah kami, maturnuwun.",Selesai,"Selasa, 02 Desember 2014 - 13:30 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Berkenaan laporan Ibu Indah Sukamti pada tanggal 27 November 2014, kami sampaikan bahwa rumah yang dihuni oleh Bapak Soegeng R, statusnya bukan Rumah Dinas akan tetapi sebagai kantor cabang Dinas Perindustrian dan Perdagangan Jawa Tengah Penghunian tersebut bertentangan dengan Peraturan Daerah Provinsi Jawa Tengah Nomor 2 Tahun 2008 Tentang Pengelolaan Barang Milik Daerah karena tanpa seizin dari Pemerintah Provinsi Jawa Tengah selaku pemilik aset Kegiatan pengosongan bangunan kami laksanakan dalam rangka pengamanan aset milik Pemerintah Provinsi Jawa Tengah yang berpedoman kepada Perda No. 2 Tahun 2008 Pasal 39 (1) "" Pengelola barang, pengguna barang dan kuasa pengguna barang wajib melakukan pengamanan barang milik daerah yang berada dalam penguasaannya."" Sehubungan dengan uang tali asih, sejak Tahun anggaran 2012 Pemerintah Provinsi Jawa Tengah sudah tidak lagi menganggarkan tali asih untuk pihak-pihak yang menempati aset milik Pemerintah Provinsi Jawa Tengah secara ilegal. Demikian perihal ini kami sampaikan, atas perhatiannya diucapkan terima kasih.  "
17 Feb 2017,https://laporgub.jatengprov.go.id/detail/LGSM60610534.html,KOTA MAGELANG,"untk bpk ganjar rmh kami sdh bobrok brok tpi nga prnh dpt bantuan sampai srng dan jga jualan angap saja pasaran,dan blm prnh, dpt bantuan sm sekali mknya sy nga brani sbtkan nma dan alamat kami,soalnya kami pernh mnta sama pengurus mlh di salahin apa lgi kami sdh 4x ngmplkan persyaratan bntuan rumh itu pun yg mnta klrhan tpi sampai skrng jga nga trn, mlh rmh yg lbh iayak dpt bantiuan, dan trs syrat sy yg 4x itu bwat nma yg lain apa di klrhn sy tdk tau, dan sy png tnya tpi sy tkt tmbh di kucilkan lgi sprti yg sdh tepatnya di magelang tengah,",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
03 Jul 2015,https://laporgub.jatengprov.go.id/detail/LGSM04614785.html,KOTA MAGELANG,"LAPOR Saya ke disnaker kota magelang utk konsultasi soal phk. Petugas bagian pengawasan industri tahu banyak pelanggaran di pabrik sabun dan plastik besar di magelang tp tidak ada tindakan apa-apa, ada apa ini pak Ganjar? Karyawan dirugikan tp tak berdaya, tolonglah ditindak pak",Selesai,"Selasa, 27 September 2016 - 13:49 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah selesai
28 Jan 2016,https://laporgub.jatengprov.go.id/detail/LGWP01632390.html,KOTA MAGELANG,"Birokrasi bikin E-KTP semakin susah dan Lama di kabupaten & kota magelang. Pembuatan E-KTP cuma ada 1 kantor pembuatan yaitu di Capil kota magelang, kenapa bisa seperti itu dan bisa bikin perlambatan urusan administrasi. Kenapa setiap kecamatan tidak dikasih alat untuk pembuatan E-KTP. Terus apa Gunanya ada Kantor kecamatan? Padahal kantor kecamatan adalah pelayanan publik yg diutamakan.kenapa mesti dijadikan satu kantor untuk melayani wilayah kabupaten dan kota?",Selesai,"Senin, 26 September 2016 - 13:58 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah selesai            
17 Feb 2016,https://laporgub.jatengprov.go.id/detail/LGWP85119174.html,KOTA MAGELANG,"Lapor pak Gub.. desa kami Banyuurip, Tegalrejo, Kab. Magelang (1) Selalu krisis air Beberapa tahun ini sumur-sumur selalu kering setelah musim hujan lewat. Dari dulu hingga sekarang, pengadaan aliran air bersih hanya wacana saja. untuk mendapatkan air, harus beli dari tangki dari Kota Magelang. dengan bayar standar, air datang lama, bisa besok atau 2 hari lagi (kalau tidak lupa antar). Dengan tambahan 50-100rb, 2 jam datang. Tempat kami bukan daerah gersang, lebih banyak pohon drpd rumahnya. Mohon jangan menyalahkan kami karena penggundulan lahan. Untuk itu kami minta segera diwujudkan pengadaan air bersih. Jika itu dari Pemkot Magelang, kami minta digratiskan karena mereka sejak beberapa tahun ini gratis membuang sampah di desa kami. (2) TPA tidak berijin. Desa kami menjadi sasaran untuk menaruh sampah dari Kota Magelang. Selama ini mereka tidak memberi kompensasi apa-apa kepada rakyat Banyuurip. Saya termasuk warga yang merasa tidak nyaman dengan bau sampah ini. malu pada sanak saudara atau tamu jika mereka datang dan bernafas dg bau sampah ini. Rumah saya berada di jarak 1,5 km selatan TPA. jelas keberadaan TPA ini membuat lingkungan tidak sehat. memang benar bagi pemulung itu bisa menjadi penghasilan. namun kami bukan semuanya pemulung. Pemulung pun banyak yang bukan warga banyuurip. Beri kami solusi terbaik. menutup dan membersihkan TPA hari ini atau mengolah sampah supaya tidak mendatangkan jutaan lalat dan bau menyengat. (tentu saja dengan jaminan dan kepastian, bukan hanya kesanggupan pihak TPA). Sekali waktu tolong sidak desa kami saat musim hujan (penuh lalat) dan pada saat musim kemarau (kekeringan)",Selesai,"Rabu, 27 Maret 2019 - 16:36 WIB",DINAS LINGKUNGAN HIDUP DAN KEHUTANAN,Terima kasih
20 Jun 2016,https://laporgub.jatengprov.go.id/detail/LGWP01518637.html,KOTA MAGELANG,"SLBN Kota Magelang kekurangan Guru Jurusan B. Saat ini Guru Kelas satu mengajar 12 anak (idealnya satu guru mengajar 4 anak), belum ditambah dengan siswa baru yang masuk Tahun Ajaran 2016/2017. Kepala Sekolah tidak bersedia mencari Guru Wiyata Bakti dengan alasan menambah biaya untuk menggaji guru Wiyata Bakti, setiap ada yang melamar selalu ditolak dengan berbagai alasan. Mohon bantuan Bapak untuk memberi solusi yang terbaik, mengingat pentingnya pendidikan anak berkebutuhan khusus yang memang memerlukan perhatian yang lebih. Terima Kasih.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
06 Aug 2016,https://laporgub.jatengprov.go.id/detail/LGWP00487472.html,KOTA MAGELANG,"Tanpa pemberian Upah Lembur dan Kerja karyawan Tidak Sesuai UU Ketenaga Kerjaan Yth. Kementrian Tenaga Kerjaan Saya karyawan dari PT Permodalan Nasional Madani (persero), cabang Kota Magelang. Saya ingin melaporkan atas ketidakpuasan saya bekerja di PT. PNM yang katanya BUMN ini. Dalam perjanjian kerja yang tertera dalam OL yang saya tandatangani, disebutkan bahwa ""jam kerja pnm adalah jam 8-16 untuk hari Senin-Jumat, dan jam 8-14 untuk hari Sabtu"". Memahami hal tersebut, saya tidak keberatan dengan jam kerja yang standar dengan gaji yang hanya sebatas UMR plus serta benefit asuransi, bpjs dan uang transport. Tapi tetap, tidak lebih dari Rp 1.700.000,-. Akan tetapi, yang saya harapkan tidak sesuai dengan kenyataan di lapangan. Untuk hari senin-jumat masuk kerja jam 8, tetapi jangankan pukul 4 dapat pulang kantor, justru manager unit menginginkan untuk para marketing dan kolektor minimal kembali ke kantor pukul 17.00 (sudah diluar jam kerja), ditambah lagi menunggu penyelesaian administrasi kantor. Alhasil kami baru dibolehkan pulang paling cepat pukul 20.00 (empat jam lebih dari perjanjian kerja) dan kami tidak mendapat upah lembur. Itu dirasakan oleh semua bagian dari Oprasional dan Lapangan. Terlebih yang miris lagi, diakhir bulan pada hari Minggu kami harus masuk kerja closing sistem sampai pukul 23.00 , Tanpa diberi Upah Lembur, apabila kami tidak mengikuti perintah kami selalu diberi ANCAMAN akan dikeluarkan. Sudah sangat tidak masuk akal jam kerja nya. . Tidak ada uang lembur terhitung perjam yang kami dapatkan. Mengingat ""undang no.13 tahun 2003 tentang ketenagakerjaan, khususnya pasal 77 sampai dengan pasal 85. Pasal 77 ayat 1, undang-undang no.13/2003 mewajibkan setiap pengusaha/perusahaan untuk melaksanakan ketentuan jam kerja. Ketentuan jam kerja ini telah diatur dalam 2 sistem seperti yang telas disebutkan diatas yaitu: ø 7 jam kerja dalam 1 hari atau 40 jam kerja dalam 1 minggu untuk 6 hari kerja dalam 1 minggu; atau ø 8 jam kerja dalam 1 hari atau 40 jam kerja dalam 1 minggu untuk 5 hari kerja dalam 1 minggu. "" Dengan adanya uu tersebut, apakah hanya berlaku untuk perusahaan swasta saja? BUMN apakah boleh melanggar uu tersebut? Mohon bantuannya , terima kasih",Selesai,"Jumat, 23 September 2016 - 09:16 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah selesai
05 Oct 2016,https://laporgub.jatengprov.go.id/detail/LGWP99064540.html,KOTA MAGELANG,"Perihal pungli di samsat kota Magelang..., di samsat / DPPKAD kab. Magelang juga ada pungli..., setiap akan urus STNK maka saat menuju sayap kiri gedung ( teras depan kiri ged.) kita akan ditanya profesi kita & tahu2 ditarik 30 rb tanpa kuitansi..., lalu kita diminta ke loket sebelahnya, juga diminta 20 rb tanpa kuitansi. Ke 2 loket tsb diawaki oleh Polantas. Sdg loket2 lain yg diawaki petugas samsat & BRI tak ada pungutan. Itu pengalaman saya th 2015 pak gub.Untuk itu sy usulkan agar semua loket yg berhubungan dgn masyarakat di Samsat dilayani oleh petugas Samsat sendiri, kecuali counter BRI, sdgkan petugas Poltas tak boleh berhub. langsung dgn pengunjung Samsat, jd di loket pengesahan/identifikasi STNK misalnya, petugas yg menerima berkas dari masyarakat adalah petugas Samsat sendiri.., bukan Poltas, baru kemudian oleh petugas loket diserahkan ke meja Poltas. Saya rasa itu akan memudahkan pihak Samsat mengawasi perilaku pegawainya sendiri dibandingkan hrs menehur Poltas yg bukan anak buahnya langsung..., namun perbuatan Poltas tsb sangat mencoreng citra Samsat. Terima kasih Pak Gubernur..., adik kelas sy di UGM dulu.....",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
03 Nov 2016,https://laporgub.jatengprov.go.id/detail/LGWP88884396.html,KOTA MAGELANG,"Lapor Gub..... Sy sdh satu penerima bantuan UEP dari kemensos, pembuatan rekening BNI beserta saldo bantuan sudah fix 14 oct 2016.pelatihan dihotel bergview blabak magelang yg dimulai pada17oct2016 sudah selesai, seperti yg disampaikan Bp. Dhian wakil dari dinsos kota magelang dan Ibu Atun dirjen dari Sahabat perempuan bahwa selesai pelatihan buku akan dibagikan, pada21oct2016 sy dgn beberapa perwakilan peserta pelatihan penerimaan UEP dtg ke kantor SP ds. Dangean muntilan, bermaksud bertamu utk menanyakan kelanjutan pembagian buku tabungan, tp pihak staf kantor SP bu ari dan bu sri marah2.bahkan mengatakan sy preman. Profokator demo dan bisa dicancle bantuan tsb.beberapa peserta pelatihan sdh melakukan pencairan.tp uang dan buku dipegang kan oleh bu sri&mbak diah, dibuatkan kwitansi pembelanjaan sejumlah3jt tp sebetulnya yg 500rb utk mereka berdua.kami sdh lapor disos magelang karna sblm kami menyerahkan surat pernyataan permohonan maaf bermaterai, karna dianggap profokator/mengajak beberapa perwakilan beserta bertanya soal buku tsb, dianggap demo, dan ada pasal mengajak katanya. Maka SP blm bisa memutuskan bantuan tsb akan dikasihkan/dicancle. Kami harus bagaimana pak yg4org dianggap demo ini?karena surat tsb ditujukan kemensos, SP, polsek kab magelang, yg sbtlnya kami sendiri tdk tau kesalahan kami apa. Mohon bapak membantu, karna ternyata pihak dari Dinsos taunya tabungan Sudah dibagikan dan kami sudah mulai buka usaha. MOHON DENGAN SANGAT PAK BAGAIMANA DAN APA YANG HARUS KAMI LAKUKAN.",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
