Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
15 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP01249104.html,KOTA PEKALONGAN,"Pak ganjar,di Kota pekalongan,masih tedapat banyak pungli pada kantor layanan publik.Kasihan rakyat miskin pak.tolong ditindak tegas pak.",Selesai,"Selasa, 12 Agustus 2014 - 14:04 WIB",INSPEKTORAT,Penanganan atas laporan dikoordinasikan dengan Inspektorat Kota Pekalongan (Surat Inspektur Provinsi Jawa Tengah tanggal 8 Agustus 2014 Nomor 700/2233/1.1/2014).
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP53636480.html,KOTA PEKALONGAN,"Slmet siang pak.Ganjar bpk yg kami hormati... Tndakan aparat yg tugas di Pos Grogol kota Pkalongn sudah berlebihan (Arogan) dlm prjalanan dr Smrang ke Jakrta pd jumat 16 Mei 2014, skitar pk. 12.00 siang mobil sy di tilang pdhal setiap ada lmpu Merah, di prampatan jalan yg ada dikota Pkalongn gk pernh main Spekulasi nerak lmpu merah..makanya seisi mobil yg sy tumpangi brsama keluarga pd heran...Polisi itu Pelindung apa penyandung.?...Tolong dngn hormat kpd Bp. Ganjar...Aparat polisi yg demikian lebh pantas di Pecat saja Pak.!!!! ( trim).",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
14 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP71949113.html,KOTA PEKALONGAN,di MAN 2 Pekalongan muatan lokal bahasa jawa untuk kurikulum 2013 mulai tahun ajaran baru ini 2014/2015 dihapuskan oleh kepala sekolah sehingga guru bahasa jawanya yang masih pengabdian terancam keluar....apakah tidak kasihan gurunya & apakah sekolah tidak mau melestarikan kebudayaan daerah sendiri (jawa)?? mohon pak gubernur / instansi terkait bertindak demi kelestarian budaya daerah dijateng & sebagai catatan sekolah lainnya..terima kasih banyak.,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
16 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP11814914.html,KOTA PEKALONGAN,"Mohon maaf pak Gub... saya kebetulan seorang yang dulu tinggal di Kota Pekalongan, tapi seiring berjalan waktu saya pindah ke Kabupaten Pekalongan. Padahal e-KTP saya pas foto di Kota Pekalongan, nah, sekarang di Kabupaten Pekalongan saya sudah foto lagi, tapi belum jadi sampai saat ini. Bagaimana Prosedur yang benar pak Gub. agar saya bisa memiliki e-KTP. Matur Nuwun Pak Gub....",Selesai,"Kamis, 17 Juli 2014 - 12:12 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah kami selesaikan. Terima Kasih
25 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP37213176.html,KOTA PEKALONGAN,Pak gubernur tolong tegaskan dinshub kota pekalongan untuk tegas dlm menertipkan tarif parkir yg sudah diluar perda.diluar ketentuan.pungutan premanisme..masyrkt resah..tarif yg harusnya 500perda.juru parkir memungut 2rb? Sampai kini tidak ada ketegasan dinshub pekalongan.. Kalau perlu sidak.. Trims,Selesai,"Sabtu, 26 Juli 2014 - 10:24 WIB",DINAS PERHUBUNGAN,"terima kasih,"
27 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP89462059.html,KOTA PEKALONGAN,"telah terjadi pungli oleh oknum DISHUB di jalan raya depan terminal pekalongan jam 2 dini hari 27/8/2014 ,oknum tersebut meminta jatah dr bus AKAP ataupun mikrobus yg saya tumpangi tanpa kwitansi .oknum tersebut berdiri di tengah jalan dengan membawa senter dan meminta uang di setiap bus yang lewat",Selesai,"Senin, 01 September 2014 - 08:17 WIB",DINAS PERHUBUNGAN,"menanggapi laporan saudara, perlu kami sampaikan bahwa laporan saudara telah kami koordinasikan pada Dinas Perhubungan,Pariwisata dan Kebudayaan Kota Pekalongan dengan Nomor surat 486.6/23.416 pada tanggal 28 Agustus 2014. mohon untuk menunggu tindak lanjut dari instansi terkait. terima kasih"
03 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP52548887.html,KOTA PEKALONGAN,Karyawan Non PNS BLUD RSUD Bendan Kota Pekalongan sudah bekerja selama 5 Tahun lebih (per 01/08/2009) tapi masih berstatus kontrak. Mohon Pak Ganjar tindak lanjuti karena di daerah lain seperti misal di Jakarta Karyawan NON PNS BLUD sudah menjadi Pegawai Tetap di tahun ke-3,Selesai,"Sabtu, 04 Oktober 2014 - 11:36 WIB",BADAN KEPEGAWAIAN DAERAH,"Terimakasih atas laporan Saudara. Perlu kami sampaikan, bahwa kewenangan pengangkatan pegawai Non PNS BLUD tidak tetap oleh Kepala/ Pemimpin BLUD, dengan menggunakan anggaran operasional BLUD sesuai kemampuan dan kebutuhan instansi BLUD serta Pemerintah Daerah masing-masing. Masa Pengangkatan Pegawai Non PNS BLUD tidak tetap dalam kurun waktu tertentu (1 tahun) dan dapat diangkat kembali ditahun berikutnya apabila berdasarkan evaluasi penilaian kinerja dinilai baik. Perlu kami sampaikan, bahwa mekanisme pengangkatan pegawai non PNS BLUD diatur oleh masing-masing Kepala Daerah atas usul dari Pemimpin BLUD sesuai dengan Peraturan Pemerintah Nomor 23 Tahun 2005 tentang Pengelolaan Keuangan Badan Layanan Umum  jo Peraturan Pemerintah Nomor 74 Tahun 2012 tentang Perubahan Atas Peraturan Pemerintah Nomor 23 Tahun 2005 tentang Pengelolaan Keuangan Badan Layanan Umum. Untuk pengangkatan sebagai pegawai tetap/PNS tahun 2014 dilaksanakan sesuai prosedur ketentuan pengadaan CPNS yang dilakukan secara nasional dan pelamar yang memenuhi persyaratan harus mengikuti seleksi dan berkompetisi secara sehat melalui Tes Kompetensi Dasar dengan kewajiban menggunakan sistem CAT. Demikian untuk menjadikan maklum dan terus semangat mengabdi"
07 Jan 2015,https://laporgub.jatengprov.go.id/detail/LGWP33255707.html,KOTA PEKALONGAN,pak gubernur yth: mohon untuk dinshub klau perlu walikota pekalongan untuk di tegur masalah perparkiran yg memungut sdh premanisme motor 2 rb..warga keberatan karna pemkot dan dinshub sudah ada perda dan membuat papan tarif yg besar dan banyak...yg sudah terpampang dimana2..tapi tidak dijalankan...seperti setengah hati..pdhl di perda motor 500...tapi juru parkir seeenaknya memaksa 2 rb..tepatnya dpn hpermat dan alun2 pekalongan..walikota selalu plin plan...membuat perda selalu tdk ada tindakan...dulu larangan pasar tiban di bahu jln...di demo ..ehh lsg perda di cabut???? anehh... ngk seperti risma.,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
17 Feb 2015,https://laporgub.jatengprov.go.id/detail/LGWP26337408.html,KOTA PEKALONGAN,"Rob ga pernah selesai didaerah krapyak kidul pekalongan jawa Tengah, dr saya lahir thn 1985 blm pernah ada pengerukan kali sepanjang krapyak kidul, MOHON TINDAK LANJUTNYA PAK GUB",Selesai,"Jumat, 27 Februari 2015 - 09:44 WIB",DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG,"Hasil cek lapangan menyimpulkan bahwa kel. Krapyak Kec. Pekalongan Utara Kota Pekalongan masuk sistem Sungai Kupang, banjir/rob yang masuk lewat kali kupang yang tidak bertanggul dan penuh hunian ke hulu 3 km dari pantai. Telah dilakukan kajian oleh BBWS Pemali Juana tahun 2014, saat ini sedang dilaksanakan oleh Kota Pekalongan pembuatan parapet 200m, sehingga belum menyelesaikan masalah. selanjutnya akan dikoordinasikan BBWS Pemali Juana dan Dinas PSDA Prov. Jateng. Terima Kasih"
20 Apr 2015,https://laporgub.jatengprov.go.id/detail/LGWP54282025.html,KOTA PEKALONGAN,"yth gubernur jateng Mohon dievaluasi kinerja Camat Pekalongan Timur Kota Pekalongan sdr.widarjanto SH.M Hum yang arogan dan Korup sangat meresahkan kami Para lurah, staff dan perangkat desa sekecamatan Pekalongan Timur, sdr widarjanto menilep dana pam Linmas Pileg 2014 ditingkat kecamatan, menilep SPJ pam pasar tiban , Mark up dan menilep dana akselerasi kecamatan di bidang penggadaan kontainer sampah, Mohon Gubernur turun karena walaupun sudah ada temuan oleh BPK dan Inpektorat belum ada tindakan apapun, Terima kasih.. Mohon diprioritaskan Laporan Kami Paguyuban Lurah Kota Pekalongan",Selesai,"Kamis, 30 April 2015 - 14:54 WIB",INSPEKTORAT,Berdasarkan laporan yang disampaikan via email pakenyong@gmail.com pada tanggal 28 April 2015 jam 13:42 & 29 April 2015 jam 08.17 dengan No.IP 36.80.120.245 menyatakan bahwa laporan telah dicabut.  Terima Kasih
