Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP58591117.html,KOTA SALATIGA,Wilayah Salatiga dan sekitarnya pupuk urea langka. Kalau ada khusus buat kelompok tani dan kalau beredar luar kelompok mencapai Rp 165 ribu. Emang yang butuh urea kelompok tani tow? Padahal yang bukan anggota kelompok tani banyak.,Selesai,"Kamis, 14 Agustus 2014 - 07:41 WIB",DINAS PERTANIAN DAN PERKEBUNAN,"Aturan dibuat dengan maksud agar pupuk bersubsidi jatuh ketangan yang berhak, yaitu petani kecil yang luas lahannya kurang dari 2 ha. Oleh karena itu dalam rangka memudahkan penyaluran, petani harus berkelompok (menjadi anggota kelompok tani ) dan menyusun Rencana Difinitif Kebutuhan Kelompok ( RDKK ) sehingga telah terakomodasi dalam perencanaan dan Insya Allah akan dapat pupuk yang dibutuhkan."
12 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP08950473.html,KOTA SALATIGA,"Anak kami ikut ujian Paket B di PKBM Al Gufron Salatiga. Sejak Pengumuman kelulusan pada tanggal 25 Juni 2014 hingga saat ini Ijazah belum keluar/diterima. apakah memang dibutuhkan waktu yang lama (ber bulan-bulan) untuk menerbitkan ijazah tersebut, sehingga anak kami tidak dapat mendaftar sekolah ke jenjang yang selanjutnya.",Selesai,"Selasa, 23 Februari 2021 - 07:34 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,"Mohon dikoordinasi ke pihak pengelola PKBM, agar pengelola PKBM koordinasi dengan Dinas Pendidikan Kota Salatiga."
13 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP01393600.html,KOTA SALATIGA,mohon ditertibkan pemakaian lampu putih pada kendaraan bermotor bai mobil maupun motor..karena sangat membahayakan pengguna jalan yang lain.. !!!! seperti di kota salatiga yang bebas dari lampu putih...!!,Selesai,"Kamis, 10 Juni 2021 - 09:36 WIB",Kepolisian Daerah Jawa Tengah,File identitas polapor tidak jelas dan tidak bisa dihubungi
18 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP22768489.html,KOTA SALATIGA,"Yth. Pak Ganjar ,kami ingin menanyakan pungutan 50rb sebagai biaya pengajuan berkas di kantor samsat salatiga yg uangnya dimasukkan ke map bersama berkas perpanjangan pajak kendaraan.Kami tidak menerima kwitansi atau tanda terima,bagaimana peraturannya?Tahun lalu tidak ada biaya tersebut.Kami warga yg taat pajak tapi malah tambah dibebani.Kalau begitu bayar pajak 5 tahun sekali aja,kena denda tidak apa2 kan sama aja kalau bayar pajak per tahun juga kena tmbahan biaya 50rb. Mohon penjelasan Bapak.Terimakasih",Selesai,"Selasa, 07 Oktober 2014 - 13:34 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Terkait adanya laporan tersebut, UP3AD Kota Salatiga telah melakukan konsolidasi dan koordinasi dengan pihak kepolisian, dengan harapan hal tersebut tidak akan terjadi lagi dikemudian hari. dan pelaksanaan pelayanan di Kantor SAMSAT Kota Salatiga tetap sesuai dengan SOP yang berlaku."
13 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP31058405.html,KOTA SALATIGA,"Assalamuallaikum..selamat siang bapak gubernur. hari ini saya mengikuti rapat pembentukan panitia renovasi sekolah sd blotongan 1 salatiga yang dananya berasal dari DAK. yang menjadi pertanyaan saya kenapa SD Blotongan 01 yang ""MEGAH"" mendapat dana DAK sebesar Rp 88.000.000, akan tetapi SD AL AZHAR Yg ""MISKIN"" Cuma mendapat DAK Rp 600.050.000, apakah ini yang dinamakan pemimpin daerah memperjuangankan rakyat kecil..",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
15 Oct 2014,https://laporgub.jatengprov.go.id/detail/LGWP67317410.html,KOTA SALATIGA,"Saya pemilik kendaraan dengan Nomor H 7000 QK Kendaraan Wilayah Salatiga, pada saat ini kendaraan sudah saya jual kemudian saya bulan Maret 2014 sy melakukan laporan atau pemblokiran ke Samsat Kota Salatiga. dan pemblokiran sudah dilakukan dengan di buktikan dikeluarkannya surat pemblokiran dari Samsat Kota Salatiga. Namun pada bulan Juni saya masih melihat plat tersebut dipakai pada mobil yg sama padahal pada bulan Mei Pajak kendaraan jatuh tempo. Kemudian saya melakukan pengecekan ke Samsat Salatiga ternyata Pajak kendaraan di telah dilakukan di samsat lain (ditembak) dengan nama Saya. Hal ini dilakukan tanpa seijin saya. Dan bukankah seharusnya plat yg telah di blokir tidak bisa di buka kembali? Saya merasa di rugikan. Tugas saya sebagai penjual mobil sudah saya lakukan tapi apakah hal seperti ini lazim terjadi. Saya mohon penjelasannya dan mohon Kendaraan tersebut di cabut karena menggunakan nama saya yang telah melaporkan pemblokiran sesuai prosedur. . Mohon hal seperti ini bisa di berantas Pak (perlu di ketahui plat Nomor di samarkan menjadi H 7000 OK). Saya menunggu penjelasan dan realisasinya. Terima kasih",Selesai,"Senin, 20 Oktober 2014 - 16:26 WIB",BADAN PENGELOLA PENDAPATAN DAERAH,"Terima kasih atas laporan Saudara, dan terkait dengan laporan tersebut akan segera kami tindaklanjuti dengan melakukan teguran kepada Petugas di SAMSAT Semarang II, dan akan kami koordinasikan dengan pihak vendor guna menyempurnakan aplikasi pemblokiran."
04 Feb 2017,https://laporgub.jatengprov.go.id/detail/LGSM33614292.html,KOTA SALATIGA,"Pak, mau lapor menegenai kejanggalan yang saya dapat di kota Salatiga, apakah gaji guru itu bisa tidak didapat dalam 1 bulan? Soalnya, kemaren sempat gaj",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
14 Dec 2014,https://laporgub.jatengprov.go.id/detail/LGWP42870684.html,KOTA SALATIGA,"Pak Gubernur, saya warga Salatiga, merasa terbantu sekali dengan adanya Jalan Lingkar Salatiga (JLS), namun akhir2 ini sering sekali terjadi kecelakaan di perempatan traffic light Salib Putih, dan penyebabnya rata2 sama yaitu Rem Blong, sudah tidak sedikit korban, namun sepertinya tidak ada tindakan kongkret dari Pemerintah / pengelola fasilitas umum tersebut . Pada akhir agustus 2014, terjadi kecelakaan gara2 truk tronton rem blong, 1 orang tewas, dan saat itu pula saya berkomentar di FB dan pak Yulianto selaku Walikota sempat mengomentari juga, (Screen shoot terlampir) namun sampai dengan saat ini (desember 2014) tidak / blm ada tindakan kongkret.. dan ironisnya, tercatat beberapa kecelakaan kembali terjadi sejak Agustus 2014 s.d Desember 2014. Mohon Pak Gubernur bisa menindak lanjuti laporan kami, karena kami ingin kota Salatiga ini aman, dan nyaman, tidak selalu was2 kalau melewati fasilitas umum yang seharusnya memudahkan masyarakat. Kami lampirkan link berita mengenai kecelakaan di JLS Salatiga.",Selesai,"Senin, 22 Desember 2014 - 09:01 WIB",DINAS PERHUBUNGAN,Terima kasih atas laporan yang disampaikan
30 Dec 2014,https://laporgub.jatengprov.go.id/detail/LGWP40916733.html,KOTA SALATIGA,"Ass_, Mohon di cek atau di tinjau ulang Bantuan Bedah Rumah di SALATIGA. Kami melihat banyak yang belum mendapatkan. Tepatnya di Dsn. REJOSARI, RT13 RW03 Dsa. MEDAYU Kec. SURUH. Contoh Atas nama KK Bapak SUKARDI. Terima kasih.",Selesai,"Rabu, 15 Maret 2017 - 09:56 WIB",DINAS SOSIAL,terima kasih laporan sudah kami koordinasikan dengan pihak terkait
07 Jan 2015,https://laporgub.jatengprov.go.id/detail/LGWP99820821.html,KOTA SALATIGA,"Salam Sejahtera Pak Ganjar, Saya Iman Safari, warga Salatiga. Pada tanggal 3 Desember 2014 yang lalu saya bersama keponakan pergi ke Semarang (Stasiun Poncol) dengan menaiki bus 3/4 jurusan Salatiga-Semarang dari pertigaan ABC Salatiga. Tarif yang ditarik memang Rp 8000/orang. Sepulang dari stasiun Poncol, kami menaiki bus 3/4 dengan trayek yang sama (Semarang-Salatiga) di dalam bus kami dikenai tarif Rp.13000/orang. Kami tidak mau dan akhirnya diturunkan di daerah Pengapon. Kami akhirnya menunggu bus berikutnya. Pukul 14.10 kami mendapatkan bus dengan trayek yang sama lagi, tetapi waktu di dalam tol (kebetulan kondisi cuaca sedang hujan), kami ditarik ongkos Rp.10.000/orang. Karena sudah malas berargumentasi akhirnya kami berikan juga sesuai dengan yang diminta kondektur bus tersebut. Demi kenyamanan angkutan umum, kami berharap kepada Pak Ganjar, jajaran Dishub Prov. Jateng dan atau Pengurus Organda Jateng menekankan supaya setiap angkutan umum menempel tarif terbaru yang berlaku, sehingga tidak ada oknum nakal dan angkutan umum kita semakin hari semakin nyaman. Demikian keluh dan saran dari kami, terimakasih pak Ganjar......",Selesai,"Kamis, 08 Januari 2015 - 15:10 WIB",DINAS PERHUBUNGAN,perlu kami beritahukan bahwa :
