Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
25 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP85343808.html,KOTA SURAKARTA,"Pak gub, saya ada sedikit cerita, bbrp waktu lalu saya berbincang dgn seorang petani di seputaran timur bandara adi sumarmo solo, beliau bercerita ttg pupuk bersubsidi yg mana pupuk tsb tdk bisa di beli petani langsung, tapi pupuk tsb dijual oleh si penerima langsung pupuk subsidi tsb ke agen/ toko2 pupuk perorangan, shg petani hanya bisa beli ke toko pupuk dgn harga non subsidi,,,, mhn kiranya bpk gubernur berkenan utk mengecek di wilayah tsb,,,",Selesai,"Kamis, 12 Juni 2014 - 09:58 WIB",DINAS PERTANIAN DAN PERKEBUNAN,"Terima kasih atas informasinya, akan lebih memudahkan kami meninda lanjuti manakala pelapor menunjukkan jatidiri dan alamat, sehingga Komisi Pengawas Pupuk dan Pestisida ( KP3 ) dapat segera menuju sasaran."
26 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP08569717.html,KOTA SURAKARTA,"Perbaikan Jalan SOLO-PURWODADI diperbaiki dengan baik, banyak yang cepat rusak. lalu tindak bus yang memiliki trayek SOLO-PURWODADI untuk dilakukan peremajaan dan perbaikan kendaraan dikarenakan sering ugal-ugalan mengejar trayek waktu, serta sering pihak kondektor bus memaksa bus tersebut over kapasitas sehingga sering dijumpai para penumpang berdiri dalam bus disaat jalan yang rusak. sudah terjadi sangat lama mohon ditindak lanjuti",Selesai,"Senin, 09 Juni 2014 - 08:59 WIB",DINAS PERHUBUNGAN,"Perlu Kami beritahukan bahwa peremajaan bus Angkutan Antar Kota Dalam Provinsi (AKDP) termasuk trayek purwodadi- solo secara bertahap terus dilakukan, dengan meminta kepada para pengusaha angkutan dan organda untuk meremajakan armadanya terutama untuk yang berusia lebih dari 20 tahun. Untuk informasi berkenaan dengan pengemudi yang ugal-ugalan dan over kapasitas telah kami sampaikan kepada para pengusaha angkutan yang melayani trayek tersebut sebanyak 7 (Tujuh) Perusahaan Otobis (Po.Selokaton, Karya Handayani, Purwo Gumilar II, Rela, Sridaya, Gandhos Abadi ) dan Dishub Kab Grobogan telah melakukan teguran kepada para pengemudi bus yang melkukan ugal-ugalan. sekian dan terima kasih. salam sukses selalu"
26 May 2014,https://laporgub.jatengprov.go.id/detail/LGWP18147205.html,KOTA SURAKARTA,"Pak, Tolong dong Truk Expedisi pengangkut pasir ditindak lanjuti. terutama yang melewati jalan SOLO-PURWODADI membawa Pasir yang merusak jalan sepanjang jalan yang dilalui truk tersebut. truk tersebut sering beroprasi malam hari untuk menjauhi pos retribusi dikota yang dilewati. sehingga sering terjadi jalannya padat merayap karena truk pasir tersebut berjalan lamban dijalan yang sempit. kalau tidak dilanjuti dijamin jalan yang dilalui hancur.,!!!",Selesai,"Selasa, 26 Agustus 2014 - 11:31 WIB",DINAS PERHUBUNGAN,Tidak ada keterangan
19 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP97007458.html,KOTA SURAKARTA,"Kulo nuwun mas GANJAR? saya mau tanya, knp skarang ngurus plat nomor lama bgt? saya pajek september, tp smpai skrang blm jadi. apa tidak ada yg mengurus to? kok lama bgt? matur nuwun, eko di solo.",Selesai,"Rabu, 25 Juni 2014 - 09:53 WIB",DINAS PENDIDIKAN DAN KEBUDAYAAN,"Terima kasih atas informasi yang saudara sampaikan, Perlu diketahui bahwa Plat Nomor Kendaraan Bermotor merupakan wewenang dari pihak Kepolisian yang pengadaannya melalui Mabes Polri."
22 Jul 2014,https://laporgub.jatengprov.go.id/detail/LGWP68740085.html,KOTA SURAKARTA,"P . GUBENUR YTH tolong ditindak lanjuti jln Solo-Purwodadi klm 37 tpty di desa Pendem Sumberlawang jalan yg seharusnya sudah bisa dilewati karna pengecoranya sdh lebih 2mggu, tapi msh dimanfaatkan oleh oknum dengan cara memperlakukan buka tutup jalan sambil meminta uang pengguna jalan. Terimakasih",Selesai,"Kamis, 09 Maret 2023 - 11:31 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Terimakasih atas laporannya saudara Purwadi Prinsip pada H-7 lebaran, perkerasan beton tsb. sudah harus berfungsi 2 lajur - 2 jalan. Umur pengecoran ideal adalah 28 hari, namun saat umur 21 hari (3 minggu) sudah dapat dilewati dengan kekuatan beton 80 %"
04 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP71716280.html,KOTA SURAKARTA,"Yth Bpk Gubernur, ruas jalan Solo-Purwodadi sering dilewati truk bertonase sangat berat, sering terjadi kecelakaan atau truk terguling. Bagaimana kalau muatan berat (pupuk, semen, dsb) dialihkan melalui jalur kereta. Matur nuwun. Wws",Selesai,"Senin, 01 September 2014 - 11:30 WIB",DINAS PERHUBUNGAN,Bersama ini kami sampaikan hal-hal sebagai berikut:
25 Aug 2014,https://laporgub.jatengprov.go.id/detail/LGWP66072207.html,KOTA SURAKARTA,"selamat pagi pak gub....pak saya mau sharing masalah tempat berolahraga di solo. di solo ini kita mempunya atlet2 sepeda terbaik,khususnya BMX dan DOWNHILL,ada Toni syarifudin,bagus setiyawan,taufik dll,toni syarifudin sering mewakili indonesia di balapan bmx asia,peraih medali perak di sea games 2011..masih banyak2 bakat dari solo,tetapi kami tidak mempunyai tempat untuk latihan sepeda tersebut,saya sudah pernah bertemu dengan walikota solo pak Rudy,tetapi sampai sekarang juga belum ada realisasinya..mohon bantuan pak gub untuk mengusahakan tempat latihan untuk adik2 dan anak2 muda di solo agar tersalurkan bakatnya. Terima kasih pak.",Selesai,"Senin, 09 Maret 2015 - 12:07 WIB","DINAS KEPEMUDAAN, OLAHRAGA DAN PARIWISATA","Pemerintah Provinsi Jawa Tengah menyampaikan Apresiasi dan penghargaan kepada Atlet atlet Sepeda BMX dan Downhil kota Solo khususnya Sdr. Toni Syarifudin atas prestasi yang telah diraih. Untuk sarana dan prasarana olahraga, Pemerintah Jawa Tengah secara bertahap sesuai kemampuan terus berupaya melengkapi termasuk mimpi besar mewujudkan "" SPORT CENTER JAWA TENGAH '"
11 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP59022043.html,KOTA SURAKARTA,"As-salamu 'alaikum wa Rahmatullaahi wa barakaatuh. ""Sugeng injang Mas Ganjar..,kulo warga solo,mempunyai usaha mineral utk penggemukan Sapi & kambing,Sedang kami kualaan memenuhi permintaan petani Peternak.Saat ini kami sdh memasuki paSar di solo Raya & wilayah JATIM..Utk mengembangkan usaha kami butuh penambahan modal..MOHON di beri jln solusi bgmana usaha kami bisa melayani petani dgn maksimal.Usaha kami ada di Kadipiro dekat RSUD SOLO_(Bpk.Wahyu Widodo d/a Kadipiro Rt.1/2 Banjarsari SOLO) matur nuwun..Wasalam..",Selesai,"Selasa, 28 Oktober 2014 - 13:08 WIB",DINAS PETERNAKAN DAN KESEHATAN HEWAN,"Menanggapi pertanyaan dari Saudara Wahyu Widodo yang berasal dari Surakarta, berikut kami sampaikan tanggapannya : Untuk mengembangkan usaha mineral yang selama ini Saudara geluti, dapat mengakses permodalan melalui Kredit Usaha Rakyat (KUR) dan Kredit Ketahanan Pangan dan Energi (KKP-E) ke Bank Pelaksana, yaitu Bank Jateng, BRI, dan BNI. Pengajuan permohonan kredit tersebut harus memenuhi persyaratan antara lain sebagai berikut :"
14 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP81855233.html,KOTA SURAKARTA,"Yth Pak Ganjar, saya melaporkan bahwa Jln Dr Radjiman Surakarta ruas bundaran Baron - pertigaan Baron rusak karena galian sanitasi/kabel yang tidak ditutup dengan sempurna sehingga jalan jd bergelombang, tergenang kalau hujan, dan membahayakan sepeda motor (mobilpun pilih tidak melewati bagian tsb). Pada ruas Pertigaan Baron - Simpang Jongke (+/- 2 km) spt halnya demikian, tetapi sudah agak bagus walaupun menurut saya tetap saja tidak enak buat berkendara sepeda motor karena bergelombang dan njendal njendul. Mohon kiranya Bapak berkenan untuk mengaspal ulang jalan tsb, syukur2 bisa dibeton di persimpangannya. Matur nuwun Pak.",Selesai,"Kamis, 09 Maret 2023 - 11:46 WIB",DINAS PEKERJAAN UMUM BINA MARGA CIPTA KARYA,"Saudara Setiaji Arif yang berbahagia, ruas jalan Dr.Rajiman adalah ruas jalan provinsi. Penggalian kabel/sanitasi memang merusak badan jalan terutama bila pengembaliannya tidak sesuai dengan konstruksi awal. Kami berupaya untuk memperbaikinya saat ini di pemeliharaan rutin dan kami programkan pelapisan ulang pada tahun 2015 (ruas jalan Dr.Rajiman dan KH. Agus salim)"
24 Sep 2014,https://laporgub.jatengprov.go.id/detail/LGWP46531113.html,KOTA SURAKARTA,"Yth. Bapak Ganjar Pranowo, Gubernur Jateng Dalam Permenkes Nomor 46 Tahun 2013 tentang Registrasi Tenaga Kesehatan pasal 2 ayat 3 disebutkan bahwa STR sebagaimana dimaksud pada ayat (2) dikeluarkan oleh MTKI dan berlaku secara nasional Dalam surat MTKI Nomor TU.08.01/MTKI/205/2014 tanggal 16 September 2014 menerangkan bahwa agar calon peserta seleksi CPNS tahun 2014 tidak dirugikan haknya untuk mengikuti seleksi CPNS maka diminta kepada Ketua Seleksi CPNS Kementerian/Lembaga di Seluruh Indonesia supaya surat keterangan proses pengurusan STR bisa dijadikan sebagai pengganti STR. Antara Permenkes dan Surat dari MTKI ini sangat berhubungan pak, menurut kami secara legal formal Surat Keterangan Proses Pengurusan SRT bisa dijadikan pengganti STR dalam seleksi administrasi CPNS tahunb 2014 ini karena yang mengijinkan adalah MTKI, Lembaga dibawah Kemenkes yang menurut Permenkes tersebut mengeluarkan STR. Bahkan informasi yang kami terima Kemenkes sendiri telah memperbolehkan surat keterangan proses dijadikan pengganti STR pada pengadaan CPNS di Kemenkes saat ini. Kami, satu diantara ribuan rakyat Jawa Tengah dibidang tenaga kesehatan yang telah menyelesaikan studi dan telah mengurus STR dari tahun 2012 (sampai sekarang belum jadi) sangat mengharap kebijaksanaan Bapak agar surat dari MTKI tersebut diperhatikan agar kami diberi kesempatan untuk menjadi abdi negara lewat CPNS tahun ini. Besar harapan kami Bapak mengabulkan permintaan ini. Terimakasih Salam Yuniar Anthoko Surakarta",Selesai,"Rabu, 24 September 2014 - 18:39 WIB",BADAN KEPEGAWAIAN DAERAH,"Terimakasih atas laporan Saudara. Perlu diketahui, bahwa berdasarkan Peraturan Menteri Kesehatan Nomor 46 Tahun 2013 pasal 2 ayat (1) dan ayat (2), ditegaskan setiap Tenaga Kesehatan yang akan menjalankan praktik dan/atau pekerjaan keprofesiannya wajib memiliki izin dari Pemerintah dalam bentuk surat tanda registrasi (STR). Mendasari ketentuan diatas untuk pengadaan CPNS Tahun 2014, Pemerintah Provinsi dan Kabupaten/Kota di Jawa Tengah sepakat dan telah merumuskan persyaratan bagi pelamar formasi tenaga kesehatan wajib melampirkan STR dari MTKI. Hal tersebut bertujuan untuk melaksanakan reformasi peningkatan kompetensi birokrasi bidang kesehatan dan sebagai representatif Tes Kompetensi Bidang (TKB) yang belum dapat dilaksanakan oleh Pemerintah Provinsi dan dan Kabupaten/Kota.   Perlu kami sampaikan pula, bahwa substansi surat Kepala MTKI nomor TU.08.01/MTKI/285/2014 tanggal 16 September 2014 tidak mengatur penggantian STR dengan dokumen yang lain (Serkom, Surat Keterangan Pengurusan dll) sehingga persyaratan pelamar tenaga kesehatan tetap mendasarkan pada ketentuan normatif (Permenkes No. 46 Tahun 2013) dan pengumuman pengadaan CPNS di masing-masing instansi. Selanjutnya agar kendala STR tidak terjadi pada tahun yang akan datang, maka kami berharap kepada MTKI agar proses pengurusan STR dilakukan percepatan dan apabila memungkinkan dapat didelegasikan kepada Pemerintah daerah. Demikian untuk menjadikan maklum."
