Date Posted,URL,Region,Message,Status,Resolved Date,Departement,Action
17 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP27540568.html,KOTA TEGAL,"lapor pak,saya bkrja d intasi kota tegal bag kbershan tp gaji saya tdak sesuai dg umr jauh d bawahnya 400 rb prblan,saya mhon d tndaklanjuti byar kami bs sejahtera,mkasih",Selesai,"Rabu, 18 Juni 2014 - 09:35 WIB",BADAN KEPEGAWAIAN DAERAH,Terima kasih Sdr. Joko  S.P. terkait pertanyaan dan permohonan Saudara adalah merupakan kewenangan Walikota Tegal yang tentunya dalam pemberian upah/gaji idealnya menyesuaikan dengan UMR di wilayah masing-masing kecuali dalam pemberian kesejahteraan lainnya tentunya juga disesuaikan dengan kemampuan keuangan yang tersedia mendasarkan pd skala prioritas.  Oleh karena itu untuk lebih jelasnya dapat Saudara komunikasikan secara berjenjang melalui Pimpinan instansi/perusahaan  dimana Saudara bekerja. Selamat beraktivitas dan berkarya.   
25 Jun 2014,https://laporgub.jatengprov.go.id/detail/LGWP08032725.html,KOTA TEGAL,"maaf pak ,tlong d bantu kmi para pekerja honor d kota tegal msa gaji saya msh d bayar d bawah UMK kota tegal,cma Rp. 400 /bulan pdhal Umk kota tegal dah Rp.1044000.pdhal kota tegal udah maju .kmi harap bapa ganjar bisa mngatasi ini karena kami ingin hidup yang layak tidak selalu mikiri utang buat makan,",Selesai,"Kamis, 26 Juni 2014 - 08:08 WIB",BADAN KEPEGAWAIAN DAERAH,Yth. Sdr Rian.      Pertanyaan/usul Sdr. beberapa waktu yll pernah disampaikan oleh rekan sdr dari Kota Tegal (sdr. Joko SP) & sdh kami tanggapi. Kami sependapat dg Sdr bahwa gaji/upah pekerja idealnya menyesuaikan UMR yang berlaku di daerah masing-masing sehingga pekerja bisa bekerja dengan semangat & berkinerja baik. Karena hal tersebut merupakan kewenangan Pemerintah Kota Tegal maka usul sdr sdh kami teruskan/komunikasikan dengan Pemerintah Kota Tegal. sehingga perlu sdr.lihat kembali & cermati bagaimana isi perjanjian kerja/kontrak antara sdr dengan pemberi pekerjaan sbg bahan sdr untuk mengkomunikasikan langsung  usul sdr secara berjenjang pd institusi/lembaga  dimana sdr bekerja.  Terima kasih dan selamat beraktivitas    
03 Dec 2014,https://laporgub.jatengprov.go.id/detail/LGWP61611958.html,KOTA TEGAL,"Pak, di Kota Tegal tidak ada penyelenggaraan tentang Pramuka Garuda yang diatur pada SK Kwarnas Nomor 101 Tahun 1984. Mohon diberi perbaikan",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
22 Jan 2015,https://laporgub.jatengprov.go.id/detail/LGWP81543218.html,KOTA TEGAL,"Baru saja saya dari kantor Kecamatan Tegal Timur, Tegal, Jawa Tengah. Saya datang ke kantor untuk minta tanda tangan pak camat pada surat ahli waris yang saya buat untuk arsip keluarga saya. Sampai di tempat, oleh petugas yang saya tidak ketahui nama nya, saya diminta membayar seharga Rp 150.000,00 hanya untuk tanda tangan Camat. Kata petugas tersebut, biaya tersebut biasa, karena untuk tanda tangan Surat Waris pasti suatu saat akan berhubungan dengan Notaris dan beliau juga tidak enak dengan pak Camat. Apakah semahal itu pak pelayanan masyarakat? Saya hanya orang menengah kebawah yg butuh ttd seorang camat, tapi harus menggelontorkan rupiah demi secarik tanda tangan. Mohon untuk di perhatikan untuk pungli tersebut pak.. kasian warga yg lain, cukup saya saja... Terima kasih",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
22 Apr 2015,https://laporgub.jatengprov.go.id/detail/LGWP79507488.html,KOTA TEGAL,Pak Gubernur per hari ini pejabat di Lingkungan pemerintah kota tegal yang kemarin audiensi di DPRD Kota Tegal tentang kepemimpinan ibu walikota Tegal sudah di non job kan....hampir 15 SKPD di Plt semua....Mohon untuk segera bertindak..agar kekacauan di Pemerintahan Kota Tegal segera mereda. saya sedih pak sebagai warga:-(,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
18 Jul 2015,https://laporgub.jatengprov.go.id/detail/LGWP55160494.html,KOTA TEGAL,"Yth Bapak Gubernur Ganjar Pranowosehubungan birokrasi yang terjadi Pemerintah Kota Tegal tidak berkenan menanggapi keluhan dan pengaduan warganya maka dengan ini saya memohon kebijakan dan perhatian Bapak untuk melakukan tindakan cepat agar kehadiran saya sbg rakyat yang juga sbg kader pdi perjuangan tidak selamanya dipandang remeh karena saya satu2nya warga kota Tegal yang secara nyata teraniaya dari sikap arogansi Walikota Tegal dan jajarannya, termasuk dari Ketua DPC PDIP KOTA Tegal yang baru dilantik kemarin saya tidak diakui sbg kadernya, saya melihjat dari pengamatan saya sbg anggota fraksi Pdip tdk bisa memperjuangkan aspirasi rakyatsaat ini kondisi rumah tinggal saya benar-benar membutuhkan uluran tanga Bapak utk segera turun ke lapangan dan memberikan penataran lebih dalam pada segenap pemerintajh daerah kota Tegal, sekian terima kasih",Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
23 Jul 2015,https://laporgub.jatengprov.go.id/detail/LGSM22517951.html,KOTA TEGAL,LAPOR Pak Gubernur Ganjar Peranowo.. PASAR BANJARAN harus di Renovasi Tingkat Empat Lantai. Soalnya berdang di Jalan berdang di Terotoar. Berdaga di REL Kereta Sentaral. PASAR MODERAN BERSIH Pusat Ekonomi.. Kecamatan Adiwerna KOTA TEGAL ..,Selesai,"Senin, 27 Juli 2015 - 13:25 WIB",DINAS PERINDUSTRIAN DAN PERDAGANGAN,Tidak ada keterangan
09 Aug 2015,https://laporgub.jatengprov.go.id/detail/LGSM83824172.html,KOTA TEGAL,LAPOR Gubernur Ganjar Pramono. Bikin Surat AKTE TANAH Satu Juta Lima Ratus Ribu 1.5 Juta DAN Bikin Surat SERTiFiKAT TANAH dua Juta Lima Ratus Ribu 2.5 Juta. Desa JATiRAWA Kecamatan TARUB Kota TEGAL.. LURAH Nya harus di Periksa KPK..,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
10 Aug 2015,https://laporgub.jatengprov.go.id/detail/LGSM03454080.html,KOTA TEGAL,LAPOR Gubernur Ganjar Pramono. Beras BULOG RASKiN Warna KUNiNG dan bau beras Nya. 3 KG Setiap Keluarga Miskin. Desa JATiRAWA Kecamatan TARUB Kota TEGAL. Minta Beras 10 Kg Setiap Keluarga Miskin..,Belum Diproses,Belum Diproses,Belum Diproses,Belum Diproses
17 Aug 2015,https://laporgub.jatengprov.go.id/detail/LGSM34053797.html,KOTA TEGAL,LAPOR Gubernur Ganjar Pramono. SUNGAI dangkal Banyak Lumpur. Klu hujan bikin Banjir Air Nya Meluber HARUS di KERUK LUMPUR Nya.. Desa JATiRAWA Kecamatan Tarub Kota TEGAL..,Selesai,"Kamis, 20 Agustus 2015 - 13:18 WIB",DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG,Hasil cek lapangan terkait dg permasalahan didesa Jatirawa adalah
19 Aug 2015,https://laporgub.jatengprov.go.id/detail/LGSM86123214.html,KOTA TEGAL,LAPOR Gubernur Ganjar Pramono. Bikin KARTU KELUARGA Bayar 50 Ribu dan bikin KTP Bayar 40 Ribu.. di Desa JATiRAWA Kecamatan TARUB kota TEGAL..,Selesai,"Rabu, 28 September 2016 - 11:22 WIB","DINAS PEMBERDAYAAN MASYARAKAT, DESA, KEPENDUDUKAN DAN PENCATATAN SIPIL",Laporan telah selesai
10 Sep 2015,https://laporgub.jatengprov.go.id/detail/LGSM68056119.html,KOTA TEGAL,LAPOR Gubernur Ganjar Pramono. SUNGAi banyak Lumpur bikin BANJiR klu hujan. di Desa Jatirawa Kecamatan Tarub Kota TEGAL.,Selesai,"Jumat, 11 September 2015 - 21:35 WIB",DINAS PEKERJAAN UMUM SUMBER DAYA AIR DAN PENATAAN RUANG,"Perlu normalisasi alur sungai dan penggantian jembatan desa, saat ini sedang kami koordinasikan dg Pemkot Tegal untuk penanganannya. terima kasih"
22 Dec 2015,https://laporgub.jatengprov.go.id/detail/LGWP65174381.html,KOTA TEGAL,"Iklan-iklan MMT yang menempel dipohon dan tiang-tiang listrik mulai merajalela merusak keindahan kota dan mengotori/merusak lingkungan, mohon segera ditindak.",Selesai,"Kamis, 31 Desember 2015 - 09:59 WIB",DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN,laporan telah iselesaikan
