topic_id,name,created_date,message
bJf0tATJ0bk,Andri Setiawan,"Monday, March 6, 2023 at 7:26:16 AM UTC",Updated room membership.
asYNgbkv57U,Andri Setiawan,"Monday, March 6, 2023 at 7:26:58 AM UTC",Updated room membership.
TTYfdiAdwcE,Andri Setiawan,"Monday, March 6, 2023 at 7:26:59 AM UTC",Updated room membership.
Pyn4JDnu2mk,Andy Librian Wahyu Pratama,"Monday, March 6, 2023 at 7:28:40 AM UTC",Updated room membership.
hoVSpgpHssA,Tommy Sullivan,"Tuesday, March 7, 2023 at 3:48:53 AM UTC",is it possible we have an issue with our local DNS server?:
mXJWkJCe1r4,Rencana Tarigan,"Tuesday, March 7, 2023 at 6:51:10 AM UTC",Updated room membership.
5FgfOZaQRsA,Rencana Tarigan,"Tuesday, March 7, 2023 at 7:04:11 AM UTC","Halo teman2 support, 
untuk google chat kita apakah ada setting yang tidak mengijinkan invite user diluar organisasi ?
ada saran kah gimana buat space untuk vendor kita ?

https://support.google.com/chat/answer/9301096"
HWMu7KWhvdk,Rahmat Sanjaya,"Tuesday, March 7, 2023 at 7:05:39 AM UTC",Updated room membership.
mYEyCnarkMM,Deleted User,"Tuesday, March 7, 2023 at 7:30:05 AM UTC",Updated room membership.
Qr-h6TY8Tcw,Ratih Pulkeria Vidyaparamita,"Tuesday, March 7, 2023 at 8:44:46 AM UTC",Temen2 support ada cara untuk export history chat atau document shared yang ada di Slack kah? wkwkwk
bmt3RaYprb8,Tommy Sullivan,"Tuesday, March 7, 2023 at 9:00:34 AM UTC",@Amiril Rahmi Faradini is there a list of channels to be migrated over?  Hermawan flagged: `#customer service slack to GChat as it has 344 members and hence may need IT support` and that kinda makes sense *but* also can just be a room that everyone is added to?
OsY8lYTuC_I,Noer Fitria Putra Setyono (Piput),"Tuesday, March 7, 2023 at 9:35:12 AM UTC",Updated room membership.
QoWihHPnh3s,Muhammad Najie,"Tuesday, March 7, 2023 at 3:33:15 PM UTC",Updated room membership.
bb02B8mRzYg,Resi Dwi Thawasa,"Thursday, March 9, 2023 at 6:03:40 AM UTC",Updated room membership.
xtl4FwSt7qk,Michael Himawan Handoko,"Thursday, March 9, 2023 at 9:59:38 AM UTC","hola mas @Andri Setiawan  n teams

yang mau bertanya, kita bisa kasi akses ke Gireesh untuk:
- gitlab (non developer): https://repo.kmklabs.com/kmk-online/mlflow-reco/
- GA and optimize
- vidio CMS"
zf66w-bLc2w,Deleted User,"Thursday, March 9, 2023 at 10:10:39 AM UTC",Updated room membership.
GrgOS5sIwgg,Widya Rarasati,"Thursday, March 9, 2023 at 11:06:28 AM UTC",Updated room membership.
WXr3A_Bvoks,Jonathan Sebastian Lubis,"Thursday, March 9, 2023 at 10:39:24 PM UTC",Updated room membership.
