Message,Status,Department
kenapa kab brebes jalannya tidak pernah beres selalu berlubang dan bergelombang iri sama kota tegal yang jalan rayanya menggunakan beton untuk lapisan bawahnya dan baru diaspal dibrebes cuman asal tambal dan ganti baru juga seminggu jalan sudah rusak lagi brebes kayaknya harus ditinjau itu birokrasinya jalan lingkar brebes tegal saja dari aku berumur tahun masih belum bisa digunakan ,Selesai,dinas pekerjaan umum bina marga cipta karya
bpk gubernur ganjar yth tolong inspeksi mendadak dilakukan di samsat bumiayu karena banyak pungli pungli kakap yang professional dari polres brebes terima kasih kejadian ini sudah cukup lama setiap bayar pajak pasti dimintai rp ribu ,Selesai,badan pengelola pendapatan daerah
pak saya hidup di brebes selama tahun tetapi jalan jalan di brebes belum pernah rusak kayak sungai apalagi di daerah sudah banyak makan korban mohon perhatiannya untuk menegur pejabat daerah ,Selesai,dinas pekerjaan umum bina marga cipta karya
dear pak gubernur saya warga linggapura brebes mohon kiranya jalur tengah pejagan bumiayu purwokerto ditinjau warga disana mengeluhkan truck besar yang melintas sudah overload jalan disana kecil pak hingga akibatnya terjadi kemacetan panjang yg berakibat roda perekonomian penduduk sekitar terganggu pendidikan terganggu pelayanan kesehatan terganggu sudah banyak memakan korban jiwa juga karena kecelakaan yang diakibatkan daya tampung jalan yang sudah tidak wajar mohon sidaknya segera dan mohon dicarikan jalur alternatif lain agar truck tsb tidak menumpuk di jalur desa kami ,Selesai,dinas pekerjaan umum bina marga cipta karya
pak gubernur untuk pengurusan e ktp sangat lm sudah mau satu tahun belum jadi payah untuk di kecamatan bumiayu kab brebes atas nama ecip suwandito ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
kepada yth gubernur jateng saya pemilik nopol g ss tertera dikeluarkan stnk sejak tgl september sudah tahun bayar pajak kendaraan roda dua tidak ada masalah pada tgl september ketika akan bayar pajak kendaraan di kantor samsat pekalongan ternyata sudah berganti nama pemilik satu nopol dua pemilik yg berdomisili di brebes padahal alokasi nopol tsb kota pekalongan saya konfirmasi ke petugas samsat pekalongan karena kesalahan server samsat dan pihak yg bisa mengganti merubah data tsb pihak samsat pusat semarang kenapa bisa terjadi pemilik ganda kami mohon bantuannya agar ditindaklanjuti pihak terkait agar saya tidak terlambat bayar pajak kendaraan jatuh tempo tgl september orang bijak taat pajak jangan dipersulit atas perhatian kerjasamanya saya ucapkan terima kasih ,Selesai,badan pengelola pendapatan daerah
kepada yth gubernur jateng saya pemilik nopol g ss tertera dikeluarkan stnk sejak tgl september sudah tahun bayar pajak kendaraan roda dua tidak ada masalah pada tgl september ketika akan bayar pajak kendaraan di kantor samsat pekalongan ternyata sudah berganti nama pemilik satu nopol dua pemilik yg berdomisili di brebes padahal alokasi nopol tsb kota pekalongan saya konfirmasi ke petugas samsat pekalongan karena kesalahan server samsat dan pihak yg bisa mengganti merubah data tsb pihak samsat pusat semarang kenapa bisa terjadi pemilik ganda kami mohon bantuannya agar ditindaklanjuti pihak terkait agar saya tidak terlambat bayar pajak kendaraan jatuh tempo tgl september orang bijak taat pajak jangan dipersulit atas perhatian kerjasamanya saya ucapkan terima kasih ,Selesai,badan pengelola pendapatan daerah
sampai kapan lalulintas tanjung menuju salem dibiarkan rusak terbengkalai tanpa adanya perhatian pihak terkait apalagi dilintasan gn lio yg jalannya menanjak drastis ditambah jalannya yg amburadul mohon perhatiannya dr pihak terkait terimakasih,Selesai,dinas pekerjaan umum bina marga cipta karya
hallo pak gub saya mau menyampaikan pengaduan untuk samsat tanjung brebes di bagian cek fisik kendaraan masih banyak yang pungli kemarin saya di tarif rb untuk cek fisik ranmor padahal menurut aturan tidak ada yang namanya pembayaran cek fisik apalagi ini tidak di sertai struk dan untuk distribusi tnkb sangat lambat sekali sudah bulan bahkan lebih tnkb belum jadi klo ga di ambil langsung ke brebes ga bakal jadi jadi gimana masyarakat mau nyaman bayar pajak mau tertib pajak aja pelayanannya begini mohon ditindak lanjuti oknum tersebut trimakasih,Selesai,badan pengelola pendapatan daerah
saya mau bayar pajak tahunan di samsat tanjung brebes kebetulan untuk pergantian stnk dan tnkb baru harus di lakukan cek fisik ulang ranmornya ada yang ganjal di sini pada saat di lakukan cek fisik ranmor petugas samsat meminta tarif rp padahal menurut aturan yang ada tidak ada yg namanya pembayaran cek fisik dan lebih anehnya lagi di struk pembayaran tidak dicantumkan yang namanya pembayaran cek fisik karena sudah adanya pembayaran stnk dan tnkb kalo begini siapa yang mau nyaman bayar pajak masyarakat tidak bayar wajib pajak disalahkan mau tertib pajak malah di buat begini berikut saya sertakan bukti videonya https www youtube com watch v oup izoayg feature youtu be silahkan biar masyarakat yang menilai,Selesai,badan pengelola pendapatan daerah
assalammualaikum wr wb yth pak gubernur tanggul sungai cisanggarung desa bojongsari kec losari brebes sudah tipis terkikis dikhawatirkan tanggul bisa jebol sewaktu waktu jika hujan besar tiba mohon untuk segera diambil tindakan pak karena warga desa sangat cemas jika hujan sudah turun tanggul bisa jebol kapan saja terima kasih atas perhatiannya mohon untuk segera diambil tindakan pak ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
yth bpk ganjar pranowo gubernur jawa tengah bapak mohon diperhatikan infrastruktur jalan menuju desa pandansari kec paguyangan desa wanareja kec sirampog kab brebes yang terkenal dengan agrowisata perkebunan teh kaligua jalannya sangat rusak dan tidak ada perhatian dari pemda setempat kab brebes padahal perekonomian di desa tersebut sangat maju dari hasil pertaniannya hortikultura yang dibutuhkan masyarakat setempat hanyalah infrastruktur jalan yg baik dari jalan raya menuju desa setempat bapak gubernur juga pernah kesana berharap pemprov dan pemda tidak hanya mengambil pajak masyarakat tetapi tidak ada timbal balik dari pemprov pemda untuk masyarakat tks,Selesai,dinas pekerjaan umum bina marga cipta karya
lapor pa gubernur tolong di tindak lanjuti inilah hasil pekerjaan jalan salem banjarharjo yg menghabiskn anggaran milyaran rupiah ,Selesai,dinas pekerjaan umum bina marga cipta karya
lapor laporan mohon d tindak lanjuti adanya kenaikan pengurusan stnk bpkb unit baru d samsat brebes sebesar dan sekarang mau d wacanakan kembali k,Selesai,badan pengelola pendapatan daerah
banyak ditemukan kedholiman di pegawai dispendukcapil kab brebes dari calo calo pembuatan e ktp kk dll serta pungli biaya pengambilan e ktp dll mohon pak gubernur membersihkan hal hal yg berkaitan tersebut sesudahnya kami sampaikan banyak terima kasih salam perjuangan merdeka by an im falakhudin full timer ibu renny wara s permana kakak kandung bpk pramono anung ,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
tolong kepada pihak terkait untuk di lakukan sidak di samsat tanjung brebes karena untuk pembayaran pajak tahunan dengan cek fisik kendaran masih ada pungli sebesar rp di minta dengan alasan uang gosok tanpa adanya bukti pembayaran struk padahal di skpd sudah jelas ada pembayaran adm tnkb dan stnk saya mohon janganlah masyarakat di buat bodoh terimakasih atas tanggapannya,Selesai,badan pengelola pendapatan daerah
mohon adanya normalisasi di anak sungai kaligangsa wetan karena sering banjir di perum taman indo desa kaligangsa wetan kab brebes kondisi elevasi dasar sungai sangat tinggi hampir sama dg daratan ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
mohon di permudah bikin ktp udah bulan belom jadi di desa grinting kec bulakamba kab brebes,Selesai,"dinas pemberdayaan masyarakat, desa, kependudukan dan pencatatan sipil"
petani di daerah brebes kec bulakamba desa grinting kalau mau mengairi sawah masa kudu bayar kalau gak bayar ga di aliri kalau di bayar juga ada jam nya gi mana mau maju petani nya ini musim padi tolong di lancar kan air nya ,Selesai,dinas pekerjaan umum sumber daya air dan penataan ruang
lapor pak ganjar ngapunten infrastruktur disepanjang jalan pantura mohon diperbaiki sebelum pekan mudik nggih pak dikarenakan selama ini proyek perbaikan justru malah menimbulkan macet di waktu yg padat mudik mohon maaf krn jika kami masuk brebes maka akan jelas terlihat kualitas jalan antara jabar dan jateng setidaknya dikota gerbang jateng diperindah pak matur nuwun pak gubernur ,Selesai,dinas pekerjaan umum bina marga cipta karya
